id,thinkGap,skillGap,thinkHit,skillHit,walkRange,guardRange,escapeRange,followRange,holdRange,usual,byHit,byHp,byDist,enemyWeight,friendWeight,$desc,
*uint,float,float,float,float,float,float,float,float,float,uint[],"""Dictionary<uint,uint>""","""Dictionary<float,uint>""","""Dictionary<float,uint>""","""Dictionary<!CsvKey,float>""","""Dictionary<!CsvKey,float>""",,
#ID,思考间隔,技能释放间隔,受击影响思考间隔,受击影响技能间隔,移动范围,警戒范围,逃脱范围,跟随范围,保持与敌人的间隔,平时释放Actor表的技能,连续受击几次后触发,生命值百分比低于多少时,距离敌人大于几米时释放,选择敌人时属性权值,选择友方时属性权值,描述,
1,0.3,0,0,0,4,30,30,8,1,"[0,1,2,3,4,5]",,,,"{""patk"":10,""hp"":-1}","{""hp"":1,""hpmax"":-1,""dist"":10}",主角AI，选择物攻高，hp少的目标,
2,0.1,0,0,0,4,30,30,8,1,,,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",主角托管AI,
101,0.1,4,0,0,6,30,30,5,0.6,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",小怪近程攻击AI，敌人选择最近的,
102,0.1,3,0,0,6,30,30,5,0.6,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",小怪近程攻击AI，敌人选择最近的,
103,0.3,6,0,0,8,30,30,5,0.8,"[0,1,2,3,4,5]",,,,"{""hpmax"":10}","{""pdef"":-10,""hp"":-1}",近程攻击AI，敌人选择血最多的，友军选择防御低，血最少的,
104,0.1,3.5,0,0,6,30,30,5,0.6,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",精英怪近程攻击AI，敌人选择最近的,
105,0.1,5,0,0,6,30,30,5,0.6,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1}",试炼场近程攻击AI，敌人选择最近的,
201,2,4,0,0,6,30,30,5,3,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","小怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
202,2,3,0,0,6,30,30,5,3,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","小怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
203,2,3.5,0,0,6,30,30,5,3,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","小怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
204,2,3.5,0,-0.5,6,30,30,5,3,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","精英怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
205,0.3,3.5,0,0,12,60,60,11,10,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""hp"":-1,""hpmax"":-1,""pdef"":-10}","远程奶妈AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
206,0.3,3.5,0,0,0,60,60,7,1,[0],"{""6"":1}",,,"{""dist"":-10}","{""hp"":-1,""hpmax"":-1,""pdef"":-10}","远程辅助AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
207,0.3,3.5,0,0,0,60,60,7,1,[0],,,,"{""dist"":-10}","{""hp"":-1,""hpmax"":10,""pdef"":10}","远程辅助AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
208,0.1,3.5,0,0,0,60,60,7,1,[1],,,"{""-10"":0}","{""dist"":-10}","{""hp"":-1,""hpmax"":-1,""pdef"":-10}","远程辅助AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
301,0.1,0.5,0,0,8,30,30,15,5,"[0,1,2,3,4,5]",,,,"{""dist"":-10,""pdef"":1,""mdef"":1,""hp"":-1}","{""hp"":-1,""hpmax"":1,""dist"":10}","副官近程攻击AI，敌人距离最近，防御低，血少的目标,队友选择扣血最多，最近",
302,0.1,0.5,0,0,8,30,30,12,3,"[0,1,2,3,4,5]",,,,"{""dist"":-10,""pdef"":1,""mdef"":1,""hp"":-1}","{""hp"":-1,""hpmax"":1,""dist"":10}","副官远程攻击AI，敌人选择防御低，血少的目标,队友选择扣血最多，最近",
303,0.1,0.5,0,0,8,30,30,15,1,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""hp"":-1,""hpmax"":1,""dist"":10}","雅典娜AI，敌人距离最近，防御低，血少的目标,队友选择扣血最多，最近",
304,0.1,0.5,0,0,10,10,10,8,1,"[0,1,2,3,4,5]",,,,"{""dist"":-10,""pdef"":1,""mdef"":1,""hp"":-1}","{""hp"":-1,""hpmax"":1,""dist"":10}","副官近程防御AI，敌人距离最近，防御低，血少的目标,队友选择扣血最多，最近",
305,0.1,0.5,0,0,15,15,15,6,3,"[0,1,2,3,4,5]",,,,"{""dist"":-10,""pdef"":1,""mdef"":1,""hp"":-1}","{""hp"":-1,""hpmax"":1,""dist"":10}","副官远程防御AI，敌人选择防御低，血少的目标,队友选择扣血最多，最近",
401,2,4,0,0,12,30,30,11,10,"[0,1,2,3,4,5]",,,,"{""dist"":-10}","{""pdef"":-10,""hp"":-1,""hpmax"":-1}","小怪远程攻击AI，敌人选择物防低，HP少的,技能冷却时会逃跑",
