id,des,panelType,sort,showType,actTimeTips,actRuleTips,openType,time,showlimit,rule,gift,End
*uint,string,int,int,!EActivityType,string,string,,,,int,jsondata,
#精彩活动表,说明,展示的面板类型,排序,排版类型,活动时间描述,活动规则描述,重置类型(下次开启时清除上次数据),"重置时间[{""value"":对应openType的值,""DD"":日,""hh"":小时,""mm"":分钟,""ss"":秒}]",显示限制,奖励规则,奖励列表,
1,更新公告,1,1,3,,,6,,,,,
2,兑换礼包,1,3,2,,,6,,,,"{""1"":{""icon"":1405005,""tips"":""新手礼包"",""reward1"":1307101101,""reward2"":1307101101,""reward4"":1307101101},""2"":{""icon"":1405005,""tips"":""微信礼包"",""reward1"":1307101102,""reward2"":1307101102,""reward4"":1307101102},""3"":{""icon"":1405005,""tips"":""媒体礼包"",""reward1"":1307101103,""reward2"":1307101103,""reward4"":1307101103},""4"":{""icon"":1405005,""tips"":""公会礼包"",""reward1"":1307101104,""reward2"":1307101104,""reward4"":1307101104},""5"":{""icon"":1405005,""tips"":""特权礼包"",""reward1"":1307101105,""reward2"":1307101105,""reward4"":1307101105},""6"":{""icon"":1405005,""tips"":""活动礼包1"",""reward1"":1307101106,""reward2"":1307101106,""reward4"":1307101106},""7"":{""icon"":1405005,""tips"":""活动礼包2"",""reward1"":1307101107,""reward2"":1307101107,""reward4"":1307101107},""8"":{""icon"":1405005,""tips"":""活动礼包3"",""reward1"":1307101108,""reward2"":1307101108,""reward4"":1307101108},""9"":{""icon"":1405005,""tips"":""活动礼包4"",""reward1"":1307101109,""reward2"":1307101109,""reward4"":1307101109},""10"":{""icon"":1405005,""tips"":""合作礼包"",""reward1"":1307101110,""reward2"":1307101110,""reward4"":1307101110},""11"":{""icon"":1405005,""tips"":""独家礼包"",""reward1"":1307101111,""reward2"":1307101111,""reward4"":1307101111},""12"":{""icon"":1405005,""tips"":""中元节礼包A"",""reward1"":1307101112,""reward2"":1307101112,""reward4"":1307101112},""13"":{""icon"":1405005,""tips"":""中元节礼包B"",""reward1"":1307101113,""reward2"":1307101113,""reward4"":1307101113},""14"":{""icon"":1405005,""tips"":""UC成立纪念礼包A"",""reward1"":1307101114,""reward2"":1307101114,""reward4"":1307101114},""15"":{""icon"":1405005,""tips"":""UC成立纪念礼包B"",""reward1"":1307101115,""reward2"":1307101115,""reward4"":1307101115},""16"":{""icon"":1405005,""tips"":""开学礼包A"",""reward1"":1307101116,""reward2"":1307101116,""reward4"":1307101116},""17"":{""icon"":1405005,""tips"":""开学礼包B"",""reward1"":1307101117,""reward2"":1307101117,""reward4"":1307101117},""18"":{""icon"":1405005,""tips"":""独家礼包"",""reward1"":1307101118,""reward2"":1307101118,""reward4"":1307101118},""19"":{""icon"":1405005,""tips"":""国庆礼包"",""reward1"":1307101122,""reward2"":1307101122,""reward4"":1307101122},""20"":{""icon"":1405005,""tips"":""万圣节礼包"",""reward1"":1307101123,""reward2"":1307101123,""reward4"":1307101123},""21"":{""icon"":1405005,""tips"":""登陆礼包"",""reward1"":1307101124,""reward2"":1307101124,""reward4"":1307101124},""22"":{""icon"":1405005,""tips"":""老玩家召回礼包"",""reward1"":1307101125,""reward2"":1307101125,""reward4"":1307101125},""23"":{""icon"":1405005,""tips"":""初级礼包"",""reward1"":1307101126,""reward2"":1307101126,""reward4"":1307101126},""24"":{""icon"":1405005,""tips"":""中级礼包"",""reward1"":1307101127,""reward2"":1307101127,""reward4"":1307101127},""25"":{""icon"":1405005,""tips"":""高级礼包"",""reward1"":1307101128,""reward2"":1307101128,""reward4"":1307101128},""26"":{""icon"":1405005,""tips"":""特级礼包"",""reward1"":1307101129,""reward2"":1307101129,""reward4"":1307101129},""27"":{""icon"":1405005,""tips"":""VIP维护礼包1"",""reward1"":1306101001,""reward2"":1306101001,""reward4"":1306101001},""28"":{""icon"":1405005,""tips"":""VIP维护礼包2"",""reward1"":1306101002,""reward2"":1306101002,""reward4"":1306101002},""29"":{""icon"":1405005,""tips"":""VIP维护礼包3"",""reward1"":1306101003,""reward2"":1306101003,""reward4"":1306101003},""30"":{""icon"":1405005,""tips"":""VIP维护礼包4"",""reward1"":1306101004,""reward2"":1306101004,""reward4"":1306101004},""31"":{""icon"":1405005,""tips"":""VIP维护礼包5"",""reward1"":1306101005,""reward2"":1306101005,""reward4"":1306101005},""32"":{""icon"":1405005,""tips"":""VIP维护礼包6"",""reward1"":1306101006,""reward2"":1306101006,""reward4"":1306101006},""33"":{""icon"":1405005,""tips"":""超值礼包"",""reward1"":1306101007,""reward2"":1306101007,""reward4"":1306101007}}",
#3,每日福利,,,1,11：30-12：00、19：30-20：00,每个玩家在活动时间内可进行领取，每天共计2次。,1,"[{""hh"":0,""mm"":0,""ss"":0}]",,3,"{""1"":{""start"":41400,""end"":43200,""tips"":""11:30~12:00"",""reward1"":1307101005,""reward2"":1307101005,""reward4"":1307101005},""2"":{""start"":69480,""end"":72000,""tips"":""19:30~20:00"",""reward1"":1307101006,""reward2"":1307101006,""reward4"":1307101006}}",
4,冲级达人,1,5,1,以开服后第4、8天晚上10点的排名为准,等级排行榜前100名的玩家即可领取对应名次奖励。,5,"[{""value"":4,""hh"":22,""mm"":0,""ss"":0},{""value"":8,""hh"":22,""mm"":0,""ss"":0}]",,2,"{""1"":{""start"":1,""end"":1,""tips"":""第1名"",""reward1"":1307101011,""reward2"":1307101011,""reward4"":1307101011},""2"":{""start"":2,""end"":5,""tips"":""2~5名"",""reward1"":1307101012,""reward2"":1307101012,""reward4"":1307101012},""3"":{""start"":6,""end"":20,""tips"":""6~20名"",""reward1"":1307101013,""reward2"":1307101013,""reward4"":1307101013},""4"":{""start"":21,""end"":50,""tips"":""21~50名"",""reward1"":1307101014,""reward2"":1307101014,""reward4"":1307101014},""5"":{""start"":51,""end"":100,""tips"":""51~100名"",""reward1"":1307101015,""reward2"":1307101015,""reward4"":1307101015}}",
5,战力达人,1,6,1,以开服后第4、8天晚上10点的排名为准,战力排行榜前100名玩的家即可领取对应名次奖励。,5,"[{""value"":4,""hh"":22,""mm"":0,""ss"":0},{""value"":8,""hh"":22,""mm"":0,""ss"":0}]",,1,"{""1"":{""start"":1,""end"":1,""tips"":""第1名"",""reward1"":1307101021,""reward2"":1307101021,""reward4"":1307101021},""2"":{""start"":2,""end"":5,""tips"":""2~5名"",""reward1"":1307101022,""reward2"":1307101022,""reward4"":1307101022},""3"":{""start"":6,""end"":20,""tips"":""6~20名"",""reward1"":1307101023,""reward2"":1307101023,""reward4"":1307101023},""4"":{""start"":21,""end"":50,""tips"":""21~50名"",""reward1"":1307101024,""reward2"":1307101024,""reward4"":1307101024},""5"":{""start"":51,""end"":100,""tips"":""51~100名"",""reward1"":1307101025,""reward2"":1307101025,""reward4"":1307101025}}",
#6,玩家回归,,,1,本次开放内测期间,6月26日-7月15日期间参与测试的用户,6,,,5,"{""1"":{""start"":1,""end"":60,""tips"":""回归奖励"",""reward1"":1307101032,""reward2"":1307101032,""reward4"":1307101031}}",
7,成长礼包,1,4,1,不限,"玩家等级每达到20、30、40、50、60级时,可获得礼包。",6,,,4,"{""1"":{""start"":20,""end"":1000,""tips"":""20级"",""reward1"":1307101041,""reward2"":1307101041,""reward4"":1307101041},""2"":{""start"":30,""end"":1000,""tips"":""30级"",""reward1"":1307101042,""reward2"":1307101042,""reward4"":1307101042},""3"":{""start"":40,""end"":1000,""tips"":""40级"",""reward1"":1307101043,""reward2"":1307101043,""reward4"":1307101043},""4"":{""start"":50,""end"":1000,""tips"":""50级"",""reward1"":1307101044,""reward2"":1307101044,""reward4"":1307101044},""5"":{""start"":60,""end"":1000,""tips"":""60级"",""reward1"":1307101045,""reward2"":1307101045,""reward4"":1307101045},""6"":{""start"":70,""end"":1000,""tips"":""70级"",""reward1"":1307101046,""reward2"":1307101046,""reward4"":1307101046}}",
8,首充礼包,2,2,4,,,6,,,,"{""1"":{""reward1"":1307101051,""reward2"":1307101051,""reward4"":1307101052}}",
