id,title,ico,soul_bk,soul_show,soul_front,rank,job,level,hp,mp,sp,patk,pdef,matk,mdef,crit,parry,weakdef,weakatk,hit,dodge,natureatk,naturedef,holyatk,holydef,darkatk,darkdef,speed,aiId,aiDefenseId,attack,skill,bornBuff,dieSkill,drop_type,bornFx,avatar,hitCv,dieCv,story,desc,cut_coin,cut_max,endRow
*uint,string,int,int,int,int,!ActorRank,!CareerType,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint,uint[],"""Dictionary<uint,uint>""",uint[],uint[],int,uint[],uint,int,int,,string,int,int,
#ID,名称,图标,副官背景,,副官半身像,级别,职业,等级,生命,法力,怒气,普攻,普防,技攻,技防,暴击,抗暴,破甲,削攻,命中,闪避,自然攻击,自然防御,圣光攻击,圣光防御,黑暗攻击,黑暗防御,移动速度,,副官防御AI,普通攻击,技能ID,出生时自带buffid,死亡时触发技能,,绑定特效,模型编号,角色受击叫声,角色死亡叫声,,描述,切一次boss的奖励,一个boss的最大可切次数,
1,圣骑,1812001,,,,0,1,1,450,100,100,200,200,200,200,50,20,5,5,100,15,,,,,,,5500,1,,"[1101,1102,1103,1104]","{""1111"":1,""1112"":1,""1113"":1,""1114"":1,""1115"":1}",,,0,,1,400204,400203,,,,,
2,魔剑,1814001,,,,0,2,1,500,100,100,50,40,10,10,5,5,5,5,100,15,,,,,,,5500,1,,"[2101,2102,2103,2104]","{""2111"":1,""2112"":1,""2113"":1,""2114"":1,""2115"":1}",,,0,,2,400104,400103,,,,,
4,狂战,1811101,,,,0,4,1,500,200,200,200,200,200,200,50,20,5,5,100,15,,,,,,,5500,1,,"[3101,3102,3103,3104]","{""3111"":1,""3112"":1,""3113"":1,""3114"":1,""3115"":1}",,,0,,4,400304,400303,,,,,
5,圣骑创建角色形象,1812001,,,,0,1,1,450,100,100,200,200,200,200,50,20,5,5,100,15,,,,,,,5500,1,,"[1101,1102,1103,1104]","{""1111"":1,""1112"":1,""1113"":1,""1114"":1,""1115"":1}",,,0,,5,,,,,,,
6,魔剑创建角色形象,1814001,,,,0,2,1,500,100,100,50,40,10,10,5,5,5,5,100,15,,,,,,,5500,1,,"[2101,2102,2103,2104]","{""2111"":1,""2112"":1,""2113"":1,""2114"":1,""2115"":1}",,,0,,6,,,,,,,
8,狂战创建角色形象,1811101,,,,0,4,1,500,200,200,200,200,200,200,50,20,5,5,100,15,,,,,,,5500,1,,"[3101,3102,3103,3104]","{""3111"":1,""3112"":1,""3113"":1,""3114"":1,""3115"":1}",,,0,,8,,,,,,,
101,法力女神,1027,,,,3,6,10,1200,300,1,170,180,170,180,2,10,5,5,100,15,,,,,,,5000,201,,[8103],"{""8113"":1}",,,0,[11],101,,,,测试,,,
102,强盗1,1027,,,,1,5,1,900,300,1,120,160,120,160,2,10,5,5,80,15,,,,,,,5000,101,,[8101],,,,0,,102,,,,测试,,,
103,巫师,1027,,,,1,128,8,1000,300,1,150,170,150,170,2,10,5,5,90,15,,,,,,,5000,201,,[8104],,,,0,,103,,,,测试,,,
104,狼人,1027,,,,3,6,4,1200,300,1,170,180,170,180,2,10,5,5,100,15,,,,,,,5000,101,,"[8102,8105]","{""8106"":1}",,,0,[11],104,,,,测试,,,
105,小龙龙,1027,,,,1,32,1,5000,300,1,200,200,200,200,2,10,5,5,100,15,,,,,,,2000,101,,[8152],"{""8154"":1,""8153"":1,""8120"":1}",,,0,,105,,,,测试,,,
109,主城副官1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6000],109,,,,,,,
110,主城副官2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6001],110,,,,,,,
111,主城副官3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6002],111,,,,,,,
112,主城副官4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6003],112,,,,,,,
113,主城副官5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6004],113,,,,,,,
200,小恶魔形象,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6101],200,,,,,,,
201,南瓜怪形象,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,[6102],201,,,,,,,
1000,乌龟,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1000,,,,,,,
1002,山羊,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1002,,,,,,,
1003,狼,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1003,,,,,,,
1004,狮子,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1004,,,,,,,
1005,独角兽,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1005,,,,,,,
1006,山羊,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1006,,,,,,,
1007,狼,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1007,,,,,,,
1008,狮子,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1008,,,,,,,
1009,独角兽,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1009,,,,,,,
1010,鹰龙,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1010,,,,,,,
1011,狮鹫,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1011,,,,,,,
1012,始祖龙,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1012,,,,,,,
1013,凤凰,,,,,,,1,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,1013,,,,,,,
5000001,雅典娜,,,,,2,128,14,25000,,,12000,50000,12000,1,48,11,52,16,,,,,,,,,5500,303,304,[8165],"{""8168"":1,""8167"":1}",,,0,,5000001,420001,420002,,雅典娜,,,
5000002,魔龙,1027,,,,1,32,1,100,,,50,50,50,50,0,0,5,5,,,,,,,,,2000,101,,[8152],"{""8154"":1,""8153"":1,""8120"":1}",,,0,,5000002,,,,测试,,,
5000003,雅典娜,,,,,2,128,14,25000,,,350,200,350,200,48,11,52,16,,,,,,,,,5500,303,304,[8165],"{""8168"":1,""8167"":1}",,,0,,5000003,420001,420002,,雅典娜,,,
5000005,阿卡玛斯,1027,,,,2,128,7,4000,,100,200,50,200,50,0,50,0,0,,,,,,,,,5000,201,305,[8104],"{""8117"":1}",[560100],,1,,5000005,,,,邪恶巫师(boss),,,
5000006,阿斯特瑞亚,1823201,,,,2,128,1,4000,,100,200,50,200,50,0,50,0,0,,,,,,,,,5000,302,305,[6571],,[560100],,0,,5000006,,,,星光女神,,,
5000007,夜之女神,1823201,,,,2,128,1,4000,,100,200,50,200,50,0,50,0,0,,,,,,,,,5000,302,305,[6571],,[560100],,0,,5000007,,,,夜之女神,,,
5000013,boss小龙龙,1027,,,,1,32,1,15000,,,1290,1291,1290,1291,75,55,75,75,,,,,,,,,4000,101,,[8152],"{""8154"":1,""8153"":1,""8120"":1}",,,0,,5000013,,,,测试,,,
1501001,夜之使徒,,,,,1,32,1,40000,,100,3000,5500,500,1,0,0,0,0,,,,,,,,,3800,103,,"[8131,8183]",,,,0,,1501001,,,,夜之使徒,,,
1501002,路西法,1027,,,,2,32,1,1200000,,,12000,20000,10,10000,0,0,0,0,,,,,,,,,3000,1003,,[8184],"{""8181"":1,""8185"":1,""8186"":1}","[61400,560101]",,0,,1501002,420011,420012,,测试,,,
1501003,魔龙,1027,,,,1,32,1,10000,,,1500,2000,10,1,0,0,0,0,,,,,,,,,2000,101,,[8152],"{""8154"":1,""8153"":1,""8120"":1}",[560100],,0,,1501003,,,,测试,,,
6000,副官,1820101,,,,0,64,1,,,,,,,,,,,,,,,,,,,,5500,302,305,[6000],,,,,,6000,,,,,,,
7001,守墓使者,1820101,1930001,1931001,1830101,0,32,1,,,,,,,,,,,,,,,,,,,,5500,301,304,[6000],,,,,,7001,,,,守护着恐惧领主坟墓的怨灵。,,,
7002,亡灵使者,1820001,1930001,1931002,1830001,0,32,1,,,,,,,,,,,,,,,,,,,,5500,301,304,[6000],,,,,,7002,,,,怨念附在死者身上的亡灵，容易聚集成军团。,,,
7003,灵魂之箭,1820301,1930001,1931002,1830001,0,64,1,,,,,,,,,,,,,,,,,,,,5500,302,305,[6200],,,,,,7003,,,,拥有能穿透灵魂可怕箭矢的弓灵。,,,
7004,毁灭之箭,1820801,1930001,1931001,1830001,0,64,1,,,,,,,,,,,,,,,,,,,,5500,302,305,[6200],,,,,,7004,,,,百发百中的神箭手，曾是冥王哈迪斯的军团之一。,,,
7005,穿魂之箭,1820501,1930001,1931002,1830001,0,64,1,,,,,,,,,,,,,,,,,,,,5500,302,305,[6200],,,,,,7005,,,,速度再快一点，不然我随时穿透你的魂魄。,,,
7006,冥界法师,1820701,1930001,1931001,1830001,0,64,1,,,,,,,,,,,,,,,,,,,,5500,302,305,[6400],,,,,,7006,,,,从冥界穿越而来的法师，通晓不为人知的禁咒魔法。,,,
7007,诅咒法师,1820801,1930001,1931002,1830001,0,64,1,,,,,,,,,,,,,,,,,,,,5500,302,305,[6400],,,,,,7007,,,,会施加可怕诅咒的法师。,,,
7008,黑暗使者,1820001,1930001,1931001,1830101,0,32,1,,,,,,,,,,,,,,,,,,,,5500,301,304,[6000],,,,,,7008,,,,冥王哈迪斯麾下，带来死亡的使者。,,,
7009,地狱使者,1820101,1930001,1931002,1830101,0,32,1,,,,,,,,,,,,,,,,,,,,5500,301,304,[6000],,,,,,7009,,,,冥王哈迪斯所掌管的勾魂使者，悄无声息勾走人类魂魄。,,,
