id,describe,icon,atlas,directory,left,right,top,bottom,packToLarger
*uint,,string,string,,int,int,int,int,bool
#图片id,图片含义名称,图片资源名,所在的图集名,美术的目录名,左不可拉伸区域,右不可拉伸区域,上不可拉伸区域,下不可拉伸区域,有的图精度不够，或者长宽比过大，就需要打包到Larger Power of 2
1201101,1级圣骑武器,Equip_SQ_010101,,EquipmentAtlas,0,0,0,0,1
1201102,15级圣骑武器,Equip_SQ_020201,,EquipmentAtlas,0,0,0,0,1
1201103,30级圣骑武器,Equip_SQ_030201,,EquipmentAtlas,0,0,0,0,1
1201104,40级圣骑武器,Equip_SQ_040301,,EquipmentAtlas,0,0,0,0,1
1201105,50级圣骑武器,Equip_SQ_050301,,EquipmentAtlas,0,0,0,0,1
1201106,60级圣骑武器,Equip_SQ_060301,,EquipmentAtlas,0,0,0,0,1
1201107,70级圣骑武器,Equip_SQ_070301,,EquipmentAtlas,0,0,0,0,1
1201201,1级魔剑武器,Equip_MJ_010101,,EquipmentAtlas,0,0,0,0,1
1201202,15级魔剑武器,Equip_MJ_020201,,EquipmentAtlas,0,0,0,0,1
1201203,30级魔剑武器,Equip_MJ_030201,,EquipmentAtlas,0,0,0,0,1
1201204,40级魔剑武器,Equip_MJ_050301,,EquipmentAtlas,0,0,0,0,1
1201205,50级魔剑武器,Equip_MJ_060301,,EquipmentAtlas,0,0,0,0,1
1201206,60级魔剑武器,Equip_MJ_080401,,EquipmentAtlas,0,0,0,0,1
1201207,70级魔剑武器,Equip_MJ_080501,,EquipmentAtlas,0,0,0,0,1
1201401,1级狂战武器,Equip_KZ_010101,,EquipmentAtlas,0,0,0,0,1
1201402,15级狂战武器,Equip_KZ_020201,,EquipmentAtlas,0,0,0,0,1
1201403,30级狂战武器,Equip_KZ_030201,,EquipmentAtlas,0,0,0,0,1
1201404,40级狂战武器,Equip_KZ_040301,,EquipmentAtlas,0,0,0,0,1
1201405,50级狂战武器,Equip_KZ_050301,,EquipmentAtlas,0,0,0,0,1
1201406,60级狂战武器,Equip_KZ_060301,,EquipmentAtlas,0,0,0,0,1
1201407,70级狂战武器,Equip_KZ_080501,,EquipmentAtlas,0,0,0,0,1
1202101,1级绿色圣骑头盔,Equip_SQ_010102,,EquipmentAtlas,0,0,0,0,1
1202102,15级蓝色圣骑头盔,Equip_SQ_020202,,EquipmentAtlas,0,0,0,0,1
1202103,25级紫色圣骑头盔,Equip_SQ_030202,,EquipmentAtlas,0,0,0,0,1
1202104,35级紫色圣骑头盔,Equip_SQ_040302,,EquipmentAtlas,0,0,0,0,1
1202105,45级紫色圣骑头盔,Equip_SQ_050302,,EquipmentAtlas,0,0,0,0,1
1202106,55级紫色圣骑头盔,Equip_SQ_060302,,EquipmentAtlas,0,0,0,0,1
1202107,65级紫色圣骑头盔,Equip_SQ_070302,,EquipmentAtlas,0,0,0,0,1
1202108,75级紫色圣骑头盔,Equip_SQ_070302,,EquipmentAtlas,0,0,0,0,1
1202201,1级绿色魔剑头盔,Equip_MJ_010102,,EquipmentAtlas,0,0,0,0,1
1202202,15级蓝色魔剑头盔,Equip_MJ_020202,,EquipmentAtlas,0,0,0,0,1
1202203,25级紫色魔剑头盔,Equip_MJ_030202,,EquipmentAtlas,0,0,0,0,1
1202204,35级紫色魔剑头盔,Equip_MJ_040302,,EquipmentAtlas,0,0,0,0,1
1202205,45级紫色魔剑头盔,Equip_MJ_050302,,EquipmentAtlas,0,0,0,0,1
1202206,55级紫色魔剑头盔,Equip_MJ_060302,,EquipmentAtlas,0,0,0,0,1
1202207,65级紫色魔剑头盔,Equip_MJ_070302,,EquipmentAtlas,0,0,0,0,1
1202208,75级紫色魔剑头盔,Equip_MJ_070302,,EquipmentAtlas,0,0,0,0,1
1202401,1级绿色狂战头盔,Equip_KZ_010102,,EquipmentAtlas,0,0,0,0,1
1202402,15级蓝色狂战头盔,Equip_KZ_020202,,EquipmentAtlas,0,0,0,0,1
1202403,25级紫色狂战头盔,Equip_KZ_030202,,EquipmentAtlas,0,0,0,0,1
1202404,35级紫色狂战头盔,Equip_KZ_040302,,EquipmentAtlas,0,0,0,0,1
1202405,45级紫色狂战头盔,Equip_KZ_050302,,EquipmentAtlas,0,0,0,0,1
1202406,55级紫色狂战头盔,Equip_KZ_060302,,EquipmentAtlas,0,0,0,0,1
1202407,65级紫色狂战头盔,Equip_KZ_070302,,EquipmentAtlas,0,0,0,0,1
1202408,75级紫色狂战头盔,Equip_KZ_070302,,EquipmentAtlas,0,0,0,0,1
1203101,1级绿色圣骑衣服,Equip_SQ_010103,,EquipmentAtlas,0,0,0,0,1
1203102,15级蓝色圣骑衣服,Equip_SQ_020203,,EquipmentAtlas,0,0,0,0,1
1203103,25级紫色圣骑衣服,Equip_SQ_030203,,EquipmentAtlas,0,0,0,0,1
1203104,35级紫色圣骑衣服,Equip_SQ_040303,,EquipmentAtlas,0,0,0,0,1
1203105,45级紫色圣骑衣服,Equip_SQ_050303,,EquipmentAtlas,0,0,0,0,1
1203106,55级紫色圣骑衣服,Equip_SQ_060303,,EquipmentAtlas,0,0,0,0,1
1203107,65级紫色圣骑衣服,Equip_SQ_070303,,EquipmentAtlas,0,0,0,0,1
1203108,75级紫色圣骑衣服,Equip_SQ_070303,,EquipmentAtlas,0,0,0,0,1
1203201,1级绿色魔剑衣服,Equip_MJ_010103,,EquipmentAtlas,0,0,0,0,1
1203202,15级蓝色魔剑衣服,Equip_MJ_020203,,EquipmentAtlas,0,0,0,0,1
1203203,25级紫色魔剑衣服,Equip_MJ_030203,,EquipmentAtlas,0,0,0,0,1
1203204,35级紫色魔剑衣服,Equip_MJ_040303,,EquipmentAtlas,0,0,0,0,1
