id,attr0,value0,attr1,value1,attr2,value2,attr3,value3,access,cost,time,head,body,lefthand,righthand,pendant,end
*uint,int,float,int,float,int,float,int,float,uint,uint,uint,uint,uint,uint,uint,,
#时装物品ID,属性1,属性1值,属性2,属性2值,属性3,属性3值,属性4,属性4值,获得图径,消耗钻石,时效性,头,身体,左手,右手,,
1131400011,1,500,4,75,6,75,,,6,998,0,,950001,,,,
1131400012,3,50,5,50,,,,,2,998,0,950002,,,,,
1131300011,1,500,4,75,6,75,,,6,998,0,,900001,,,,
1131300012,3,50,5,50,,,,,2,998,0,900002,,,,,
1131400021,3,100,4,100,5,100,6,100,1,1880,604800,,950201,,,,
1131400022,3,80,4,80,5,80,6,80,1,1880,604800,950202,,,,,
1131300021,3,100,4,100,5,100,6,100,1,1880,604800,,900201,,,,
1131300022,3,80,4,80,5,80,6,80,1,1880,604800,900202,,,,,
1131400031,1,500,3,75,5,75,,,0,998,0,,950101,,,,
1131400032,4,50,6,50,,,,,6,998,0,950102,,,,,
1131300031,1,500,3,75,5,75,,,0,998,0,,900101,,,,
1131300032,4,50,6,50,,,,,6,998,0,900102,,,,,
1131400041,3,100,4,100,5,100,6,100,0,1888,0,,950401,,,,
1131400042,3,25,4,25,5,25,6,25,6,1888,0,950402,,,,,
1131300041,3,100,4,100,5,100,6,100,0,1888,0,,900301,,,,
1131300042,3,25,4,25,5,25,6,25,6,1888,0,900302,,,,,
1131100013,3,250,4,250,5,250,6,250,6,2880,0,,,,10110,,
1131200013,3,250,4,250,5,250,6,250,6,2880,0,,,11110,11110,,
1131400013,3,250,4,250,5,250,6,250,6,2880,0,,,,12110,,
1131100033,3,300,4,300,5,300,6,300,7,3880,0,,,,10130,,
1131100043,3,50,4,50,5,50,6,50,6,1680,0,,,,10120,,
1131200033,3,300,4,300,5,300,6,300,7,3880,0,,,11130,11130,,
1131200043,3,50,4,50,5,50,6,50,6,1680,0,,,11120,11120,,
1131400033,3,300,4,300,5,300,6,300,7,3880,0,,,,12130,,
1131400043,3,50,4,50,5,50,6,50,6,1680,0,,,,12120,,
1131400051,3,200,4,200,5,200,6,200,8,3880,0,,950501,,,,
1131400052,3,100,4,100,5,100,6,100,8,1680,0,950502,,,,,
1131300051,3,200,4,200,5,200,6,200,8,3880,0,,900401,,,,
1131300052,3,100,4,100,5,100,6,100,8,1680,0,900402,,,,,
1308201001,,,,,,,,,7,,,,,,,40000,
1131400061,3,200,4,200,5,200,6,200,5,0,0,,950601,,,,
1131400062,3,100,4,100,5,100,6,100,9,0,0,950602,,,,,
1131300061,3,200,4,200,5,200,6,200,5,0,0,,900501,,,,
1131300062,3,100,4,100,5,100,6,100,9,0,0,900502,,,,,
1131400071,3,200,4,200,5,200,6,200,10,0,0,,950701,,,,
1131400072,3,100,4,100,5,100,6,100,10,0,0,950702,,,,,
1131300071,3,200,4,200,5,200,6,200,10,0,0,,900601,,,,
1131300072,3,100,4,100,5,100,6,100,10,0,0,900602,,,,,
