id,IconId,Task,Time,Reward1,Reward2,Do,Guide,endRow,,,,
*uint,uint,string,int,jsondata,jsondata,uint,uint,,,,,
#任务ID,任务icon,任务内容,次数,奖励,奖励,执行,引导专用的,,,,,
1,1408110,钻石套餐,1,"{""type"":5,""num"":120}",,23,0,,,,,
10001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":2000}","{""type"":3,""num"":5}",3,1,,,,,
10002,1704001,挑战任意副本,3,"{""type"":4,""num"":1000}","{""type"":3,""num"":5}",14,1,,,,,
10003,1702007,召唤神灵,10,"{""type"":4,""num"":4000}","{""type"":3,""num"":15}",5,0,,,,,
10004,1704003,融合神灵,1,"{""type"":4,""num"":1000}","{""type"":3,""num"":5}",6,0,,,,,
10005,1704003,使用时光匙,1,"{""type"":4,""num"":2000}","{""type"":3,""num"":5}",7,0,,,,,
10006,1702003,装备升星,1,"{""type"":4,""num"":3000}","{""type"":3,""num"":10}",8,0,,,,,
10007,1702020,探险,6,"{""type"":4,""num"":4000}","{""type"":3,""num"":15}",26,0,,,,,
10008,1407002,累计消耗金币,10000,"{""type"":4,""num"":3000}","{""type"":3,""num"":10}",20,0,,,,,
10009,1704001,进行任意副本历练,3,"{""type"":4,""num"":2000}","{""type"":3,""num"":5}",27,0,,,,,
10010,1704002,参与排位赛,3,"{""type"":4,""num"":3000}","{""type"":3,""num"":10}",10,0,,,,,
10011,1702011,排位赛领取战功,500,"{""type"":4,""num"":4000}","{""type"":3,""num"":15}",24,0,,,,,
10012,1408106,累计消耗钻石,10,"{""type"":4,""num"":4000}","{""type"":3,""num"":15}",21,0,,,,,
10013,1704001,累计消耗体力,150,"{""type"":4,""num"":3000}","{""type"":3,""num"":10}",22,0,,,,,
10014,1702008,联盟捐献,1,"{""type"":4,""num"":3000}","{""type"":3,""num"":10}",17,0,,,,,
10015,1702011,参与炼狱,1,"{""type"":4,""num"":4000}","{""type"":3,""num"":10}",13,0,,,,,
10016,1407003,进行神之财宝,3,"{""type"":4,""num"":4000}","{""type"":3,""num"":15}",30,0,,,,,
10017,1704001,购买体力,1,"{""type"":4,""num"":4000}","{""type"":3,""num"":15}",28,0,,,,,
10018,1407001,联盟祈福,1,"{""type"":4,""num"":3000}","{""type"":3,""num"":10}",29,0,,,,,
10019,1702011,参与深渊巢穴,1,"{""type"":4,""num"":4000}","{""type"":3,""num"":10}",11,0,,,,,
10020,1702014,每天签到,1,"{""type"":4,""num"":2000}","{""type"":3,""num"":5}",19,0,,,,,
250001,1702014,获得维纳斯祝福,1,"{""type"":4,""num"":4000}","{""type"":3,""num"":5}",3,0,,,,,
250002,1702011,战功兑换物品,1,"{""type"":4,""num"":5000}","{""type"":3,""num"":5}",25,0,,,,,
250003,1702007,召唤神灵,10,"{""type"":4,""num"":8000}","{""type"":3,""num"":15}",5,0,,,,,
250004,1704003,融合神灵,3,"{""type"":4,""num"":3000}","{""type"":3,""num"":5}",6,0,,,,,
250005,1704003,使用时光匙,1,"{""type"":4,""num"":4000}","{""type"":3,""num"":5}",7,0,,,,,
250006,1702003,挑战任意精英副本,2,"{""type"":4,""num"":6000}","{""type"":3,""num"":10}",31,0,,,,,
250007,1702020,探险,6,"{""type"":4,""num"":6000}","{""type"":3,""num"":15}",26,0,,,,,
250008,1407002,累计消耗金币,50000,"{""type"":4,""num"":6000}","{""type"":3,""num"":10}",20,0,,,,,
250009,1704001,进行任意副本历练,3,"{""type"":4,""num"":4000}","{""type"":3,""num"":5}",27,0,,,,,
250010,1704002,参与排位赛,3,"{""type"":4,""num"":6000}","{""type"":3,""num"":10}",10,0,,,,,
250011,1702011,排位赛领取战功,1000,"{""type"":4,""num"":6000}","{""type"":3,""num"":15}",24,0,,,,,
250012,1408106,累计消耗钻石,10,"{""type"":4,""num"":8000}","{""type"":3,""num"":15}",21,0,,,,,
250013,1704001,累计消耗体力,150,"{""type"":4,""num"":6000}","{""type"":3,""num"":10}",22,0,,,,,
