id,name,right_hand,left_hand,hole,level,b_type10,b_value10,s_value10,b_num,b_type1,b_value1,s_value1,b_type2,b_value2,s_value2,b_type3,b_value3,s_value3,b_type4,b_value4,s_value4,endrRow
*uint,string,int,int,int,int,int,float,float,int,int,float,float,int,float,float,int,float,float,int,float,float,
#id,名称,右手模型ID,左手模型ID,装备镶嵌孔数,初始星级,强10加成类型,强10加成初始值,强10加成步长,属性数量,属性1类型,属性1的值,星级步长属性1的值,属性2类型,属性2的值,星级步长属性2的值,属性3类型,属性3的值,星级步长属性3的值,属性4类型,属性4的值,星级步长属性4的值,
1101100001,0级蓝色圣骑武器,10010,,1,0,1,0,0,2,3,25 ,8.6,5,25 ,8.6,,,,,,,
1101100003,15级蓝色圣骑武器,10020,,1,0,1,0,0,2,3,90 ,8.6,5,90 ,8.6,,,,,,,
1101100004,25级蓝色圣骑武器,10030,,1,0,1,0,0,2,3,150 ,8.6,5,147 ,8.6,,,,,,,
1101100005,25级紫色圣骑武器,10030,,2,0,1,0,0,3,3,147 ,12.6,5,147 ,12.6,9,32 ,2.86 ,,,,
1101100006,35级紫色圣骑武器,10040,,2,0,1,0,0,3,3,239 ,12.6,5,239 ,12.6,9,53 ,2.86 ,,,,
1101100007,45级紫色圣骑武器,10050,,2,0,1,0,0,3,3,347 ,12.6,5,347 ,12.6,9,76 ,2.86 ,,,,
1101100008,55级紫色圣骑武器,10060,,2,0,1,0,0,3,3,464 ,12.6,5,464 ,12.6,9,102 ,2.86 ,,,,
1101100009,35级红色圣骑武器,10040,,3,0,1,0,0,4,3,239 ,17.1,5,239 ,17.1,9,53 ,3.88 ,7,53 ,3.98 ,
1101100010,45级红色圣骑武器,10050,,3,0,1,0,0,4,3,347 ,17.1,5,347 ,17.1,9,76 ,3.88 ,7,76 ,3.98 ,
1101100011,55级红色圣骑武器,10060,,3,0,1,0,0,4,3,464 ,17.1,5,464 ,17.1,9,102 ,3.88 ,7,102 ,3.98 ,
1101100012,45级橙色圣骑武器,10050,,4,0,1,0,0,4,3,360 ,22.95,5,360 ,22.95,9,79 ,5.12 ,7,79 ,5.12 ,
1101100013,55级橙色圣骑武器,10060,,4,0,1,0,0,4,3,464 ,22.95,5,464 ,22.95,9,102 ,5.12 ,7,102 ,5.12 ,
1101100014,65级紫色圣骑武器,10070,,2,0,1,0,0,3,3,665 ,12.6,5,665 ,12.6,9,146 ,2.86 ,,,,
1101100015,65级红色圣骑武器,10070,,3,0,1,0,0,4,3,665 ,17.1,5,665 ,17.1,9,146 ,3.88 ,7,146 ,3.84 ,
1101100016,65级橙色圣骑武器,10070,,4,0,1,0,0,4,3,665 ,22.95,5,665 ,22.95,9,146 ,5.12 ,7,146 ,5.12 ,
1102100001,0级蓝色圣骑戒指,,,1,0,1,0,0,1,5,50 ,17.2,,,,,,,,,,
1102100003,15级蓝色圣骑戒指,,,1,0,1,0,0,1,5,180 ,17.2,,,,,,,,,,
1102100004,25级蓝色圣骑戒指,,,1,0,1,0,0,1,5,294 ,17.2,,,,,,,,,,
1102100005,25级紫色圣骑戒指,,,2,0,1,0,0,2,5,294 ,25.2,7,32 ,2.76,,,,,,,
1102100006,35级紫色圣骑戒指,,,2,0,1,0,0,2,5,477 ,25.2,7,52 ,2.76,,,,,,,
1102100007,45级紫色圣骑戒指,,,2,0,1,0,0,2,5,693 ,25.2,7,76 ,2.76,,,,,,,
1102100008,55级紫色圣骑戒指,,,2,0,1,0,0,2,5,927 ,25.2,7,102 ,2.76,,,,,,,
1102100009,35级红色圣骑戒指,,,3,0,1,0,0,3,5,477 ,34.2,7,52 ,3.88,9,52 ,3.88,,,,
1102100010,45级红色圣骑戒指,,,3,0,1,0,0,3,5,693 ,34.2,7,76 ,3.88,9,76 ,3.88,,,,
1102100011,55级红色圣骑戒指,,,3,0,1,0,0,3,5,927 ,34.2,7,102 ,3.88,9,102 ,3.88,,,,
1102100012,45级橙色圣骑戒指,,,4,0,1,0,0,3,5,719 ,45.9,7,79 ,5.12,9,79 ,5.12,,,,
1102100013,55级橙色圣骑戒指,,,4,0,1,0,0,3,5,927 ,45.9,7,102 ,5.12,9,102 ,5.12,,,,
1102100014,65级紫色圣骑戒指,,,2,0,1,0,0,2,5,1330 ,25.2,7,146 ,,,,,,,,
1102100015,65级红色圣骑戒指,,,3,0,1,0,0,3,5,1330 ,34.2,7,146 ,3.88,9,146 ,3.88,,,,
1102100016,65级橙色圣骑戒指,,,4,0,1,0,0,3,5,1330 ,45.9,7,146 ,5.12,9,146 ,5.12,,,,
1103100001,0级蓝色圣骑项链,,,1,0,1,0,0,1,3,50 ,17.2,,,,,,,,,,
1103100003,15级蓝色圣骑项链,,,1,0,1,0,0,1,3,180 ,17.2,,,,,,,,,,
1103100004,25级蓝色圣骑项链,,,1,0,1,0,0,1,3,294 ,17.2,,,,,,,,,,
1103100005,25级紫色圣骑项链,,,2,0,1,0,0,2,3,294 ,25.2,7,32 ,2.76,,,,,,,
1103100006,35级紫色圣骑项链,,,2,0,1,0,0,2,3,477 ,25.2,7,52 ,2.76,,,,,,,
1103100007,45级紫色圣骑项链,,,2,0,1,0,0,2,3,693 ,25.2,7,76 ,2.76,,,,,,,
1103100008,55级紫色圣骑项链,,,2,0,1,0,0,2,3,927 ,25.2,7,102 ,2.76,,,,,,,
1103100009,35级红色圣骑项链,,,3,0,1,0,0,3,3,477 ,34.2,7,52 ,3.74,9,52 ,3.74,,,,
1103100010,45级红色圣骑项链,,,3,0,1,0,0,3,3,693 ,34.2,7,76 ,3.74,9,76 ,3.74,,,,
1103100011,55级红色圣骑项链,,,3,0,1,0,0,3,3,927 ,34.2,7,102 ,3.74,9,102 ,3.74,,,,
1103100012,45级橙色圣骑项链,,,4,0,1,0,0,3,3,719 ,45.9,7,79 ,5.02,9,79 ,5.02,,,,
1103100013,55级橙色圣骑项链,,,4,0,1,0,0,3,3,927 ,45.9,7,102 ,5.02,9,102 ,5.02,,,,
1103100014,65级紫色圣骑项链,,,2,0,1,0,0,2,3,1330 ,25.2,7,146 ,2.76,,,,,,,
1103100015,65级红色圣骑项链,,,3,0,1,0,0,3,3,1330 ,34.2,7,146 ,3.74,9,146 ,3.74,,,,
1103100016,65级橙色圣骑项链,,,4,0,1,0,0,3,3,1330 ,45.9,7,146 ,5.02,9,146 ,5.02,,,,
1104100001,0级蓝色圣骑头盔,,,1,0,1,0,0,1,4,54 ,18.66,,,,,,,,,,
1104100003,15级蓝色圣骑头盔,,,1,0,1,0,0,1,4,195 ,18.66,,,,,,,,,,
1104100004,25级蓝色圣骑头盔,,,1,0,1,0,0,1,4,319 ,18.66,,,,,,,,,,
1104100005,25级紫色圣骑头盔,,,2,0,1,0,0,2,4,319 ,27.34,8,41 ,3.49,,,,,,,
1104100006,35级紫色圣骑头盔,,,2,0,1,0,0,2,4,517 ,27.34,8,66 ,3.49,,,,,,,
1104100007,45级紫色圣骑头盔,,,2,0,1,0,0,2,4,751 ,27.34,8,96 ,3.49,,,,,,,
1104100008,55级紫色圣骑头盔,,,2,0,1,0,0,2,4,1005 ,27.34,8,128 ,3.49,,,,,,,
1104100009,35级红色圣骑头盔,,,3,0,1,0,0,3,4,517 ,37.11,8,66 ,4.73,10,64 ,4.67,,,,
1104100010,45级红色圣骑头盔,,,3,0,1,0,0,3,4,751 ,37.11,8,96 ,4.73,10,93 ,4.67,,,,
1104100011,55级红色圣骑头盔,,,3,0,1,0,0,3,4,1005 ,37.11,8,128 ,4.73,10,124 ,4.67,,,,
1104100012,45级橙色圣骑头盔,,,4,0,1,0,0,3,4,779 ,49.8,8,99 ,6.35,10,96 ,6.24,,,,
1104100013,55级橙色圣骑头盔,,,4,0,1,0,0,3,4,1005 ,49.8,8,128 ,6.35,10,124 ,6.24,,,,
1104100014,65级紫色圣骑头盔,,,2,0,1,0,0,2,4,1440 ,27.34,8,183 ,3.49,,,,,,,
1104100015,65级红色圣骑头盔,,,3,0,1,0,0,3,4,1440 ,37.11,8,183 ,4.73,10,177 ,4.67,,,,
1104100016,65级橙色圣骑头盔,,,4,0,1,0,0,3,4,1440 ,49.8,8,183 ,6.35,10,177 ,6.24,,,,
1105100001,0级蓝色圣骑衣服,,,1,0,1,0,0,2,4,27 ,9.33,6,27 ,9.33,,,,,,,
1105100003,15级蓝色圣骑衣服,,,1,0,1,0,0,2,4,98 ,9.33,6,98 ,9.33,,,,,,,
