id,item1,item2,itemnumber,use_style,use_num,Conditions1,ConditionsLv1,Conditions2,ConditionsLv2,limit,rule,end
*uint,uint,uint,uint,uint,uint,uint,uint,"Dictionary<uint,float>",uint,uint,uint,
#id,物品ID(男),物品ID(女),物品数量,购买消耗,消耗值,限制条件1,条件等级1,限制条件2,条件等级2,购买数量限制,刷新规则,
2001,1316101001,1316101001,1,2,300,0,5,,,10,1,
2002,1326101001,1326101001,1,2,300,0,5,,,10,1,
2003,1903100001,1903100001,1,2,200,2,4,,,0,3,
2004,1403200001,1403200001,1,2,4000,2,3,,,5,1,
2005,1401200001,1401200001,1,2,8000,2,2,,,1,1,
2006,1401100001,1401100001,1,2,10000,2,1,,,1,1,
2007,1131400021,1131300021,1,2,60000,2,1,,,1,3,
2008,1131400022,1131300022,1,2,40000,2,1,,,1,3,
2009,1401200001,1401200001,1,2,8000,2,3,,,1,1,
2010,1401100001,1401100001,1,2,10000,2,2,,,1,1,
31001,1301011001,1301011001,1,1,100,3,1,"{""1"":0.25,""3"":0.5,""5"":0.75}",,10,1,
32001,2000001004,2000001004,1,1,300,3,1,,,0,4,
33001,1403100001,1403100001,1,1,200,3,1,,,10,1,
36001,2000001003,2000001003,1,1,10000,3,1,,,1,4,
31002,1301011001,1301011001,1,1,100,3,2,"{""1"":0.25,""3"":0.5,""5"":0.75}",,10,1,
32002,2000001004,2000001004,1,1,300,3,2,,,0,4,
33002,1403100001,1403100001,1,1,200,3,2,,,10,1,
36002,2000001003,2000001003,1,1,10000,3,2,,,1,4,
31003,1301011001,1301011001,1,1,100,3,3,"{""1"":0.25,""3"":0.5,""5"":0.75}",,10,1,
32003,2000001004,2000001004,1,1,300,3,3,,,0,4,
33003,1403100001,1403100001,1,1,200,3,3,,,10,1,
36003,2000001011,2000001011,1,1,10000,3,3,,,1,4,
31004,1301011001,1301011001,1,1,100,3,4,"{""1"":0.25,""3"":0.5,""5"":0.75}",,10,1,
32004,2000001004,2000001004,1,1,300,3,4,,,0,4,
33004,1403100001,1403100001,1,1,200,3,4,,,10,1,
36004,2000001011,2000001011,1,1,10000,3,4,,,1,4,
4001,1403300001,1403300001,1,3,6,,,,,,3,
4002,1403300002,1403300002,1,3,4,,,,,,3,
4003,1403100001,1403100001,1,3,20,,,,,,3,
4004,1403100002,1403100002,1,3,80,,,,,,3,
4005,1403200001,1403200001,1,3,40,,,,,,3,
4006,1403200002,1403200002,1,3,160,,,,,,3,
4007,1400100001,1400100001,1,3,10,,,,,,3,
4008,1400100002,1400100002,1,3,40,,,,,,3,
