id,scalx,scaly,style,spacx,spacy,r,g,b,a,effect,ecolor,disx,disy
*uint,int,int,!FontStyle,int,int,float,float,float,float,int,int,float,float
#公用id,宽(像素),高(像素),"0:细体, 1:粗体, 2:斜体, 3:粗斜体",字间距(全部间距不超过5种),行间距(全部间距不超过5种),颜色R(0<= r <=225),颜色G(0<= g <=225),颜色B(0<= b <=225),透明度A(0<= a <=225),"1:缺省, 2:Shadow阴影, 3:Outline边框",描边或边框颜色id,描边或阴影距离x,描边或阴影距离y
10,21,21,0,1,30,83,254,155,255,1,0,0,0
11,25,25,0,1,0,74,244,255,255,2,22,4,4
12,30,30,0,4,0,219,55,255,255,3,21,3,3
13,35,35,0,1,30,255,30,30,255,3,22,2,2
14,23,25,0,4,0,247,214,82,255,2,22,2,2
15,18,18,2,8,0,254,229,169,255,3,22,1,1
16,120,120,2,6,0,255,245,225,255,,,,
17,33,33,0,6,0,255,119,37,255,,,,
18,15,15,2,1,0,228,159,84,255,,,,
19,,,,,,0,60,10,255,,,,
20,,,,,,148,123,102,255,,,,
21,,,,,,0,0,0,127.5,,,,
22,,,,,,0,0,0,255,,,,
23,,,,,,255,255,225,255,,,,
24,,,,,,191,204,213,255,,,,
