id,title,icon,fx,parent,isInitOpen,main_pos,open_type,battle_times,open_info,progress_time,tips,endRow
*uint,string,int,uint[],int,int,int,!EFunctionOpenType,int,ECsvTime[],int,string,
#功能表,标题,图标,特效,父功能id,是否默认开启,是否在主界面的位置,1:月，2：周，3：日,周期内的可挑战次数,"开启信息(不填为全天)[""周期:小时:分钟:秒""]",进行时间,说明tips,
1,王者之路,1702011,,1,0,5,,,,,,
2,战神宝典,1702012,,,1,,,,,,,
3,精彩活动,1702013,,3,1,1,,,,,,
4,背 包,1702001,,4,1,8,,,,,,
5,任 务,1702004,,5,1,9,,,,,,
6,商 城,1702006,,6,1,10,,,,,,
7,系 统,1702009,,7,1,11,,,,,,
8,技 能,1702002,"[60,61]",8,0,12,,,,,,
9,守护神,1702005,"[60,61]",9,0,14,,,,,,
10,圣 坛,1702007,"[60,61]",10,0,15,,,,,,
11,社 交,1702010,,11,0,13,,,,,,
12,铸 造,1702003,"[60,61]",12,1,7,,,,,,
13,联 盟,1702008,"[60,61]",13,0,16,,,,,,
14,每日必做,1702014,,14,0,3,,,,,,
15,排位赛,1703001,"[60,61]",1,0,,3,10,,,,
16,炼 狱,1703002,"[60,61]",1,0,,3,10,,,,
17,战魔神殿,1703003,"[60,61]",1,0,,3,2,"[""00:13:00:00"",""00:21:00:00""]",1800,,
18,深渊巢穴,1703004,"[60,61]",1,0,,3,5,"[""00:00:30:00"",""00:07:30:00"",""00:08:30:00"",""00:09:30:00"",""00:10:30:00"",""00:11:30:00"",""00:12:30:00"",""00:13:30:00"",""00:14:30:00"",""00:15:30:00"",""00:16:30:00"",""00:17:30:00"",""00:18:30:00"",""00:19:30:00"",""00:20:30:00"",""00:21:30:00"",""00:22:30:00"",""00:23:30:00""]",,,
19,充值福利,1702022,,19,1,2,,,,,,
20,神之试炼,1703005,,1,0,,3,,,,,
21,组队大厅,1706001,,21,0,,,,,,,
22,远古神坛,1703008,"[60,61]",1,0,,3,,,,,
23,百战成神,1703007,,1,0,,2,,"[""01:22:00:00"",""02:22:00:00"",""03:22:00:00"",""04:22:00:00"",""05:22:00:00"",""06:22:00:00""]",600,,
24,决斗,,,,1,,,,,,,
25,联盟争霸,1703006,"[60,61]",1,0,,2,,"[""02:20:00:00"",""04:20:00:00"",""06:20:00:00""]",1800,,
26,诸神之战,1703009,"[60,61]",1,0,,3,,,,,
100,剧情,1702004,"[60,61]",5,0,,,,,,,
206,无双技,,,,0,,,,,,,
207,委托战斗,,,,0,,,,,,,
401,培训(守护神),1702005,,9,0,,,,,,,
402,融合(守护神),1702007,,9,1,,,,,,,
#403,下阵按钮,,,9,0,,,,,,,
#404,制造(装备),1702003,"[60,61]",12,,,,,,,,
405,镶嵌(装备),1702003,"[60,61]",12,0,,,,,,,
406,无双技(技能),1702002,"[60,61]",8,0,,,,,,,
407,锻造(装备),1702003,"[60,61]",12,0,,,,,,,
408,解封(装备),1702003,"[60,61]",12,0,,,,,,,
409,精炼(装备),1702003,"[60,61]",12,0,,,,,,,
410,神灵(守护神法宝),1702005,,9,0,,,,,,,
411,突破(守护神),1702007,"[60,61]",9,1,,,,,,,
412,羽翼（背包）,1702001,"[60,61]",4,0,,,,,,,
501,维纳斯的祝福,1702015,,14,0,,,,"[""00:12:00:00"",""00:20:00:00""]",,,
#502,VIP福利,1702016,,14,0,,,,,,,
503,每日目标,1702017,"[60,61]",14,0,,,,,,,
504,星魂任务,1702018,"[60,61]",14,0,,,,,,,
#505,潘多拉宝盒,1402003,,14,,,,,,,,
506,登陆奖励,1702021,"[60,61]",14,0,,,,,,,
507,英雄殿堂,1702023,"[60,61]",14,0,,,,,,,
508,女神,1703010,,14,0,,,,,,,
601,体验VIP,1702019,"[60,61]",601,0,6,,,,,,
602,神址探险,1702020,"[60,61]",602,0,4,,,,,,
603,300钻石+每日钻石套餐,1408110,,603,0,,,,,,,
#604,装备卸下,,,,0,,,,,,,
