id,asset,bind1,downloadLevel,offset1,bind2,offset2,scale,follow,dura,desc,endRow,,
*uint,string,!Bind,uint,Vector3,!Bind,Vector3,float,bool,float,,,,
#ID,特效,绑定位置1,下载分包属于哪个包,偏移量1,绑定位置2,偏移量2,缩放,是否跟随移动,持续时间，单位为秒,描述,,,
1,System_TapGround_DCQ001,,,,,,1,,1.2,玩家点击场景位置让角色移动到某处时的特效,,,
2,System_TapGround_DCQ001,,,,,,1,,1.2,玩家点击场景位置让角色移动到某处时的特效,,,
3,Trail_Boss_Blue001,,,,,,1,,1,切Boss刀光,,,
4,System_LevelUp_Cl001,,,"[0,0.2,0]",,,1,1,1.4,升级特效,,,
5,Hit_RowBoss_DCQ002,,,,,,1,,2,释放Boss终结技时在Boss身上划过时出现的受击特效,,,
6,System_ButtonPress_Cl001,,,,,,1,,1,界面上点击按扭时所产生的特效,,,
7,System_ShowDirection_Cl001,,,,,,0.5,,-1,老版指引方向特效更新引用后本id内容会被重新改造,,,
8,System_QuestAccept_Cl001,,,,,,1,,-1,在npc有可以接的任务时头顶上会出现的特效提示,,,
9,System_QuestUnfinish_Cl001,,,,,,0.5,,-1,在npc有已经接了但未完成的任务时头顶上会出现的特效提示,,,
10,System_QuestFinish_Cl001,,,,,,1,,-1,在npc有已经接了但未完成的任务时头顶上会出现的特效提示,,,
11,System_SelectEnemy_Cl001,,,"[0,0.2,0]",,,1,1,-1,战斗中Boss角色会在Boss脚底显示的圆盘特效,,,
12,System_SelectParty_Cl001,,,"[0,0.2,0]",,,1,1,-1,战斗中队友角色会在Boss脚底显示的圆盘特效,,,
13,System_SelectTarget_Cl001,,,"[0,0.2,0]",,,1,1,-1,主城中在选中目标角色时脚底显示的圆盘特效,,,
14,System_OfficerFushion_Cl001A,,,,,,0.5,,2,英灵融合时汇聚成光球的特效,,,
15,System_OfficerFushion_Cl001B,,,,,,0.2,,-1,英灵融合时持续播放的光球,,,
16,System_OfficerFushion_Cl001C,,,,,,0.2,,3,英灵融合时光球汇聚后在角色头像原点发出的光芒特效,,,
17,System_BattleWin_Cl001,,,,,,1,,1.2,战斗胜利的文字特效,,,
18,System_BattleLose_Cl001,,,,,,1,,1.2,战斗失败的文字特效,,,
19,System_QuestAccept_DCQ002,,,,,,1,,2.2,接受任务时播的文字特效,,,
20,System_QuestFinish_DCQ002,,,,,,1,,1.625,完成任务时播的文字特效,,,
21,System_LevelUp_Cl002,,,,,,1,,1.2,升级时播的文字特效,,,
22,System_TreasureLight_Cl001,,,,,,0.3,,3,战斗界面的宝箱内有宝物时宝箱上的微弱发光的效果,,,
23,System_PickUp_Cl001B,,,,,,1,,-1,玩家移动到掉落物品附近时物品会变成飞向界面上宝箱的一个光效球,,,
24,System_PickUp_Cl001C,,,,,,1,,2,玩家移动到掉落物品附近时物品飞向界面上宝箱时爆开的特效,,,
25,System_PickUp_Cl002B,,,,,,1,,-1,玩家移动到场景掉落的恢复血量道具附近时会变成的绿色小球特效,,,
26,System_PickUp_Cl002C,,,,,,1,,2,玩家移动到场景掉落的恢复血量道具附近时绿色小球飞到身上爆开的特效,,,
27,System_Combo_Cl001,,,,,,1,,0.6,战斗中打出连击时连击数旁的特效,,,
28,System_BoxLight_Cl001,,,,,,0.5,,-1,包裹,,,
29,System_BoxLight_Cl002,,,,,,0.5,,-1,银宝箱,,,
30,System_BoxLight_Cl003,,,,,,0.5,,-1,金宝箱,,,
34,System_ForEnter_Cl001,,,,,,1,,-1,在世界地图上标识玩家当前正要进入的主城建筑的特效,,,
35,System_Battlequest_Cl001,,,,,,0.3,,1,完成战斗中的支线任务时伴随字体飞出的火焰特效,,,
36,System_StarUp_Cl001,,,,,,1,,1,装备升星时的过程特效,,,
37,System_StarUp_Cl002,,,,,,1,,3,装备升星成功时的文字特效,,,
38,System_Inlay_Cl001,,,,,,0.8,,1,装备镶嵌宝石时的过程特效,,,
39,System_Inlay_Cl002,,,,,,1,,3,装备镶嵌宝石成功时的文字特效,,,
40,System_Forge_Cl001,,,,,,0.73,,1,装备锻造时的过程特效,,,
41,System_Forge_Cl002,,,,,,1,,3,装备锻造成功时的文字特效,,,
42,System_Refine_Cl001,,,,,,1,,1,精炼宝石时的过程特效,,,
