id,up_castle_dev_max,up_castle_cost,castle_point,castle_member_max,present_max,up_camp_dev_max,up_camp_cost,camp_point,up_alter_dev_max,task_num,up_alter_cost,alter_point,pray_times,cd_time,fortune_value,open_buff,up_palace_dev_max,up_palace_cost,palace_point,skill_lv,rank_level_point,rank_limit,endRow
*uint,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,uint[],int,int,int,int,int,int,
#ID,升级城堡发展值要求,提升下一级城堡消耗,城堡评分,城堡等级对应的人数,捐献最大值,发展值要求,提升下一级营寨消耗,营寨评分,发展值要求,任务数量,提升下一级祭坛消耗,祭坛评分,一天祈祷次数,祈祷完冷却时间,贡献值,打开buff,发展值要求,提升下一级殿堂,殿堂评分,技能等级提升,评级积分要求,每等级公会限制个数,
1,0,200,200,33,28,0,200,200,0,8,200,200,3,300,2,"[600101,600201,600301,600401,600501,600601,600701,600801,600901]",0,200,200,2,12000,5,
2,0,500,400,36,36,0,500,400,0,10,500,400,3,300,4,"[600102,600202,600302,600402,600502,600602,600702,600802,600902]",0,500,400,4,9000,999,
3,0,1000,600,39,44,0,1000,600,0,12,1000,600,3,300,6,"[600103,600203,600303,600403,600503,600603,600703,600803,600903]",0,1000,600,6,6000,999,
4,0,2000,800,42,52,0,2000,800,0,14,2000,800,3,300,8,"[600104,600204,600304,600404,600504,600604,600704,600804,600904]",0,2000,800,8,3000,999,
5,0,5000,1000,45,60,0,5000,1000,0,15,5000,1000,3,300,10,"[600105,600205,600305,600405,600505,600605,600705,600805,600905]",0,5000,1000,10,0,999,
6,0,15000,1200,48,68,0,15000,1200,0,16,15000,1200,3,300,12,"[600106,600206,600306,600406,600506,600606,600706,600806,600906]",0,15000,1200,12,,,
7,0,30000,1400,51,76,0,30000,1400,0,17,30000,1400,3,300,14,"[600107,600207,600307,600407,600507,600607,600707,600807,600907]",0,30000,1400,14,,,
8,0,50000,1600,54,84,0,50000,1600,0,18,50000,1600,3,300,16,"[600108,600208,600308,600408,600508,600608,600708,600808,600908]",0,50000,1600,16,,,
9,0,100000,1800,57,92,0,100000,1800,0,19,100000,1800,3,300,18,"[600109,600209,600309,600409,600509,600609,600709,600809,600909]",0,100000,1800,18,,,
10,0,,2000,60,100,0,,2000,0,20,,2000,3,300,20,"[600110,600210,600310,600410,600510,600610,600710,600810,600910]",0,,2000,20,,,
