id,scene,soul1,pos1,lv1,soul2,pos2,lv2,soul3,pos3,lv3,soul4,pos4,lv4,gold,item,itemamount,box,name,endRow
*uint,uint,uint,uint[],uint,uint,uint[],uint,uint,uint[],uint,uint,uint[],uint,uint,uint,uint[],uint,string,
#关卡ID,场景,神灵1,位置1,等级1,神灵2,位置2,等级2,神灵3,位置3,等级3,神灵4,位置4,等级4,金币,碎片,数量,保箱,关卡名,
300101,80156,700101,"[1,1]",2,700202,"[1,2]",3,700203,"[1,3]",3,700203,"[1,4]",3,4000,1403400001,"[1,1]",,第一关,
300201,80256,700201,"[1,1]",4,700202,"[1,2]",5,700203,"[1,3]",5,700203,"[1,4]",5,8000,1403400001,"[1,1]",,第二关,
300301,80356,700301,"[1,1]",6,700302,"[1,2]",7,700303,"[1,3]",7,700303,"[1,4]",7,12000,1403400001,"[1,2]",,第三关,
300401,80456,700401,"[1,1]",7,700402,"[1,2]",8,700403,"[1,3]",8,700403,"[1,4]",8,16000,1403400001,"[1,2]",,第四关,
300501,80556,700502,"[1,1]",8,700503,"[1,2]",9,700503,"[1,3]",9,700503,"[1,4]",9,20000,1403400001,"[2,2]",1303301001,第五关,
300601,80656,700603,"[1,1]",9,700704,"[1,2]",10,700803,"[1,3]",10,700904,"[1,4]",10,24000,1403400001,"[2,3]",,第六关,
300701,80756,700703,"[1,1]",10,700802,"[1,2]",11,700903,"[1,3]",11,701004,"[1,4]",11,28000,1403400001,"[2,3]",,第七关,
300801,80856,700803,"[1,1]",11,700902,"[1,2]",12,701003,"[1,3]",12,701104,"[1,4]",12,32000,1403400001,"[2,3]",,第八关,
300901,80956,700903,"[1,1]",12,701002,"[1,2]",13,701103,"[1,3]",13,701204,"[1,4]",13,36000,1403400001,"[2,3]",,第九关,
301001,81056,701003,"[1,1]",13,701104,"[1,2]",14,701203,"[1,3]",14,701304,"[1,4]",14,40000,1403400001,"[3,4]",1303301002,第十关,
301101,81156,701103,"[1,1]",14,701204,"[1,2]",15,701303,"[1,3]",15,701404,"[1,4]",15,44000,1403400001,"[3,5]",,第十一关,
301201,81256,701203,"[1,1]",15,701304,"[1,2]",16,701403,"[1,3]",16,701504,"[1,4]",16,48000,1403400001,"[3,7]",,第十二关,
301301,81356,701303,"[1,1]",16,701404,"[1,2]",17,701503,"[1,3]",17,701604,"[1,4]",17,52000,1403400001,"[3,9]",,第十三关,
301401,81456,701403,"[1,1]",17,701504,"[1,2]",18,701603,"[1,3]",18,701704,"[1,4]",18,56000,1403400001,"[3,11]",,第十四关,
301501,81556,704904,"[1,1]",18,701605,"[1,2]",19,701706,"[1,3]",19,701806,"[1,4]",19,60000,1403400001,"[5,11]",1303301003,第十五关,
301502,81556,703004,"[1,1]",19,705005,"[1,2]",20,703206,"[1,3]",20,703306,"[1,4]",20,60000,1403400001,"[5,11]",1303301003,第十五关,
301503,81556,703004,"[1,1]",20,703105,"[1,2]",21,705106,"[1,3]",21,703306,"[1,4]",21,60000,1403400001,"[5,11]",1303301003,第十五关,
301504,81556,703004,"[1,1]",22,703105,"[1,2]",22,703206,"[1,3]",22,705206,"[1,4]",22,60000,1403400001,"[5,11]",1303301003,第十五关,
301601,81656,701605,"[1,1]",24,701702,"[1,2]",23,701803,"[1,3]",23,701904,"[1,4]",23,64000,1403400001,"[5,13]",,第十六关,
301701,81756,701705,"[1,1]",26,701805,"[1,2]",24,701905,"[1,3]",24,702006,"[1,4]",24,68000,1403400001,"[5,15]",,第十七关,
