id,limit_lv,combat_limit,team_name,weight,scene_id,reward,model,endRow
*uint,int,int,string,int,int,jsondata,uint,
#序号,等级限制,战力限制,组队场名称,权重,关卡—ID,奖励,actorID,
1,10,0,狼人头领,2500,80001,,80001002,
2,10,0,阿喀琉斯,2500,80002,,80002002,
3,10,0,死灵骑士,2500,80003,,80003002,
4,10,0,斯琳娜公主,2500,80004,,80004002,
5,10,0,废弃巢穴,0,,"[{""id"":1305100102,""num"":1}]",,
6,30,0,阿喀琉斯,2500,80011,,80011002,
7,30,0,斯琳娜公主,2500,80012,,80012002,
8,30,0,蝎子,2500,80013,,80013002,
9,30,0,沙虫,2500,80014,,80014002,
10,30,0,废弃巢穴,0,,"[{""id"":1305100103,""num"":1}]",,
11,40,0,蝎子,2500,80021,,80021002,
12,40,0,沙虫,2500,80022,,80022002,
13,40,0,帕特洛克罗斯,2500,80023,,80023002,
14,40,0,镰刀死神,2500,80024,,80024002,
15,40,0,废弃巢穴,0,,"[{""id"":1305100104,""num"":1}]",,
16,50,0,帕特洛克罗斯,2500,80031,,80031002,
17,50,0,镰刀死神,2500,80032,,80032002,
18,50,0,冰魔,2500,80033,,80033002,
19,50,0,丧尸傀儡,2500,80034,,80034002,
20,50,0,废弃巢穴,0,,"[{""id"":1305100105,""num"":1}]",,
21,60,0,冰魔,2500,80041,,80041002,
22,60,0,丧尸傀儡,2500,80042,,80042002,
23,60,0,炎魔,2500,80043,,80043002,
24,60,0,将军,2500,80044,,80044002,
25,60,0,废弃巢穴,0,,"[{""id"":1305100105,""num"":1}]",,
26,70,0,炎魔,2500,80051,,80051002,
27,70,0,将军,2500,80052,,80052002,
28,70,0,阿伽门农,2500,80053,,80053002,
29,70,0,丧尸英雄王,2500,80054,,80054002,
30,70,0,废弃巢穴,0,,"[{""id"":1305100105,""num"":1}]",,
