id,lv,name,boss_model,boss_type,boss_pos,boss_rot,boss_scal,boss_scene,hunter_time,reward1,reward2,reward3,reward4,endRow
*uint,uint,string,uint,!MHunter.HunterBossType,Vector3,Vector3,float,uint,uint,uint,uint,uint,uint,
#猎魔系统,等级,BOSS名称,actorID,普通=1 困难=2 精英=3,boss偏移位置,boss旋转,boss大小,怪物镇守场景,打BOSS限制时间,第一名奖励,第2~5名奖励,第6~10名奖励,挑战安慰奖,
1,20,亡灵,70001001,2,"[0,-200,-200]","[0,145,0]",0.45,70001,300,100001,100002,100003,100004,
2,25,芬里尔狼,70002001,2,"[0,-200,-200]","[0,145,0]",0.5,70002,300,100011,100012,100013,100014,
3,30,丧尸英雄王,70003001,2,"[0,-200,-200]","[0,145,0]",0.4,70003,300,100021,100022,100023,100024,
4,35,蜘蛛,70004001,2,"[0,-200,-200]","[0,145,0]",0.5,70004,300,100031,100032,100033,100034,
5,40,游侠,70005001,2,"[0,-200,-200]","[0,145,0]",0.5,70005,300,100041,100042,100043,100044,
6,45,阿伽门农,70006001,2,"[0,-200,-200]","[0,145,0]",0.5,70006,300,100051,100052,100053,100054,
7,50,阿喀琉斯,70007001,2,"[0,-200,-200]","[0,145,0]",0.4,70007,300,100061,100062,100063,100064,
8,55,斯琳娜公主,70008001,2,"[0,-200,-200]","[0,145,0]",0.4,70008,300,100071,100072,100073,100074,
9,60,美狄亚,70009001,2,"[0,-200,-200]","[0,145,0]",0.4,70009,300,100081,100082,100083,100084,
10,65,海伦,70010001,2,"[0,-200,-200]","[0,145,0]",0.4,70010,300,100091,100092,100093,100094,
11,70,暗黑雅典娜,70011001,2,"[0,-200,-200]","[0,145,0]",0.4,70011,300,100101,100102,100103,100104,
