id,degree,recommand_force,lvl_limit,practice_num,boss,limit_time,pass_reward,vip_drop,target,drop_list1,drop_list2,drop_list4,ep,times,target_size,target_0,value_0,target_1,value_1,target_2,value_2,end,,,,
*uint,!EStageDegree,int,int,int,string,int,int,int,string[],uint[],uint[],uint[],int,int,int,int,int,int,int,int,int,,,,,
#,关卡难度,推荐战力,等级限制,历练次数,boss名字,副本限制时间,通关奖励,vip额外奖励,目标,物品掉落列表1,物品掉落列表2,物品掉落列表3,消耗体力,可挑战次数,目标个数,目标1类型,目标1值,目标2类型,目标2值,目标3类型,目标3值,,,,,
500010,0,0,0,,狼王,300,,,,,,,,-1,,,,,,,,,,,,
500020,0,0,0,,丧尸英雄王,300,,,,,,,,-1,,,,,,,,,,,,
500030,0,0,0,,紫魔蛛,300,,,,,,,,-1,,,,,,,,,,,,
500040,0,0,0,,阿伽门农,300,,,,,,,,-1,,,,,,,,,,,,
500050,0,0,0,,美狄亚,300,,,,,,,,-1,,,,,,,,,,,,
500060,0,0,0,,海伦,300,,,,,,,,-1,,,,,,,,,,,,
500070,0,0,0,,美杜莎,300,,,,,,,,-1,,,,,,,,,,,,
600000,0,0,0,,,300,,,,,,,,-1,,,,,,,,,,,,
40,0,0,0,,,600,,,,,,,,-1,,,,,,,,,,,,
15000,0,0,0,,0,5000,,,,,,,0,-1,0,,,,,,,,,,,
15010,0,0,0,,0,5000,,,,,,,0,-1,0,,,,,,,,,,,
10010,0,300,0,10,野狼,300,10010,,"[""通关关卡"",""3分钟内通关关卡"",""免死且血量大于50%通关""]",,,,10,-1,3,1,300,1,180,3,5000,,,,,
10020,0,400,0,10,强盗,300,10020,,"[""通关关卡"",""3分钟内通关关卡"",""免死且血量大于50%通关""]",,,,10,-1,3,1,300,1,180,3,5000,,,,,
10030,0,550,0,10,强盗,300,10030,,"[""通关关卡"",""3分钟内通关关卡"",""免死且血量大于50%通关""]",[1400100001],[1400100001],[1400100001],10,-1,3,1,300,1,180,3,5000,,,,,
10040,0,700,0,10,野狼头领,300,10040,,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]",[1400100001],[1400100001],[1400100001],10,-1,3,1,300,1,150,3,5000,,,,,
10050,0,900,0,10,哥布林,300,10050,,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]",[1400100001],[1400100001],[1400100001],10,-1,3,1,300,1,150,3,5000,,,,,
10060,0,1050,0,10,邪恶亡灵,300,10060,,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]",[1400100001],[1400100001],[1400100001],10,-1,3,1,300,1,150,3,5000,,,,,
10070,0,1210,0,10,邪恶巫师,300,10070,,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]",[1400100001],[1400100001],[1400100001],10,-1,3,1,300,1,120,3,5000,,,,,
10080,0,1350,0,10,芬里尔狼,300,10080,,"[""通关关卡"",""3分钟内通关关卡"",""免死且血量大于50%通关""]",[1400100001],[1400100001],[1400100001],10,-1,3,1,300,1,180,3,5000,,,,,
20010,0,1400,0,10,,300,20010,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20011,1,1700,0,10,,300,20011,202,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400200000,1903100001]","[1400200000,1903100001]","[1400200000,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20012,2,4200,0,10,,300,20012,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200001,1903100001]","[1400200001,1903100001]","[1400200001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20020,0,1500,0,10,远征军队长,300,20020,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20021,1,1800,0,10,远征军队长,300,20021,202,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400300000,1903100001]","[1400300000,1903100001]","[1400300000,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20022,2,4500,0,10,远征军队长,300,20022,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400300001,1903100001]","[1400300001,1903100001]","[1400300001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20030,0,1650,0,10,阿喀琉斯,300,20030,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20031,1,1950,0,10,阿喀琉斯,300,20031,202,"[""通关关卡"",""5分钟内通关关卡"",""免死且血量大于20%通关""]","[1400100001,1400400101,1903100001]","[1400100001,1400400101,1903100001]","[1400100001,1400400101,1903100001]",10,-1,3,1,300,1,300,1,300,,,,,
20032,2,4900,0,10,阿喀琉斯,300,20032,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200001,1903100001]","[1400200001,1903100001]","[1400200001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20040,0,2000,0,10,邪恶亡灵,300,20040,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20041,1,2200,0,10,邪恶亡灵,300,20041,202,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400501,1903100001]","[1400100001,1400400501,1903100001]","[1400100001,1400400501,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20042,2,5100,0,10,邪恶亡灵,300,20042,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400300001,1903100001]","[1400300001,1903100001]","[1400300001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20050,0,2100,0,10,,300,20050,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20051,1,2300,0,10,,300,20051,202,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400301,1903100001]","[1400100001,1400400301,1903100001]","[1400100001,1400400301,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20052,2,5400,0,10,,300,20052,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400500001,1400500000,1903100001]","[1400500001,1400500000,1903100001]","[1400500001,1400500000,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20060,0,2600,0,10,斯琳娜公主,300,20060,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
20061,1,2850,0,10,斯琳娜公主,300,20061,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200000,1903100001]","[1400200000,1903100001]","[1400200000,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20062,2,5700,0,10,斯琳娜公主,300,20062,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200001,1903100001]","[1400200001,1903100001]","[1400200001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20070,0,2900,0,10,,300,20070,201,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20071,1,3300,0,10,,300,20071,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400601,1903100001]","[1400100001,1400400601,1903100001]","[1400100001,1400400601,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20072,2,5800,0,10,,300,20072,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100002,1903100001]","[1400100002,1903100001]","[1400100002,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20080,0,2950,0,10,,300,20080,201,"[""通关关卡"",""2分10秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,130,3,5000,,,,,
20081,1,3350,0,10,,300,20081,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400401,1903100001]","[1400100001,1400400401,1903100001]","[1400100001,1400400401,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20082,2,6000,0,10,,300,20082,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400300001,1903100001]","[1400300001,1903100001]","[1400300001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20090,0,3050,0,10,,300,20090,201,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20091,1,3500,0,10,,300,20091,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400201,1903100001]","[1400100001,1400400201,1903100001]","[1400100001,1400400201,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20092,2,6300,0,10,,300,20092,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200001,1903100001]","[1400200001,1903100001]","[1400200001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20100,0,3150,0,10,,300,20100,201,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20101,1,3600,0,10,,300,20101,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400300000,1903100001]","[1400300000,1903100001]","[1400300000,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20102,2,6500,0,10,,300,20102,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100002,1903100001]","[1400100002,1903100001]","[1400100002,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20110,0,3300,0,10,,300,20110,201,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20111,1,3750,0,10,,300,20111,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200000,1903100001]","[1400200000,1903100001]","[1400200000,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20112,2,7200,0,10,,300,20112,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400300001,1903100001]","[1400300001,1903100001]","[1400300001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
20120,0,4200,0,10,丧尸英雄王,300,20120,201,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20121,1,4500,0,10,丧尸英雄王,300,20121,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400300000,1903100001]","[1400300000,1903100001]","[1400300000,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
20122,2,8000,0,10,丧尸英雄王,300,20122,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400500001,1400500000,1903100001]","[1400500001,1400500000,1903100001]","[1400500001,1400500000,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
10090,0,4200,0,10,,300,10900,201,"[""通关关卡"",""2分钟内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,120,3,5000,,,,,
10091,1,4450,0,10,,300,10901,202,"[""通关关卡"",""2分10秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400102,1903100001]","[1400100001,1400400102,1903100001]","[1400100001,1400400102,1903100001]",10,-1,3,1,300,1,130,3,5000,,,,,
10092,2,7800,0,10,,300,10902,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100002,1903100001]","[1400100002,1903100001]","[1400100002,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
10100,0,4300,0,10,,300,10100,201,"[""通关关卡"",""2分10秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,130,3,5000,,,,,
10101,1,4550,0,10,,300,10101,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1400400502,1903100001]","[1400100001,1400400502,1903100001]","[1400100001,1400400502,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
10102,2,8100,0,10,,300,10102,203,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200001,1903100001]","[1400200001,1903100001]","[1400200001,1903100001]",10,5,3,1,300,1,150,3,5000,,,,,
10110,0,4450,0,10,,300,10110,201,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400100001,1903100001]","[1400100001,1903100001]","[1400100001,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
10111,1,4700,0,10,,300,10111,202,"[""通关关卡"",""2分30秒内通关关卡"",""免死且血量大于50%通关""]","[1400200000,1903100001]","[1400200000,1903100001]","[1400200000,1903100001]",10,-1,3,1,300,1,150,3,5000,,,,,
