id,name,type,link,stack,color,lv,icon,smallicon,price,Diamondprices,access,limit_forge,limit_refine,limit_advance,info,partnermodel,dropFx,pickFx,pickOverFx,dropVoice,tips,endRow
*uint,string,int,!UIBaseSystem.Link,int,int,int,int,int,int,int,string,int,int,int,string,uint,uint,uint,uint,uint,string,
#id1开始表示装备,名称,按钮类型,跳转类型,堆叠数量,品质,使用等级/穿戴等级,图标,小图标,出售价格,钻石价格,获得途径,锻造限制(物品颜色),精炼限制(物品等级),解封限制(物品等级),道具效果,小精灵形象,掉落特效,拾取特效,拾取结束特效,掉落音效,底部小提示,
1101100001,骑士长枪,3,,1,3,1,1201101,,200,9999,任务获得,0,25,15,骑士专属武器，广泛用于各地战争之中,,87,,,110009,骑士专属武器，广泛用于各地战争之中,
1101100003,惩戒之荆,3,,1,3,15,1201102,,2000,9999,装备铸造获得,0,25,15,我来到这个世上，就是为了洗清人世间的罪孽———惩戒之荆第一位主人，米卢西圣骑士,,87,,,110009,我来到这个世上，就是为了洗清人世间的罪孽———惩戒之荆第一位主人，米卢西圣骑士,
1101100004,女武神之枪,3,,1,3,25,1201103,,5000,9999,装备铸造获得,4,25,15,枪上刻着翱翔在天际的瓦尔基里，供奉在女武神之庙的圣物,,87,,,110009,枪上刻着翱翔在天际的瓦尔基里，供奉在女武神之庙的圣物,
1101100005,女武神之枪,3,,1,4,25,1201103,,10000,9999,装备铸造获得,4,35,15,枪上刻着翱翔在天际的瓦尔基里，供奉在女武神之庙的圣物,,87,,,110009,枪上刻着翱翔在天际的瓦尔基里，供奉在女武神之庙的圣物,
1101100006,圣炎长枪,3,,1,4,35,1201104,,15000,9999,装备铸造获得,4,35,15,萦绕着不灭圣火的长枪，最强七天使武器之一,,87,,,110009,萦绕着不灭圣火的长枪，最强七天使武器之一,
1101100007,巨神之矛,3,,1,4,45,1201105,,25000,9999,装备铸造获得,4,35,15,泰坦族遗留在人界的究极神兵，据说曾用它穿破苍穹,,87,,,110009,泰坦族遗留在人界的究极神兵，据说曾用它穿破苍穹,
1101100008,侍月女神,3,,1,4,55,1201106,,20000,9999,装备铸造获得,4,35,15,无视世间一切法则的终极兵器,,87,,,110009,无视世间一切法则的终极兵器,
1101100009,圣炎长枪,3,,1,5,35,1201104,,32000,9999,装备铸造获得,4,45,15,萦绕着不灭圣火的长枪，最强七天使武器之一,,87,,,110009,萦绕着不灭圣火的长枪，最强七天使武器之一,
