id,formulas,equip,feedback,res_type,res_value,m_count,m1,m_value1,m2,m_value2,m3,m_value3,m4,m_value4,
*uint,int,int,jsondata,int,int,int,int,int,int,int,int,int,int,int,
#ID,其他配方,目标装备,返还资源,资源1类型,资源1值,,材料1类型,材料1值,材料2类型,材料2值,材料3类型,材料3值,材料4类型,材料4值,
10001,,,,1,500,1,1400100001,1,,,,,,,
10002,,,,1,1000,1,1400100001,1,,,,,,,
10003,,,,1,1500,1,1400100001,1,,,,,,,
10004,,,,1,2000,1,1400100001,1,,,,,,,
10005,,,,1,3000,1,1400100001,1,,,,,,,
10006,,,,1,4000,1,1400100001,2,,,,,,,
10007,,,,1,5000,1,1400100001,2,,,,,,,
10008,,,,1,6000,1,1400100001,2,,,,,,,
10009,,,,1,8000,1,1400100001,2,,,,,,,
10010,,,,1,10000,1,1400100001,3,,,,,,,
10011,,,,1,12000,1,1400100001,3,,,,,,,
10012,,,,1,14000,1,1400100001,3,,,,,,,
10013,,,,1,16000,1,1400100001,4,,,,,,,
10014,,,,1,18000,1,1400100001,4,,,,,,,
10015,,,,1,20000,1,1400100001,4,,,,,,,
10016,,,,1,22000,1,1400100001,5,,,,,,,
10017,,,,1,24000,1,1400100001,5,,,,,,,
10018,,,,1,26000,1,1400100001,5,,,,,,,
10019,,,,1,28000,1,1400100001,6,,,,,,,
10020,,,,1,30000,1,1400100001,6,,,,,,,
10021,,,,1,32000,1,1400100002,2,,,,,,,
10022,,,,1,34000,1,1400100002,2,,,,,,,
10023,,,,1,36000,1,1400100002,3,,,,,,,
10024,,,,1,38000,1,1400100002,3,,,,,,,
10025,,,,1,40000,1,1400100002,4,,,,,,,
10026,,,,1,42000,1,1400100002,4,,,,,,,
10027,,,,1,44000,1,1400100002,5,,,,,,,
10028,,,,1,46000,1,1400100002,5,,,,,,,
10029,,,,1,48000,1,1400100002,6,,,,,,,
10030,,,,1,50000,1,1400100002,6,,,,,,,
10031,,,,1,55000,1,1400100002,7,,,,,,,
10032,,,,1,60000,1,1400100002,7,,,,,,,
10033,,,,1,65000,1,1400100002,8,,,,,,,
10034,,,,1,70000,1,1400100002,9,,,,,,,
10035,,,,1,75000,1,1400100002,10,,,,,,,
10036,,,,1,80000,1,1400100002,11,,,,,,,
10037,,,,1,85000,1,1400100002,12,,,,,,,
10038,,,,1,90000,1,1400100002,13,,,,,,,
10039,,,,1,95000,1,1400100002,14,,,,,,,
10040,,,,1,100000,1,1400100002,15,,,,,,,
10041,,,,1,110000,1,1400100003,3,,,,,,,
10042,,,,1,120000,1,1400100003,3,,,,,,,
10043,,,,1,130000,1,1400100003,4,,,,,,,
10044,,,,1,140000,1,1400100003,4,,,,,,,
10045,,,,1,150000,1,1400100003,5,,,,,,,
10046,,,,1,160000,1,1400100003,6,,,,,,,
10047,,,,1,170000,1,1400100003,7,,,,,,,
10048,,,,1,180000,1,1400100003,8,,,,,,,
10049,,,,1,190000,1,1400100003,9,,,,,,,
10050,,,,1,200000,1,1400100003,10,,,,,,,
10051,,,,1,220000,1,1400100003,11,,,,,,,
10052,,,,1,240000,1,1400100003,12,,,,,,,
10053,,,,1,260000,1,1400100003,13,,,,,,,
10054,,,,1,280000,1,1400100003,14,,,,,,,
10055,,,,1,300000,1,1400100003,15,,,,,,,
10056,,,,1,320000,1,1400100003,16,,,,,,,
10057,,,,1,340000,1,1400100003,17,,,,,,,
10058,,,,1,360000,1,1400100003,18,,,,,,,
10059,,,,1,380000,1,1400100003,19,,,,,,,
10060,,,,1,400000,1,1400100003,20,,,,,,,
10061,,,,1,420000,1,1400100003,21,,,,,,,
10062,,,,1,440000,1,1400100003,22,,,,,,,
10063,,,,1,460000,1,1400100003,23,,,,,,,
10064,,,,1,480000,1,1400100003,24,,,,,,,
10065,,,,1,500000,1,1400100003,25,,,,,,,
10066,,,,1,520000,1,1400100003,26,,,,,,,
10067,,,,1,540000,1,1400100003,27,,,,,,,
10068,,,,1,560000,1,1400100003,28,,,,,,,
10069,,,,1,580000,1,1400100003,29,,,,,,,
10070,,,,1,600000,1,1400100003,30,,,,,,,
20001,,,,1,60000,1,1400100002,5,,,,,,,
20002,,,,1,62000,1,1400100002,5,,,,,,,
20003,,,,1,64000,1,1400100002,5,,,,,,,
