id,scene,title,shots,endRow
*uint,uint,string,string,
#ID,场景id,名字,镜头列表,
8001,1501,开场剧情1,100-123,
8002,1501,开场剧情2,200-215,
8003,1501,开场剧情3,300-316,
8004,1501,开场剧情4,400-445,
8005,1501,开场剧情5,500-516,
8006,1501,开场剧情6,600-603,
8007,1501,开场剧情7,700-703,
8008,1501,开场剧情8,800-809,
8009,1501,开场剧情9,900-906,
8011,1501,开场剧情11,1100-1105,
8012,1501,开场剧情12,1200-1203,
8013,1501,开场剧情13,1300-1303,
8014,1501,开场剧情14,1400-1404,
8015,1501,开场剧情14,1500-1501,
8016,1501,开场剧情15,1600-1612,
8017,1501,开场剧情15,1700-1700,
8018,1501,开场剧情15,1701-1701,
8019,1501,开场剧情15,1709-1710,
8020,1501,开场剧情15,1703-1703,
8021,1501,开场剧情15,1704-1704,
8025,1501,开场剧情15,1708-1708,
8026,1501,开场剧情15,1800-1811,
8027,1501,开场剧情15,1900-1906,
8028,1501,开场剧情15,2000-2007,
8029,1501,开场剧情15,1711-1711,
8030,1501,开场剧情15,2200-2204,
3,1500,第一章结束剧情1,100101-100112,
4,1500,第一章结束剧情2,100200-100213,
5,1500,第一章结束剧情3,100294-100324,
6,1500,第一章结束剧情4,100400-100405,
7001,,联盟战对方登场镜头,200101-200107,

