id,complete,pivot,is_drak,tips_pos,angel_is_left,cue_fx,cue_pos,cue_rot,collide_pos,collide_scal,arrows_pos,arrows_to,light_pos1,light_pos2,todo,press,recycle,tips
*uint,int[],!UIAnchor.Side,bool,Vector3,bool,!UIFinger.FingerType,Vector3,Vector3,Vector3,Vector3,Vector3,int,Vector3,Vector3,int[],int[],int[],string
#新手引导表,触发完成某一段的ID列表,特效和选中框的对齐位置,是否压暗, 提示框位置,,提示特效,特效位置,特效朝向,碰撞区域位置,碰撞区域大小,箭头位置,箭头方向,"[x,y,半径]","[x,y,半径]",去做,点击,回收,提示语
1,,0,0,"[250,240,0]",0,1,"[250,150,0]",,,,,,,,[21],[11],,点击地面移动
2,,0,0,"[230,260,0]",0,1,"[210,150,0]",,,,,,,,[21],[11],,朝怪物方向移动，主角会自动攻击
3,,0,0,"[280,-260.7,0]",0,6,"[140,-130,0]",,,,,,,,"[3,33]",,[14],手指快速划动，可翻滚躲避攻击
4,,8,0,"[-280,68,0]",1,1,"[-70,68,0]",,"[-70,68,0]","[110,110,1]",,,,,,"[12,11]",,使用技能消灭敌人
5,,0,0,"[250,240,0]",0,1,"[250,150,0]",,,,,,,,[21],[11],,很好！再次点击地面移动
6,,0,0,"[280,260,0]",0,1,"[230,130,0]",,,,,,,,[21],[11],,朝怪物方向移动，主角会自动攻击
7,,0,0,"[0,290,0]",0,1,"[6,230,0]",,,,,,,,[21],[11],,朝怪物方向点击箭头，施放技能
8,,0,0,"[260,240,0]",1,1,"[140,62,0]",,"[145,62,0]","[98,98,1]",,,,,,"[12,11]",,点击GO按钮，自动寻路
9,,0,0,"[260,240,0]",1,1,"[140,62,0]",,"[145,62,0]","[98,98,1]",,,,,,"[12,11]",,点击GO按钮，自动寻路
10,,0,0,"[-280,-10,0]",1,5,"[-200,-130,0]",,,,,,,,"[3,32]",,[14],再次划动，翻滚躲避攻击
11,,8,0,"[-200,530,0]",1,1,"[-70,530,0]",,"[-70,530,0]","[110,110,1]",,,,,,"[12,11]",,点击无双技
12,,0,0,"[0,290,0]",0,1,"[6,230,0]",,,,,,,,[21],[11],,朝怪物方向点击箭头，施放无双技
#进入主城,,,,,,,,,,,,,,,,,,
100,[100],0,1,"[0,160,0]",1,,,,,,,,,,"[5,21]",[11],,欢迎来到属于你的游戏神话之旅
120,[120],0,,,,,,,,,,,,,,,,
112,,4,1,"[180,-150,0]",0,1,"[143,0,0]",,"[143,0,0]","[290,86,1]",,,"[143,0,3]",,[4],"[20,2,12]",[1],点击可自动任务哟
113,"[112,113]",0,1,"[123,-205,0]",1,1,"[441,-268,0]",,"[441,-268,0]","[198,68,1]",,,"[441,-268,3]",,,"[12,11]",[14],挑战关卡会消耗一定的体力
#增加体力不足指引,,,,,,,,,,,,,,,,,,
114,[114],0,1,"[340,230,0]",1,,,,,,"[322,315,0]",2,"[330,315,10]",,"[5,21]",[11],,体力不足可购买体力，VIP可购买多次
#100002,,,,,,,,,,,,,,,,,,
121,[121],8,1,"[-433,290,0]",1,1,"[-220,167,0]",,"[-220,167,0]","[136,68,1]",,,"[-220,230,5]",,,"[12,11]",,点击可立即换装哦
#100005,,,,,,,,,,,,,,,,,,
122,[122],8,1,"[-433,290,0]",1,1,"[-220,167,0]",,"[-220,167,0]","[136,68,1]",,,"[-220,230,5]",,,"[12,11]",,点击可立即换装哦
#100006,,,,,,,,,,,,,,,,,,
123,[123],8,1,"[-433,290,0]",1,1,"[-220,167,0]",,"[-220,167,0]","[136,68,1]",,,"[-220,230,5]",,,"[12,11]",,点击可立即换装哦
130,,5,1,"[-238,242,0]",1,1,"[-60,245,0]",,"[-60,245,0]","[90,90,1]",,,"[-60,245,2]",,[7],"[12,11]",,点击装备按钮
132,,0,1,"[-12,-268,0]",0,1,"[-244,-264,0]",,"[-244,-264,0]","[198,68,1]",,,"[-244,-264,2]","[-300,85,15]",,"[12,11]",,消耗星纹石升星
133,"[130,132,133]",0,1,"[-12,-268,0]",0,1,"[-244,-264,0]",,"[-244,-264,0]","[198,68,1]",,,"[-244,-264,2]","[-300,85,15]",,"[12,11]",,再次点击升星
134,[134],0,0,"[0,-100,0]",0,,,,,,,,,,"[5,21]",[11],,看，武器属性变化了呢
135,[135],0,1,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,"[595,319,2]",,,"[12,11]",,点击关闭
#100008,,,,,,,,,,,,,,,,,,
140,[140],8,1,"[-433,290,0]",1,1,"[-220,167,0]",,"[-220,167,0]","[136,68,1]",,,"[-220,230,5]",,,"[12,11]",,点击可立即换装哦
141,,5,1,"[-125,-90,0]",1,1,"[-35,0,0]",,"[-35,0,0]","[70,90,1]",,,"[-38,0,2]",,,"[7,11]",,点击菜单按钮
142,,5,1,"[-300,150,0]",1,1,"[-60,245,0]",,"[-60,245,0]","[90,90,1]",,,"[-60,245,2]",,[7],"[12,11]",,按钮上的叹号表示有新内容
144,"[141,142,144]",0,1,"[-12,-268,0]",0,1,"[-244,-264,0]",,"[-244,-264,0]","[198,68,1]",,,"[-244,-264,2]","[-300,85,15]",,"[12,11]",,点击再次升星
145,[145],0,0,"[0,-100,0]",0,,,,,,,,,,"[5,21]",[11],,看！属性又变强了呢
146,[146],0,0,"[470,290,0]",1,1,"[595,319,0]",,"[595,319,0]","[78,78,1]",,,,,"[22,37]",[12],,点击关闭
#BOSS触发,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,"[3,6,9,10,36]",,"[10,14,15,16]",
152,"[151,152]",8,0,"[-266,400,0]",0,,,,,,"[-170,525,0]",2,,,"[5,22]",[11],,SP值满后可激活无双技
#100011进行中,,,,,,,,,,,,,,,,,,
153,,3,1,"[-230,-170,0]",0,1,"[-230,-40,0]",,"[-230,-40,0]","[120,90,1]",,,"[-230,-40,2]",,,"[12,11]",,可以自动战斗了哟
154,"[153,154]",8,0,"[-305,195,0]",1,,,,,,"[-170,76,0]",2,,,"[5,22]",[11],,托管战斗中也可以释放技能哦
#学习技能触发,,,,,,,,,,,,,,,,,,
156,[156],8,0,"[-305,84,0]",1,,,,,,"[-170,188,0]",2,,,"[5,22]",[11],,记得使用刚学的技能哦
157,[157],8,0,"[-160,195,0]",1,,,,,,"[-170,300,0]",2,,,"[5,22]",[11],,试试这个技能吧
#副本触发,,,,,,,,,,,,,,,,,,
158,[158],,,,,,,,,,,,,,"[3,6,9,10,34]",,"[10,14,15,16]",
