id,time,force,reward,target,endRow
*uint,uint,int,uint,uint,
#序号,时限（秒）,推荐战力,关卡奖励（itemeffect）,目标奖励（itemeffect）,
1,300,6000,200001,,
2,300,6200,200002,,
3,300,6400,200003,,
4,300,6600,200004,,
5,300,7000,200005,210001,
6,300,7500,200006,,
7,300,8000,200007,,
8,300,8500,200008,,
9,300,9000,200009,,
10,300,10000,200010,210002,
11,300,11000,200011,,
12,300,12000,200012,,
13,300,13000,200013,,
14,300,14000,200014,,
15,300,16000,200015,210003,
16,300,17000,200016,,
17,300,18000,200017,,
18,300,19000,200018,,
19,300,20000,200019,,
20,300,22000,200020,210004,
21,300,23000,200021,,
22,300,24000,200022,,
23,300,25000,200023,,
24,300,26000,200024,,
25,300,28000,200025,210005,
26,300,29000,200026,,
27,300,31000,200027,,
28,300,33000,200028,,
29,300,35000,200029,,
30,300,38000,200030,210006,
31,300,39000,200031,,
32,300,40000,200032,,
33,300,41000,200033,,
34,300,42000,200034,,
35,300,44000,200035,210007,
36,300,47000,200036,,
37,300,50000,200037,,
38,300,53000,200038,,
39,300,56000,200039,,
40,300,60000,200040,210008,
41,300,62000,200041,,
42,300,64000,200042,,
43,300,66000,200043,,
44,300,68000,200044,,
45,300,70000,200045,210009,
#46,300,72000,200046,,
#47,300,74000,200047,,
#48,300,76000,200048,,
#49,300,78000,200049,,
#50,300,80000,200050,210010,
#51,300,25400,200051,,
#52,300,25800,200052,,
#53,300,26200,200053,,
#54,300,26600,200054,,
#55,300,27000,200055,210011,
#56,300,27400,200056,,
#57,300,27800,200057,,
#58,300,28200,200058,,
#59,300,28600,200059,,
#60,300,29000,200060,210012,
#61,300,29400,200061,,
#62,300,29800,200062,,
#63,300,30200,200063,,
#64,300,30600,200064,,
#65,300,31000,200065,210013,
#66,300,31400,200066,,
#67,300,31800,200067,,
#68,300,32200,200068,,
#69,300,32600,200069,,
#70,300,33000,200070,210014,
#71,300,33400,200071,,
#72,300,33800,200072,,
#73,300,34200,200073,,
#74,300,34600,200074,,
#75,300,35000,200075,210015,
#76,300,35400,200076,,
#77,300,35800,200077,,
#78,300,36200,200078,,
#79,300,36600,200079,,
#80,300,37000,200080,210016,
#81,300,37400,200081,,
#82,300,37800,200082,,
#83,300,38200,200083,,
#84,300,38600,200084,,
#85,300,39000,200085,210017,
#86,300,39400,200086,,
#87,300,39800,200087,,
#88,300,40200,200088,,
#89,300,40600,200089,,
#90,300,41000,200090,210018,
#91,300,41400,200091,,
#92,300,41800,200092,,
#93,300,42200,200093,,
#94,300,42600,200094,,
#95,300,43000,200095,210019,
#96,300,43400,200096,,
#97,300,43800,200097,,
#98,300,44200,200098,,
#99,300,44600,200099,,
#100,300,45000,200100,210020,
