id,init_open_ids,tigger_enter_id,enter_close_ids,finish_open_ids,ready_time,spawn_interval,pos,spawn_ids,story_spawn_ids,next_zone,movieTriger,end,
*uint,string[],string[],string[],string[],int,int,Vector3,uint[],uint[],uint,int,,
#id,刚进入场景初始化取消阻挡的ids,触发进入的碰撞体id,进入开启阻挡ids,完成副本后取消阻挡ids,区域战斗准备时间,刷每组怪物的时间间隔,箭头指向目标点,怪物组id列表,剧情怪物组ID列表,"下个战斗区域,如果没有下个战斗区域填0,表示副本通关",剧情,,
1500001,"[""M9"",""M10"",""M11"",""M12""]","[""P10""]","[""T10"",""T11""]","[""T11""]",1,1,"[60,15,50]",[],,1500002,1,,
1500002,,"[""P12""]","[""T12""]",,1,1,"[77,18,27]",,,,1,,
1500003,,"[""P13""]",,,1,1,,,,,1,,
1501001,"[""T1"",""T2"",""T3""]","[""P1""]","[""T1"",""T2""]","[""T2""]",1,1,"[101.7,0,19.2]",[],"[1501001,1501002]",1501002,1,,
1501002,,"[""P2""]","[""T3""]",,1,1,"[154.8,0,18.2]",[],[1501004],,1,,
700,,,,,1,1,,,,,0,,
5000100,,,,,1,1,"[77,18,27]","[5000101,5000102,5000103]",,,0,,
5000200,,,,,1,1,"[11,0,16]","[5000201,5000202,5000203,5000204,5000205]",,,0,,
5000300,,,,,1,1,"[89,0,42.8]","[5000301,5000302,5000303,5000304,5000305]",,,,,
5000400,,,,,1,1,"[78,0,86]","[5000401,5000402,5000403,5000404,5000405]",,,0,,
5000500,,,,,1,1,"[63.2,0,15]","[5000501,5000502,5000503,5000504,5000505]",,,0,,
5000600,,,,,1,1,"[76.3,0,74.8]","[5000601,5000602,5000603,5000604,5000605]",,,0,,
5000700,,,,,1,1,"[33.5,0,81.8]","[5000701,5000702,5000703,5000704,5000705]",,,0,,
1001001,"[""M1"",""M2""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[15,12,12.5]","[1001001,1001002]",,1001002,0,,
1001002,,"[""P2""]","[""T2""]",,1,1,"[21,13,43]","[1001003,1001004,1001005]",,0,0,,
1002001,"[""M5"",""M6""]","[""P4""]","[""T5""]","[""T5""]",1,1,"[11.8,17,79.5]","[1002001,1002002,1002003]",,1002002,0,,
1002002,,"[""P6""]","[""T6""]",,1,1,"[44.5,13,68.5]","[1002004,1002005]",,0,0,,
1003001,"[""M15"",""M16""]","[""P10""]","[""T16""]","[""T16""]",1,1,"[58.5,0,47.5]","[1003001,1003002]",,1003002,0,,
1003002,,"[""P15""]","[""T15""]",,1,1,"[19.5,0,42.5]","[1003003,1003004,1003005]",,0,0,,
1004001,"[""M15"",""M16"",""M10"",""M9""]","[""P2""]","[""T2"",""T15""]","[""T15""]",1,1,"[21,13,43]","[1004001,1004002]",,1004002,0,,
1004002,,"[""P16""]","[""T16"",""T10""]","[""T10""]",1,1,"[55,15,43]","[1004003,1004004]",,1004003,0,,
1004003,,"[""P9""]","[""T9""]",,1,1,"[80.5,16,70.5]",[1004005],,0,0,,
1005001,"[""M7"",""M8"",""M5"",""M6""]","[""P9""]","[""T5"",""T8""]","[""T8""]",1,1,"[79.5,0,73.5]","[1005001,1005002]",,1005002,0,,
1005002,,"[""P7""]","[""T7""]","[""T5""]",1,1,"[19,0,85]","[1005003,1005004]",,1005003,0,,
1005003,,"[""P6""]","[""T6""]",,1,1,"[43.5,0,70.5]",[1005005],,0,0,,
1006001,"[""M3"",""M4"",""M7"",""M8""]","[""P2""]","[""T3""]","[""T3""]",1,1,"[20.5,0,43.5]","[1006001,1006002]",,1006002,0,,
1006002,,"[""P4""]","[""T4"",""T7""]","[""T7""]",1,1,"[8.5,0,77.5]","[1006003,1006004]",,1006003,0,,
1006003,,"[""P8""]","[""T8""]",,1,1,"[78.5,0,82.5]",[1006005],,0,0,,
1007001,"[""M5"",""M6"",""M7"",""M8""]","[""P18""]","[""T6"",""T7""]","[""T6""]",1,1,"[44.5,13,64.5]",[1007001],,1007002,0,,
1007002,,"[""P5""]","[""T5""]","[""T7""]",1,1,"[27.1,17,89.5]","[1007002,1007003]",,1007003,0,,
1007003,,"[""P8""]","[""T8""]",,1,1,"[79.5,16,86.5]","[1007004,1007005]",,0,0,,
1008001,"[""M9"",""M10"",""M11"",""M12""]","[""P8""]","[""T8"",""T9""]","[""T9""]",1,1,"[77,16,86]",[1008001],,1008002,0,,
1008002,,"[""P10""]","[""T10"",""T11""]","[""T11""]",1,1,"[62,15,51]","[1008002,1008003]",,1008003,0,,
1008003,,"[""P12""]","[""T12""]",,1,1,"[77,18,27]","[1008004,1008005]","[1008006,1008006,1008006,1008005]",0,1,,
2001001,"[""M5"",""M102""]","[""P0""]","[""T5""]","[""T5""]",1,1,"[11,0,77]","[2001001,2001002,2001003]",,2001002,0,,
2001002,,"[""P6""]","[""T5""]",,1,1,"[46,0,41]","[2001004,2001005]",,0,0,,
2001101,"[""M5"",""M102""]","[""P0""]","[""T5""]","[""T5""]",1,1,"[11,0,77]","[2001101,2001102,2001103]",,2001102,0,,
2001102,,"[""P6""]","[""T5""]",,1,1,"[46,0,41]","[2001104,2001105]",,0,0,,
2001201,"[""M5"",""M102""]","[""P0""]","[""T5""]","[""T5""]",1,1,"[11,0,77]","[2001201,2001202,2001203]",,2001202,0,,
2001202,,"[""P6""]","[""T5""]",,1,1,"[46,0,41]","[2001204,2001205]",,0,0,,
2002001,"[""M5"",""M102""]","[""P14""]","[""T5""]","[""T5""]",1,1,"[41,0,22]","[2002001,2002002]",,2002002,0,,
2002002,,"[""P5""]","[""T5""]",,1,1,"[23,0,64]","[2002003,2002004]",,0,0,,
2002101,"[""M5"",""M102""]","[""P14""]","[""T5""]","[""T5""]",1,1,"[41,0,22]","[2002101,2002102]",,2002102,0,,
2002102,,"[""P5""]","[""T5""]",,1,1,"[23,0,64]","[2002103,2002104]",,0,0,,
2002201,"[""M5"",""M102""]","[""P14""]","[""T5""]","[""T5""]",1,1,"[41,0,22]","[2002201,2002202]",,2002202,0,,
2002202,,"[""P5""]","[""T5""]",,1,1,"[23,0,64]","[2002203,2002204]",,0,0,,
2003001,"[""M17"",""M103"",""T13""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[46,0,41]","[2003001,2003002]",,2003002,0,,
2003002,,"[""P13""]","[""T13""]",,1,1,"[72,0,9]","[2003003,2003004]",,0,0,,
2003101,"[""M17"",""M103"",""T13""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[46,0,41]","[2003101,2003102]",,2003102,0,,
2003102,,"[""P13""]","[""T13""]",,1,1,"[72,0,9]","[2003103,2003104]",,0,0,,
2003201,"[""M17"",""M103"",""T13""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[46,0,41]","[2003201,2003202]",,2003202,0,,
2003202,,"[""P13""]","[""T13""]",,1,1,"[72,0,9]","[2003203,2003204]",,0,0,,
2004001,"[""M7"",""M9"",""M10"",""M11""]","[""P6""]","[""T7""]","[""T7""]",1,1,"[27.3,0,74.3]","[2004001,2004002]",,2004002,0,,
2004002,,"[""P9""]","[""T9"",""T10""]","[""T10""]",1,1,"[49,0,46]","[2004003,2004004]",,2004003,0,,
2004003,,"[""P11""]","[""T11""]",,1,1,"[78,0,53]",[2004005],,0,0,,
2004101,"[""M7"",""M9"",""M10"",""M11""]","[""P6""]","[""T7""]","[""T7""]",1,1,"[27.3,0,74.3]","[2004101,2004102]",,2004102,0,,
2004102,,"[""P9""]","[""T9"",""T10""]","[""T10""]",1,1,"[49,0,46]","[2004103,2004104]",,2004103,0,,
2004103,,"[""P11""]","[""T11""]",,1,1,"[78,0,53]",[2004105],,0,0,,
2004201,"[""M7"",""M9"",""M10"",""M11""]","[""P6""]","[""T7""]","[""T7""]",1,1,"[27.3,0,74.3]","[2004201,2004202]",,2004202,0,,
2004202,,"[""P9""]","[""T9"",""T10""]","[""T10""]",1,1,"[49,0,46]","[2004203,2004204]",,2004203,0,,
2004203,,"[""P11""]","[""T11""]",,1,1,"[78,0,53]",[2004205],,0,0,,
2005001,"[""M8"",""M9"",""M10"",""M11""]","[""P4""]","[""T11""]","[""T11""]",1,1,"[78,0,53]","[2005001,2005002]",,2005002,0,,
2005002,,"[""P10""]","[""T9"",""T10""]","[""T9""]",1,1,"[49,0,46]","[2005003,2005004]",,2005003,0,,
2005003,,"[""P8""]","[""T8""]",,1,1,"[15,0,13]",[2005005],,0,0,,
2005101,"[""M8"",""M9"",""M10"",""M11""]","[""P4""]","[""T11""]","[""T11""]",1,1,"[78,0,53]","[2005101,2005102]",,2005102,0,,
2005102,,"[""P10""]","[""T9"",""T10""]","[""T9""]",1,1,"[49,0,46]","[2005103,2005104]",,2005103,0,,
2005103,,"[""P8""]","[""T8""]",,1,1,"[15,0,13]",[2005105],,0,0,,
2005201,"[""M8"",""M9"",""M10"",""M11""]","[""P4""]","[""T11""]","[""T11""]",1,1,"[78,0,53]","[2005201,2005202]",,2005202,0,,
2005202,,"[""P10""]","[""T9"",""T10""]","[""T9""]",1,1,"[49,0,46]","[2005203,2005204]",,2005203,0,,
2005203,,"[""P8""]","[""T8""]",,1,1,"[15,0,13]",[2005205],,0,0,,
2006001,"[""M1"",""M2"",""M103"",""T12""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[11,0,77]","[2006001,2006002]",,2006002,0,,
2006002,,"[""P2""]","[""T2"",""T11""]","[""T11""]",1,1,"[56,0,79]","[2006003,2006004]",,2006003,0,,
2006003,,"[""P12""]","[""T12""]",,1,1,"[97,0,58]",[2006005],,0,0,,
2006101,"[""M1"",""M2"",""M103"",""T12""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[11,0,77]","[2006101,2006102]",,2006102,0,,
2006102,,"[""P2""]","[""T2"",""T11""]","[""T11""]",1,1,"[56,0,79]","[2006103,2006104]",,2006103,0,,
2006103,,"[""P12""]","[""T12""]",,1,1,"[97,0,58]",[2006105],,0,0,,
2006201,"[""M1"",""M2"",""M103"",""T12""]","[""P0""]","[""T1""]","[""T1""]",1,1,"[11,0,77]","[2006201,2006202]",,2006202,0,,
2006202,,"[""P2""]","[""T2"",""T11""]","[""T11""]",1,1,"[56,0,79]","[2006203,2006204]",,2006203,0,,
2006203,,"[""P12""]","[""T12""]",,1,1,"[97,0,58]",[2006205],,0,0,,
2007001,"[""M17"",""M18"",""M101"",""T13"",""T16""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[45,0,34]","[2007001,2007002]",,2007002,0,,
2007002,,"[""P13""]","[""T13"",""T15""]","[""T15""]",1,1,"[73,0,7]","[2007003,2007004]",,2007003,0,,
2007003,,"[""P16""]","[""T16""]",,1,1,"[95,0,52]",[2007005],,0,0,,
2007101,"[""M17"",""M18"",""M101"",""T13"",""T16""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[45,0,34]","[2007101,2007102]",,2007102,0,,
2007102,,"[""P13""]","[""T13"",""T15""]","[""T15""]",1,1,"[73,0,7]","[2007103,2007104]",,2007103,0,,
2007103,,"[""P16""]","[""T16""]",,1,1,"[95,0,52]",[2007105],,0,0,,
2007201,"[""M17"",""M18"",""M101"",""T13"",""T16""]","[""P6""]","[""T14""]","[""T14""]",1,1,"[45,0,34]","[2007201,2007202]",,2007202,0,,
2007202,,"[""P13""]","[""T13"",""T15""]","[""T15""]",1,1,"[73,0,7]","[2007203,2007204]",,2007203,0,,
2007203,,"[""P16""]","[""T16""]",,1,1,"[95,0,52]",[2007205],,0,0,,
2008001,"[""M14"",""M13"",""M102""]","[""P12""]","[""T14""]","[""T14""]",1,1,"[34,0,37]","[2008001,2008002]",,2008002,0,,
2008002,,"[""P13""]","[""T13""]",,1,1,"[10.5,0,75.5]","[2008003,2008004,2008005]",,0,0,,
2008101,"[""M14"",""M13"",""M102""]","[""P12""]","[""T14""]","[""T14""]",1,1,"[34,0,37]","[2008101,2008102]",,2008102,0,,
2008102,,"[""P13""]","[""T13""]",,1,1,"[10.5,0,75.5]","[2008103,2008104,2008105]",,0,0,,
2008201,"[""M14"",""M13"",""M102""]","[""P12""]","[""T14""]","[""T14""]",1,1,"[34,0,37]","[2008201,2008202]",,2008202,0,,
2008202,,"[""P13""]","[""T13""]",,1,1,"[10.5,0,75.5]","[2008203,2008204,2008205]",,0,0,,
