id,name,star,Lvl_limit,skill,skill1,merge_exp,hpmax,hpmax_step,mpmax,mpmax_step,spmax,spmax_step,patk,patk_step,pdef,pdef_step,matk,matk_step,mdef,mdef_step,crit,crit_step,parry,parry_step,weakdef,weakdef_step,weakatk,weakatk_step,hit,hit_step,dodge,dodge_step,natureatk,natureatk_step,naturedef,naturedef_step,holyatk,holyatk_step,holydef,holydef_step,darkatk,darkatk_step,darkdef,darkdef_step,head2d,image3d,t
*uint,string,int,int,int,int,int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,int,int,
#ID,名称,星级,等级上限,主神技能,副神技能,融合经验,生命,生命步长,法力,法力步长,怒气,怒气步长,普攻,普攻步长,普防,普防步长,技攻,技攻步长,技防,技防步长,暴击,暴击步长,抗暴,抗暴步长,破甲,破甲步长,削攻,削攻步长,命中,命中步长,闪避,闪避步长,自然攻击,自然攻击步长,自然防御,自然防御步长,圣光,圣光步长,圣光防御,圣光防御步长,黑暗,黑暗步长,暗黑防御,暗黑防御步长,2D头像,3D形象,行尾
100000,圣骑,0,60,,,,400,80,200,20,1000,0,47,9.4,51,10.2,47,9.4,51,10.2,10,2,13,2.6,10,2,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
200000,魔剑,0,60,,,,400,80,200,20,1000,0,48,9.6,46,9.2,50,10,46,9.2,13,2.6,13,2.6,12,2.4,11,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
400000,狂战,0,60,,,,400,80,200,20,1000,0,50,10,49,9.8,48,9.6,49,9.8,11,2.2,13,2.6,11,2.2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
600000,守护神,0,60,,,,1200,140,100,1,300,0,350,12,220,14,350,12,220,14,30,3,30,3,30,3,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700101,守墓使者,1,20,0,0,2000,337,50.11,100,1,300,0,69,10.24,42,6.26,69,10.24,42,6.26,14,2.05,14,2.09,14,2.05,14,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700102,守墓使者,1,40,0,0,4000,673,51.05,100,1,300,0,138,10.43,84,6.38,138,10.43,84,6.38,28,2.09,28,2.13,28,2.09,28,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700103,守墓使者,1,55,0,0,6000,1010,52,100,1,300,0,206,10.63,126,6.5,206,10.63,126,6.5,41,2.13,42,2.17,41,2.13,42,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700104,守墓使者,1,70,0,0,8000,1346,52.95,100,1,300,0,275,10.82,168,6.62,275,10.82,168,6.62,55,2.16,56,2.21,55,2.16,56,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700105,守墓使者,1,85,0,0,10000,1683,53.89,100,1,300,0,344,11.01,210,6.74,344,11.01,210,6.74,69,2.2,70,2.25,69,2.2,70,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700106,守墓使者,1,100,0,0,12000,2019,54.84,100,1,300,0,413,11.2,252,6.85,413,11.2,252,6.85,83,2.24,84,2.28,83,2.24,84,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700107,守墓使者,1,115,0,0,14000,2356,55.78,100,1,300,0,481,11.4,295,6.97,481,11.4,295,6.97,96,2.28,98,2.32,96,2.28,98,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700108,守墓使者,1,130,0,0,16000,2693,56.73,100,1,300,0,550,11.59,337,7.09,550,11.59,337,7.09,110,2.32,112,2.36,110,2.32,112,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700109,守墓使者,1,140,0,0,18000,3029,57.67,100,1,300,0,619,11.78,379,7.21,619,11.78,379,7.21,124,2.36,126,2.4,124,2.36,126,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700110,守墓使者,1,150,0,0,20000,3366,58.62,100,1,300,0,688,11.98,421,7.33,688,11.98,421,7.33,138,2.4,140,2.44,138,2.4,140,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700201,亡灵使者,1,20,0,0,2000,343,51.07,100,1,300,0,70,10.44,43,6.38,70,10.44,43,6.38,14,2.09,14,2.13,14,2.09,14,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700202,亡灵使者,1,40,0,0,4000,686,52.04,100,1,300,0,140,10.64,86,6.5,140,10.64,86,6.5,28,2.13,29,2.17,28,2.13,29,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700203,亡灵使者,1,55,0,0,6000,1029,53,100,1,300,0,210,10.83,129,6.63,210,10.83,129,6.63,42,2.17,43,2.21,42,2.17,43,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700204,亡灵使者,1,70,0,0,8000,1372,53.96,100,1,300,0,280,11.03,172,6.75,280,11.03,172,6.75,56,2.21,57,2.25,56,2.21,57,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700205,亡灵使者,1,85,0,0,10000,1715,54.93,100,1,300,0,351,11.23,214,6.87,351,11.23,214,6.87,70,2.25,71,2.29,70,2.25,71,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700206,亡灵使者,1,100,0,0,12000,2058,55.89,100,1,300,0,421,11.42,257,6.99,421,11.42,257,6.99,84,2.28,86,2.33,84,2.28,86,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700207,亡灵使者,1,115,0,0,14000,2401,56.85,100,1,300,0,491,11.62,300,7.11,491,11.62,300,7.11,98,2.32,100,2.37,98,2.32,100,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700208,亡灵使者,1,130,0,0,16000,2744,57.82,100,1,300,0,561,11.82,343,7.23,561,11.82,343,7.23,112,2.36,114,2.41,112,2.36,114,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700209,亡灵使者,1,140,0,0,18000,3087,58.78,100,1,300,0,631,12.02,386,7.35,631,12.02,386,7.35,126,2.4,129,2.45,126,2.4,129,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700210,亡灵使者,1,150,0,0,20000,3431,59.75,100,1,300,0,701,12.21,429,7.47,701,12.21,429,7.47,140,2.44,143,2.49,140,2.44,143,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700301,灵魂之箭,1,20,0,0,2000,324,48.18,100,1,300,0,69,10.24,41,6.14,69,10.24,41,6.14,14,2.05,14,2.05,14,2.05,14,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700302,灵魂之箭,1,40,0,0,4000,647,49.09,100,1,300,0,138,10.43,83,6.26,138,10.43,83,6.26,28,2.09,28,2.09,28,2.09,28,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
700303,灵魂之箭,1,55,0,0,6000,971,50,100,1,300,0,206,10.63,124,6.38,206,10.63,124,6.38,41,2.13,41,2.13,41,2.13,41,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
