id,name,downloadLevel,level_limit,type,enter_id,next_scene,stage_no,stage_color,icon,width,height,fId,levels,resource,music,born,world_resources,loading_bg,min_map,endRow
*uint,string,uint,uint,!ESceneType,uint,uint,uint,!EStageColor,int,int,int,uint,,string,uint,Vector3[],string,int,int,
#,,下载分包属于哪个包,进入等级限制,0:主城 1:世界 2:战斗关卡 3:GVE 4:剧情副本 5：组队场 6：战报 7:狩猎 8：登录 9:排位赛 13：联盟战 17：诸神之战,入口id,下一个战斗场景,关卡编号,"关卡标识：1,2,3",关卡图片名,,,主城id,主城对应的关卡列表,场景资源名,背景音乐,角色进入的座标,在世界地图中的资源名,加载背景图,小地图id,
1,世界地图,0,0,1,,,,,,90,60,0,,WordMap_L00,500002,"[[79,0,55],[87,0,26],[77,0,10],[55,0,20]]",,1910301,,
2,登录场景,0,0,8,,,,,,,,,,Login_1_L00,500001,"[[49,0,33]]",,1910102,,
3,召唤场景,0,0,6,,,,,,,,,,Godcall_L00,500001,,,1910102,,
4,神之试炼,0,0,12,,,,,,,,,,GodHell_L00,500005,"[[49.5,0,49.5]]",,1910301,,
1000,溪木镇,0,0,0,,1001,,,,120,120,1,"[[1001,1002]]",XinShouCun_TL001_L00,500006,"[[44.31692,1.455715,45.67873]]",XinShouCun_1000,1910101,2001000,
1500,梦境,0,0,4,,,,,,100,100,0,,XinShouCun_Level01_L05,,"[[81.71355,0,76.08433]]",,1910102,,
1501,新手剧情,0,0,4,,,,,,100,100,0,,Openning_L00,500004,"[[38.40265,0,22.96067]]",,1910102,,
1001,镇外森林,0,0,2,100002,1002,1,1,1920101,100,100,1000,,XinShouCun_Level01_L01,500004,"[[11,0,5]]",,1910101,,
1002,乱石荒野,0,0,2,100002,1003,2,1,1920102,100,100,1000,,XinShouCun_Level01_L02,500004,"[[7,0,71.6]]",,1910102,,
1003,茂密丛林,0,0,2,100002,1004,3,1,1920101,100,100,1000,,XinShouCun_Level01_L07,500004,"[[64.8,0,55]]",,1910102,,
1004,黑暗小径,0,0,2,100002,1005,4,1,1920101,100,100,1000,,XinShouCun_Level01_L03,500004,"[[20,0,36]]",,1910101,,
1005,落叶之原,0,0,2,100002,1006,5,1,1920102,100,100,1000,,XinShouCun_Level01_L06,500004,"[[77.4,0,67.8]]",,1910201,,
1006,寂静古路,0,0,2,100002,1007,6,1,1920102,100,100,1000,,XinShouCun_Level01_L09,500004,"[[20,0,36]]",,1910201,,
1007,埋骨遗迹,0,0,2,100002,1008,7,1,1920102,100,100,1000,,XinShouCun_Level01_L04,500004,"[[39,0,60.6]]",,1910102,,
1008,上古祭坛,0,0,2,100002,2001,8,2,1920104,100,100,1000,,XinShouCun_Level01_L05,500005,"[[75.2,0,91]]",,1910101,,
1101,GVE战斗5,0,0,3,,,,,,80,80,1000,,XinShouCun_Level01_L00,500005,"[[60,0,60]]",,1910102,,
2000,佩达斯,0,0,0,,,,,,100,100,1,,Peidasi_L00,500003,"[[13.5,0.03340971,23.5]]",Peidasi_2000,1910201,2001001,
2001,城外荒漠,0,0,2,200002,2002,1,1,1920201,100,100,2000,,Peidasi_Level01_L01,500004,"[[3.5,0,84]]",,1910201,,
2002,流沙凶漠,0,0,2,200002,2003,2,1,1920201,100,100,2000,,Peidasi_Level01_L02,500004,"[[47.5,0,9]]",,1910201,,
2003,荒芜古路,0,0,2,200002,2004,3,1,1920201,100,100,2000,,Peidasi_Level01_L03,500004,"[[37.8,0,49.6]]",,1910201,,
2004,古墓地宫,0,0,2,200002,2005,4,1,1920301,100,100,2000,,Peidasi_Level02_L09,500004,"[[37.3,0,84.4]]",,1910201,,
2005,黑暗地宫,0,0,2,200002,2006,5,1,1920301,100,100,2000,,Peidasi_Level02_L10,500005,"[[84.5,0,64]]",,1910201,,
2006,皇家陵墓,0,0,2,200002,2007,6,1,1920203,100,100,2000,,Peidasi_Level01_L06,500005,"[[3.5,0,84]]",,1910201,,
2007,乱葬荒野,0,0,2,200002,2008,7,1,1920201,100,100,2000,,Peidasi_Level01_L07,500004,"[[37.8,0,49.6]]",,1910201,,
2008,烽火战场,0,0,2,200002,2009,8,1,1920501,100,100,2000,,Troy_Level02_L01,500005,"[[47.3,0,56.3]]",,1910201,,
2009,诀别之谷,0,0,2,200002,2010,9,1,1920502,100,100,2000,,Troy_Level02_L02,500004,"[[90.3,0,53.6]]",,1910201,,
2010,毒气沼泽,0,0,2,200002,2011,10,1,1920501,100,100,2000,,Troy_Level02_L03,500005,"[[90.3,0,53.6]]",,1910201,,
2011,荆棘水野,0,0,2,200002,2012,11,1,1920502,100,100,2000,,Troy_Level02_L04,500004,"[[8.7,0,51.7]]",,1910201,,
2012,英雄王遗迹,0,0,2,200002,1009,12,2,1920206,100,100,2000,,Peidasi_Level01_L08,500005,"[[41.2,0,82.8]]",,1910201,,
1009,迷烟森林,0,0,2,100003,1010,1,1,1920101,100,100,1000,,XinShouCun_Level01_L01,500004,"[[11,0,5]]",,1910101,,
1010,日炎之森,0,0,2,100003,1011,2,1,1920502,100,100,1000,,Troy_Level02_L02,500004,"[[90.3,0,53.6]]",,1910201,,
1011,神佑圣地,0,0,2,100003,1012,3,1,1920501,100,100,1000,,Troy_Level02_L06,500005,"[[8.7,0,51.7]]",,1910201,,
1012,妖精丛林,0,0,2,100003,1013,4,1,1920101,100,100,1000,,XinShouCun_Level01_L03,500004,"[[20,0,36]]",,1910201,,
1013,暗黑之地,0,0,2,100003,1014,5,1,1920502,100,100,1000,,Troy_Level02_L08,500005,"[[8.7,0,51.7]]",,1910201,,
1014,月野星踪,0,0,2,100003,1015,6,1,1920102,100,100,1000,,XinShouCun_Level01_L02,500004,"[[7,0,71.6]]",,1910201,,
1015,漆黑亡坟,0,0,2,100003,1016,7,1,1920102,100,100,1000,,XinShouCun_Level01_L04,500004,"[[39,0,60.6]]",,1910201,,
1016,嚎哭之山,0,0,2,100003,1017,8,1,1920501,100,100,1000,,Troy_Level02_L10,500004,"[[41,0,14.2]]",,1910201,,
1017,禁忌地带,0,0,2,100003,1018,9,1,1920201,100,100,1000,,Peidasi_Level01_L09,500004,"[[3.5,0,84]]",,1910201,,
1018,恶魔梦境,0,0,2,100003,1019,10,1,1920201,100,100,1000,,Peidasi_Level01_L07,500004,"[[37.8,0,49.6]]",,1910201,,
1019,腐毒泥路,0,0,2,100003,1020,11,1,1920103,100,100,1000,,XinShouCun_Level01_L08,500004,"[[16.5,0,58.8]]",,1910201,,
1020,藤蔓古城,0,0,2,100003,1021,12,1,1920203,100,100,1000,,Peidasi_Level01_L06,500005,"[[3.5,0,84]]",,1910201,,
1021,神石遗迹,0,0,2,100003,2013,13,2,1920501,100,100,1000,,Troy_Level02_L12,500004,"[[4.6,0,90.7]]",,1910201,,
2013,绝迹大漠,0,0,2,200003,2014,1,1,1920201,100,100,2000,,Peidasi_Level01_L09,500004,"[[3.5,0,84]]",,1910201,,
2014,遗忘绿洲,0,0,2,200003,2015,2,1,1920501,100,100,2000,,Troy_Level02_L09,500005,"[[90.3,0,53.6]]",,1910201,,
2015,惊悚原野,0,0,2,200003,2016,3,1,1920102,100,100,2000,,XinShouCun_Level01_L06,500004,"[[77.4,0,67.8]]",,1910201,,
2016,虫洞绿洲,0,0,2,200003,2017,4,1,1920101,100,100,2000,,XinShouCun_Level01_L07,500005,"[[64.8,0,55]]",,1910201,,
2017,落日之原,0,0,2,200003,2018,5,1,1920501,100,100,2000,,Troy_Level02_L10,500004,"[[41,0,14.2]]",,1910201,,
2018,风暴悬崖,0,0,2,200003,2019,6,1,1920502,100,100,2000,,Troy_Level02_L11,500005,"[[47.3,0,56.3]]",,1910201,,
2019,战争林道,0,0,2,200003,2020,7,1,1920103,100,100,2000,,XinShouCun_Level01_L08,500004,"[[16.5,0,58.8]]",,1910201,,
2020,时空裂谷,0,0,2,200003,2021,8,1,1920102,100,100,2000,,XinShouCun_Level01_L09,500005,"[[20,0,36]]",,1910201,,
2021,祭神之路,0,0,2,200003,2022,9,1,1920501,100,100,2000,,Troy_Level02_L12,500004,"[[4.6,0,90.7]]",,1910201,,
2022,寂静荒原,0,0,2,200003,2023,10,1,1920103,100,100,2000,,XinShouCun_Level01_L10,500004,"[[20,0,36]]",,1910201,,
2023,精灵故居,0,0,2,200003,2024,11,1,1920204,100,100,2000,,Peidasi_Level01_L10,500005,"[[47.3,0,9.6]]",,1910201,,
2024,死亡大漠,0,0,2,200003,2025,12,1,1920201,100,100,2000,,Peidasi_Level01_L11,500005,"[[55.3,0,54.3]]",,1910201,,
2025,沉星遗迹,0,0,2,200003,3001,13,2,1920205,100,100,2000,,Peidasi_Level02_L03,500005,"[[33.6,0,66.6]]",,1910201,,
3000,特洛伊,0,0,0,,,,,,100,100,1,,Troy_1_L00,500003,"[[30.5,0.01726747,74.5]]",Troy_3000,1910301,2001002,
3001,地牢密道,0,0,2,300002,3002,1,1,1920301,100,100,3000,,Peidasi_Level02_L01,500004,"[[57.5,0,90.5]]",,1910301,,
3002,废弃地牢,0,0,2,300002,3003,2,1,1920302,100,100,3000,,Peidasi_Level02_L02,500005,"[[49,0,73]]",,1910301,,
3003,巨人地牢,0,0,2,300002,3004,3,1,1920302,100,100,3000,,Peidasi_Level02_L03,500004,"[[33.6,0,66.6]]",,1910301,,
