id,title,lock_desc,open_desc,icon,treasure,enter_id,stars,rewards,endRow
*uint,string,string,string,int,string,uint,int[],uint[],
#剧情章节表 章节(数字),章节标题,非激活状态的章节描述,激活后的章节描述,图片id,宝物名称,主城入口id,每段星数,"奖励列表[110,111,112]",
1,芬里尔之牙,巨大尖锐的狼牙，锋锐得能咬碎一切猎物，来自异世的神话。,炼狱的锁链断裂，得到暗黑之力的芬里尔狼，决定在阿里德尔开展杀戮。,1410001,芬里尔之牙,100002,"[8,16,24]","[1,2,3]",
2,黄金的假面,古老的黄金面具，镌刻着神祗符文，戴上的人死去时总留着诡异微笑。,卡俄斯所创造的面具，是为了让人类拥有接近诸神的容貌。,1410002,黄金的假面,200002,"[36,72,108]","[4,5,6]",
3,蜘蛛坠饰,邪恶的蜘蛛女王吸允鲜血保持自己的美丽容貌。,蜘蛛女王死后复原的蜘蛛所创造，任何毒液都无法侵蚀它的佩戴者。,1410011,蜘蛛坠饰,100003,"[39,78,117]","[7,8,9]",
4,王者之戒,失落在瓦尔基里遗迹的魔戒，它宛若诅咒般依附在持有者身上。,卡俄斯创造世界神之右手的象征，犹如天空湛蓝的宝石光辉可以治愈一切伤口。,1410003,王者之戒,200003,"[39,78,117]","[10,11,12]",
5,妖巫之杖,以无数死者鲜血染红的法杖，亡灵的怨念缠绕其中。,冥王哈迪斯赐予阿波罗尼俄斯的魔杖，在暗黑末世里召唤过战无不胜的亡灵军团。,1410004,妖巫之杖,300002,"[33,66,99]","[13,14,15]",
6,女妖面纱,弥漫着暗黑气息的摄魂妖异面纱。,暗黑圣杯自我意识觉醒后的形态之一，扭曲并污染所戴者的心灵。,1410005,女妖面纱,300003,"[36,72,108]","[16,17,18]",
7,美杜莎之瞳,蛇魔幽蓝的眼睛，瞳孔中燃烧着火红的光，石化一切对视的人。,受暗黑圣杯束缚的蛇发女妖，狂暴噬血，却忠心于唤醒它的人。,1410006,美杜莎之瞳,400002,"[36,72,108]","[19,20,21]",
8,水晶号角,紫水晶雕刻成的号角，牛头人一族的象征。,忒修斯斩杀米诺陶诺斯后夺取的号角，令士气振奋的力量让他战无不胜。,1410007,水晶号角,0,"[39,78,117]","[22,23,24]",
9,海神王冠,精致高贵的王冠，是亚特兰蒂斯的圣物。,象征着波塞冬无穷海神之力的王冠，散发着璀璨夺目的光芒。,1410008,海神王冠,0,"[39,78,117]","[25,26,27]",
10,夜之镇魂曲,记载着黑暗咒语的曲谱，它的魔力足以毁灭世界。,封印着卡俄斯赐予夜之女王绝对魔力的曲谱，包含卡俄斯神之左手的毁灭力量。,1410009,夜之镇魂曲,0,"[39,78,117]","[28,29,30]",
11,混沌王座,虚无、混沌、寂寞的王座，它不属于世界，伴随混沌诞生。,传说在天空的尽头，一切虚无，一切混沌的界限，你会看到它，以及，混沌之神……,1410010,混沌王座,0,"[39,78,117]","[28,29,30]",
