id,cycle,item,vip,endRow
*uint,uint,jsondata,uint,
#系数,周期,奖励,双倍所需要的vip等级,
1,1,"{""1"":{""item"":1400100001,""num"":10},""2"":{""item"":1400100001,""num"":10},""4"":{""item"":1400100001,""num"":10}}",,
2,1,"{""1"":{""diamond"":288},""2"":{""diamond"":288},""4"":{""diamond"":288}}",1,
3,1,"{""1"":{""item"":1903200003,""num"":1},""2"":{""item"":1903200003,""num"":1},""4"":{""item"":1903200003,""num"":1}}",,
4,1,"{""1"":{""item"":1400300001,""num"":10},""2"":{""item"":1400300001,""num"":10},""4"":{""item"":1400300001,""num"":10}}",2,
5,1,"{""1"":{""item"":1400200001,""num"":10},""2"":{""item"":1400200001,""num"":10},""4"":{""item"":1400200001,""num"":10}}",,
6,1,"{""1"":{""gold"":50000},""2"":{""gold"":50000},""4"":{""gold"":50000}}",,
7,1,"{""1"":{""diamond"":288},""2"":{""diamond"":288},""4"":{""diamond"":288}}",3,
8,1,"{""1"":{""item"":1903200003,""num"":2},""2"":{""item"":1903200003,""num"":2},""4"":{""item"":1903200003,""num"":2}}",,
9,1,"{""1"":{""item"":1400300001,""num"":20},""2"":{""item"":1400300001,""num"":20},""4"":{""item"":1400300001,""num"":20}}",4,
10,1,"{""1"":{""item"":1400200001,""num"":20},""2"":{""item"":1400200001,""num"":20},""4"":{""item"":1400200001,""num"":20}}",,
11,1,"{""1"":{""gold"":100000},""2"":{""gold"":100000},""4"":{""gold"":100000}}",,
12,1,"{""1"":{""diamond"":288},""2"":{""diamond"":288},""4"":{""diamond"":288}}",5,
13,1,"{""1"":{""item"":1903200003,""num"":3},""2"":{""item"":1903200003,""num"":3},""4"":{""item"":1903200003,""num"":3}}",,
14,1,"{""1"":{""credit"":30000},""2"":{""credit"":30000},""4"":{""credit"":30000}}",6,
15,1,"{""1"":{""item"":1400500001,""num"":10},""2"":{""item"":1400500001,""num"":10},""4"":{""item"":1400500001,""num"":10}}",,
16,2,"{""1"":{""gold"":30000},""2"":{""gold"":30000},""4"":{""gold"":30000}}",,
17,2,"{""1"":{""diamond"":200},""2"":{""diamond"":200},""4"":{""diamond"":200}}",1,
18,2,"{""1"":{""item"":1400200001,""num"":10},""2"":{""item"":1400200001,""num"":10},""4"":{""item"":1400200001,""num"":10}}",,
19,2,"{""1"":{""credit"":15000},""2"":{""credit"":15000},""4"":{""credit"":15000}}",2,
20,2,"{""1"":{""item"":1903200003,""num"":1},""2"":{""item"":1903200003,""num"":1},""4"":{""item"":1903200003,""num"":1}}",,
21,2,"{""1"":{""gold"":40000},""2"":{""gold"":40000},""4"":{""gold"":40000}}",,
22,2,"{""1"":{""diamond"":200},""2"":{""diamond"":200},""4"":{""diamond"":200}}",3,
23,2,"{""1"":{""item"":1400300001,""num"":10},""2"":{""item"":1400300001,""num"":10},""4"":{""item"":1400300001,""num"":10}}",,
24,2,"{""1"":{""credit"":20000},""2"":{""credit"":20000},""4"":{""credit"":20000}}",4,
25,2,"{""1"":{""item"":1903200003,""num"":2},""2"":{""item"":1903200003,""num"":2},""4"":{""item"":1903200003,""num"":2}}",,
26,2,"{""1"":{""gold"":50000},""2"":{""gold"":50000},""4"":{""gold"":50000}}",,
27,2,"{""1"":{""diamond"":200},""2"":{""diamond"":200},""4"":{""diamond"":200}}",5,
28,2,"{""1"":{""item"":1400500001,""num"":10},""2"":{""item"":1400500001,""num"":10},""4"":{""item"":1400500001,""num"":10}}",,
29,2,"{""1"":{""credit"":25000},""2"":{""credit"":25000},""4"":{""credit"":25000}}",6,
30,2,"{""1"":{""item"":1903200003,""num"":3},""2"":{""item"":1903200003,""num"":3},""4"":{""item"":1903200003,""num"":3}}",,
