id,title,ico,type,job,kind,priority,castType,lvMax,stage2Id,stage2LvMax,stage3Id,stage3LvMax,desc,endRow
*uint,string,int,!SkillType,uint,int,uint,!SkillCastType,uint,uint,uint,uint,uint,,
#ID,技能名称,图标,类型,职业限制,种类,技能优先级,释放方式,主技能等级上限,2阶段id,2阶段等级上限,3阶段id,3阶段等级上限,描述,
100,复活时击退技能,1610002,3,255,0,99,0,1,,,,,复活时击退技能,
1101,普攻1,1610002,1,1,0,2,0,1,,,,,普攻1,
1102,普攻2,1610002,1,1,0,2,0,1,,,,,普攻2,
1103,普攻3,1610002,1,1,0,2,0,1,,,,,普攻3,
1104,普攻4,1610002,1,1,0,2,0,1,,,,,普攻4,
1105,翻滚,1610002,2,1,0,99,1,1,,,,,翻滚,
1111,圣骑血统,1610001,3,1,0,51,1,10,1211,10,1311,10,普攻加强,
1112,无畏突袭,1610003,3,1,0,51,1,10,1212,10,1312,10,向前冲锋一段距离,
1113,森罗万象,1610002,3,1,0,51,0,10,1213,10,1313,10,将附近范围的敌方拉到自身身旁,
1114,末日审判,1610005,3,1,0,51,0,10,1214,10,1314,10,指定范围产生范围攻击,
1115,绝天神,1610004,3,1,0,51,1,10,1215,10,1315,10,快速向前打出一道直线范围攻击,
1120,圣天使之歌,1610010,4,1,0,99,1,50,,,,,圣骑单连,
2101,普攻1,1610002,1,2,0,2,0,1,,,,,普攻1,
2102,普攻2,1610002,1,2,0,2,0,1,,,,,普攻2,
2103,普攻3,1610002,1,2,0,2,0,1,,,,,普攻3,
2104,普攻4,1610002,1,2,0,2,0,1,,,,,普攻4,
2105,翻滚,1610002,2,2,0,99,1,1,,,,,翻滚,
2111,瞬影击,1620001,3,2,0,51,1,10,2211,10,2311,10,普通加强,
2112,飘渺之刃,1620005,3,2,0,51,1,10,2212,10,2312,10,冲刺后可在5秒时间内在迅速冲刺一下,
2113,禁忌领域,1620002,3,2,0,51,0,10,2213,10,2313,10,群体减速,
2114,零点追击,1620004,3,2,0,51,0,10,2214,10,2314,10,释放3个球，随机攻击附近玩家,
2115,神鬼乱舞,1620003,3,2,0,51,1,10,2215,10,2315,10,一边向后跳跃一边攻击,
2120,死亡月舞曲,1620010,4,2,0,99,1,50,,,,,魔剑单连,
3101,普攻1,1610002,1,4,0,2,0,1,,,,,普攻1,
3102,普攻2,1610002,1,4,0,2,0,1,,,,,普攻2,
3103,普攻3,1610002,1,4,0,2,0,1,,,,,普攻3,
3104,普攻4,1610002,1,4,0,2,0,1,,,,,普攻4,
3105,翻滚,1610002,2,4,0,99,1,1,,,,,翻滚,
3111,狂斩,1640001,3,4,0,51,1,10,3211,10,3311,10,普攻加强,
3112,龙王之怒,1640002,3,4,0,51,1,10,3212,10,3312,10,向前短距离冲锋并迅速斩出一刀,
3113,俱寂,1640005,3,4,0,51,0,10,3213,10,3313,10,群体沉默,
3114,浴血旋风,1640003,3,4,0,51,0,10,3214,10,3314,10,旋风斩,
3115,毁天灭地,1640004,3,4,0,51,1,10,3215,10,3315,10,点击后向前跳跃一段距离并产生范围攻击,
3120,血腥怒杀阵,1640010,4,4,0,99,1,50,,,,,狂战单连,
3332,献祭伤害,1610002,3,0,0,51,0,10,,,,,献祭buff产生的伤害,
8000,召唤巫师,1610002,4,0,1,5,2,1,,,,,,
8001,射箭,1610002,1,0,0,1,1,1,,,,,射箭,
8002,扫射,1610002,1,0,0,1,1,1,,,,,扫射,
8003,连珠,1610002,1,0,0,1,1,1,,,,,连珠,
8004,多重箭,1610002,1,0,0,1,1,1,,,,,多重箭,
8005,爆裂箭,1610002,1,0,0,1,1,1,,,,,爆裂箭,
8006,圣剑护体,1610002,1,0,0,3,0,1,,,,,圣剑护体,
8007,延迟爆炸,1610002,1,0,0,3,0,1,,,,,延迟爆炸,
8008,大剑气,1610002,1,0,0,1,1,1,,,,,大剑气,
8009,狼魔化,1610002,3,0,2,99,0,1,,,,,变红,
8010,龙魔化,1610002,3,0,2,99,0,1,,,,,变红,
8011,丧尸英雄王魔化,1610002,3,0,2,99,0,1,,,,,变红,
8012,紫魔蛛魔化,1610002,3,0,2,99,0,1,,,,,变红,
8013,阿伽门农魔化,1610002,3,0,2,99,0,1,,,,,变红,
8014,美狄亚魔化,1610002,3,0,2,99,0,1,,,,,变红,
8015,海伦魔化,1610002,3,0,2,99,0,1,,,,,变红,
8016,邪恶巫师魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8017,狼人魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8018,强盗魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8019,远征军魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8020,阿喀琉斯魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8021,亡灵魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8022,斯琳娜公主魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8023,游侠魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8024,丧尸英雄王魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8025,帝王蛛魔化（试炼）,1610002,3,0,2,99,0,1,,,,,变红,
8026,美杜莎魔化,1610002,3,0,2,99,0,1,,,,,变红,
8101,强盗普攻1,1610002,3,0,0,1,0,1,,,,,普攻1,
8102,狼人普攻1,1610002,3,0,0,1,0,1,,,,,普攻2,
8103,法力女神普攻1,1610002,3,0,0,1,1,1,,,,,法力女神普攻3,
8104,巫师普攻1,1610002,3,0,0,1,1,1,,,,,巫师普攻4,
8105,狼人普攻2,1610002,3,0,0,1,0,1,,,,,狼人普攻2,
8106,狼人冲锋,1610002,3,0,0,51,0,1,,,,,狼人冲锋,
8107,狼人双爪击,1610002,3,0,0,51,0,1,,,,,狼人双爪击,
8108,狼人跳跃双爪击,1610002,3,0,0,51,0,1,,,,,狼人跳跃双爪击,
8109,蜃龙普攻1,1610002,3,0,0,2,0,1,,,,,魔龙普攻1,
8110,蜃龙普攻2,1610002,3,0,0,2,0,1,,,,,魔龙普攻2,
8113,法力女神蓄力,1610002,3,0,0,51,0,1,,,,,法力女神蓄力,
8114,强盗旋风斩,1610002,3,0,0,51,0,1,,,,,强盗旋风斩,
8115,强盗蓄力剑气,1610002,3,0,0,51,0,1,,,,,强盗蓄力剑气,
8116,强盗跳跃斩地,1610002,3,0,0,1,0,1,,,,,强盗跳跃斩地,
8117,巫师召唤毒雾,1610002,3,0,1,51,2,1,,,,,巫师召唤毒雾,
8118,巫师召唤诅咒之门,1610002,3,0,1,51,2,1,,,,,巫师召唤诅咒之门,
8119,巫师召唤狼人,1610002,4,0,1,51,2,1,,,,,巫师召唤狼人,
8120,炽火龙冲锋,1610002,3,0,0,51,0,1,,,,,魔龙冲锋,
8121,阿喀琉斯普攻1,1610002,3,0,0,1,0,1,,,,,阿喀琉斯普攻1,
8122,阿喀琉斯普攻2,1610002,3,0,0,1,0,1,,,,,阿喀琉斯普攻2,
8123,阿喀琉斯冲刺跳斩,1610002,3,0,0,51,1,1,,,,,阿喀琉斯冲刺跳斩,
8124,阿喀琉斯剑气炸裂,1610002,3,0,0,51,1,1,,,,,阿喀琉斯剑气炸裂,
8125,阿喀琉斯剑盾合一,1610002,3,0,0,51,1,1,,,,,阿喀琉斯剑盾合一,
8126,邪恶的英灵普攻,1610002,3,0,0,1,1,1,,,,,邪恶的英灵普攻,
8127,邪恶的英灵魔爪下落,1610002,3,0,0,51,2,1,,,,,邪恶的英灵魔爪下落,
8128,邪恶的英灵魔爪群现,1610002,3,0,0,51,1,1,,,,,邪恶的英灵魔爪群现,
8129,邪恶的英灵毒沼,1610002,3,0,0,51,2,1,,,,,邪恶的英灵毒沼,
8130,远征军守卫普攻,1610002,3,0,0,1,0,1,,,,,远征军守卫普攻,
8131,守墓者普攻,1610002,3,0,0,1,0,1,,,,,守墓者普攻阶段1,
8132,帕特洛克罗斯普攻,1610002,3,0,0,1,0,1,,,,,帕特洛克罗斯普攻,
8133,龙宫守卫普攻1,1610002,3,0,0,1,0,1,,,,,龙宫守卫普攻1,
8134,龙宫守卫普攻2,1610002,3,0,0,1,0,1,,,,,龙宫守卫普攻2,
8135,魔化克瑞斯普攻,1610002,3,0,0,1,0,1,,,,,魔化克瑞斯普攻,
8136,血池守卫普攻,1610002,3,0,0,1,0,1,,,,,血池守卫普攻,
8137,亡灵剑士普攻,1610002,3,0,0,1,0,1,,,,,亡灵剑士普攻,
8138,死灵骑士普攻,1610002,3,0,0,1,0,1,,,,,死灵骑士普攻,
8139,希腊勇者普攻,1610002,3,0,0,1,0,1,,,,,希腊勇者普攻,
8140,黑巫使徒普攻,1610002,3,0,0,1,1,1,,,,,黑巫使徒普攻,
8141,镰刀死神普攻,1610002,3,0,0,1,0,1,,,,,镰刀死神普攻,
8142,幻影之魂普攻,1610002,3,0,0,1,0,1,,,,,幻影之魂普攻,
8143,美狄亚普攻,1610002,3,0,0,1,0,1,,,,,美狄亚普攻,
8144,海伦普攻,1610002,3,0,0,1,0,1,,,,,海伦普攻,
8145,海伦范围冰冻,1610002,3,0,0,51,0,1,,,,,海伦范围冰冻,
8146,海伦寒冰屏障,1610002,3,0,0,51,0,1,,,,,海伦寒冰屏障,
8147,海伦寒冰风暴,1610002,3,0,0,51,0,1,,,,,海伦寒冰风暴,
