id,title,level,stageMax,aiCastType,aiCastDist,cost,cd,subCd,stack,needLv,needSpirit,needSkillId,needSkillLv,needItemId,needItemNum,desc,endRow
*uint,string,uint,uint,!SkillAiCastType,float,"""Dictionary<!CsvKey, ECsvPelx>""",float,float,uint,uint,uint,uint,uint,uint,uint,string,
#ID,技能名称,等级,最大阶段,Ai释放技能类型,Ai释放技能距离,消耗,冷却秒数,次技能cd,冷却堆叠数,需要等级,需要战功,前置技能,前置技能等级,需要物品,数量,描述,
10000,复活时触发击退技能,1,1,0,5,,0,0,1,1,0,,,,,普攻1,
110100,普攻1,1,1,0,3,,0.9,0,1,1,0,,,,,普攻1,
110200,普攻2,1,1,0,3,,0.8,0,1,1,0,,,,,普攻2,
110300,普攻3,1,1,0,3.5,,1.2,0,1,1,0,,,,,普攻3,
110400,普攻4,1,1,0,4.5,,1.6,0,1,1,0,,,,,普攻4,
110500,翻滚,1,1,0,9,,3.5,0,2,1,0,,,,,翻滚,
111100,骑士冲击,1,1,0,7,"{""mp"":[22,0]}",10,0,1,1,0,,,,,发起冲锋，向前施放强大的冲击波，造成275%技能伤害,
111101,骑士冲击,2,1,0,7,"{""mp"":[24,0]}",10,0,1,7,400,,,,,发起冲锋，向前施放强大的冲击波，造成300%技能伤害,
111102,骑士冲击,3,1,0,7,"{""mp"":[26,0]}",10,0,1,9,800,,,,,发起冲锋，向前施放强大的冲击波，造成325%技能伤害,
111103,骑士冲击,4,1,0,7,"{""mp"":[28,0]}",10,0,1,11,1200,,,,,发起冲锋，向前施放强大的冲击波，造成350%技能伤害,
111104,骑士冲击,5,1,0,7,"{""mp"":[30,0]}",10,0,1,14,1600,,,,,发起冲锋，向前施放强大的冲击波，造成375%技能伤害,
111105,骑士冲击,6,1,0,7,"{""mp"":[32,0]}",10,0,1,17,2000,,,,,发起冲锋，向前施放强大的冲击波，造成400%技能伤害,
111106,骑士冲击,7,1,0,7,"{""mp"":[34,0]}",10,0,1,21,2500,,,,,发起冲锋，向前施放强大的冲击波，造成425%技能伤害,
111107,骑士冲击,8,1,0,7,"{""mp"":[36,0]}",10,0,1,25,3000,,,,,发起冲锋，向前施放强大的冲击波，造成450%技能伤害,
111108,骑士冲击,9,1,0,7,"{""mp"":[38,0]}",10,0,1,30,3500,,,,,发起冲锋，向前施放强大的冲击波，造成475%技能伤害,
111109,骑士冲击,10,1,0,7,"{""mp"":[40,0]}",10,0,1,35,4000,,,,,发起冲锋，向前施放强大的冲击波，造成500%技能伤害,
121100,骑士信仰,1,1,,,,,0,1,11,800,1111,3,,,按血量比例叠加防御力，血量越少更能触发守护力量，2级进一步觉醒血统,
121101,骑士信仰,2,1,,,,,0,1,14,1600,1111,3,,,按血量比例叠加防御力，血量越少更能触发守护力量，3级进一步觉醒血统,
121102,骑士信仰,3,1,,,,,0,1,17,2400,1111,3,,,按血量比例叠加防御力，血量越少更能触发守护力量，4级进一步觉醒血统,
121103,骑士信仰,4,1,,,,,0,1,21,3200,1111,4,,,按血量比例叠加防御力，血量越少更能触发守护力量，5级进一步觉醒血统,
121104,骑士信仰,5,1,,,,,0,1,25,4000,1111,5,,,按血量比例叠加防御力，血量越少更能触发守护力量，6级进一步觉醒血统,
121105,骑士信仰,6,1,,,,,0,1,30,5500,1111,6,,,按血量比例叠加防御力，血量越少更能触发守护力量，7级进一步觉醒血统,
121106,骑士信仰,7,1,,,,,0,1,35,7000,1111,7,,,按血量比例叠加防御力，血量越少更能触发守护力量，8级进一步觉醒血统,
121107,骑士信仰,8,1,,,,,0,1,40,8500,1111,8,,,按血量比例叠加防御力，血量越少更能触发守护力量，9级进一步觉醒血统,
121108,骑士信仰,9,1,,,,,0,1,45,10000,1111,9,,,按血量比例叠加防御力，血量越少更能触发守护力量，10级进一步觉醒血统,
121109,骑士信仰,10,1,,,,,0,1,50,12000,1111,10,,,按血量比例叠加防御力，血量越少更能触发守护力量,
131100,骑士力量,1,1,,,,,0,1,21,1500,1211,4,,,觉醒神圣血统得到的力量，增加6.5%技能攻击力,
131101,骑士力量,2,1,,,,,0,1,25,3000,1211,4,,,觉醒神圣血统得到的力量，增加8%技能攻击力,
131102,骑士力量,3,1,,,,,0,1,30,4500,1211,4,,,觉醒神圣血统得到的力量，增加9.5%技能攻击力,
131103,骑士力量,4,1,,,,,0,1,35,6000,1211,4,,,觉醒神圣血统得到的力量，增加11%技能攻击力,
131104,骑士力量,5,1,,,,,0,1,40,8000,1211,5,,,觉醒神圣血统得到的力量，增加12.5%技能攻击力,
131105,骑士力量,6,1,,,,,0,1,45,10000,1211,6,,,觉醒神圣血统得到的力量，增加14%技能攻击力,
131106,骑士力量,7,1,,,,,0,1,50,12000,1211,7,,,觉醒神圣血统得到的力量，增加15.5%技能攻击力,
131107,骑士力量,8,1,,,,,0,1,55,14000,1211,8,,,觉醒神圣血统得到的力量，增加17%技能攻击力,
131108,骑士力量,9,1,,,,,0,1,60,16000,1211,9,,,觉醒神圣血统得到的力量，增加18.5%技能攻击力,
131109,骑士力量,10,1,,,,,0,1,65,18000,1211,10,,,觉醒神圣血统得到的力量，增加20%技能攻击力,
111200,破天之矛,1,1,0,0,"{""mp"":[55,0]}",20,0,1,8,600,1111,1,,,将自身化为破天之矛向前方冲刺，造成330%技能伤害,
111201,破天之矛,2,1,0,0,"{""mp"":[60,0]}",20,0,1,10,1200,1111,2,,,将自身化为破天之矛向前方冲刺，造成360%技能伤害,
111202,破天之矛,3,1,0,0,"{""mp"":[65,0]}",20,0,1,13,1800,1111,3,,,将自身化为破天之矛向前方冲刺，造成390%技能伤害,
111203,破天之矛,4,1,0,0,"{""mp"":[70,0]}",20,0,1,16,2400,1111,4,,,将自身化为破天之矛向前方冲刺，造成420%技能伤害,
111204,破天之矛,5,1,0,0,"{""mp"":[75,0]}",20,0,1,20,3000,1111,5,,,将自身化为破天之矛向前方冲刺，造成450%技能伤害,
111205,破天之矛,6,1,0,0,"{""mp"":[80,0]}",20,0,1,24,4000,1111,6,,,将自身化为破天之矛向前方冲刺，造成480%技能伤害,
111206,破天之矛,7,1,0,0,"{""mp"":[85,0]}",20,0,1,29,5000,1111,7,,,将自身化为破天之矛向前方冲刺，造成510%技能伤害,
111207,破天之矛,8,1,0,0,"{""mp"":[90,0]}",20,0,1,34,6000,1111,8,,,将自身化为破天之矛向前方冲刺，造成540%技能伤害,
111208,破天之矛,9,1,0,0,"{""mp"":[95,0]}",20,0,1,39,7000,1111,9,,,将自身化为破天之矛向前方冲刺，造成570%技能伤害,
111209,破天之矛,10,1,0,0,"{""mp"":[100,0]}",20,0,1,44,8000,1111,10,,,将自身化为破天之矛向前方冲刺，造成600%技能伤害,
121200,灼烧之痕,1,1,,,,,0,1,16,1200,1112,3,,,在冲刺路径留下圣焰，每秒造成37%灼烧伤害,
121201,灼烧之痕,2,1,,,,,0,1,20,2400,1112,3,,,在冲刺路径留下圣焰，每秒造成44%灼烧伤害,
