id,title,pAtkBase,pAtkPer,mAtkBase,mAtkPer,addTarget,addStage,castStart,castOffset,castEnd,castRange,castAngle,castVel,castMax,castGap,castAi,castArg,castSet,callId,hitDelay,hitDura,hitGap,hitSet,targetCamp,actTime,actSet,rType,rWidth,rArg1,rArg2,repeat,playEx,actVel,hitKind,hitDist,atkBuff,hitBuff,atkSp,hitSp,atkAnimName,atkAnimPost,atkCamera,hitCamera,ownFx,ownDelay,atkFx,atkDelay,atkSound,atkCv,hitAnim,hitFx,hitSound,endRow,,,,,,,,,,
*uint,string,int,float,int,float,int,int,!SkillCastKind,float,!SkillCastKind,float,int,float,uint,float,!SkillCastAi,float,int,uint,float,float,float,int,int,float,int,!SkillRange,float,float,float,int,float,float,!SkillHitKind,float,uint,uint,uint,uint,string,string,uint,uint,uint,float,uint,float,uint,uint,int,uint,uint,,,,,,,,,,,
#ID,技能名称,基础普攻,百分比普攻,基础技攻,百分比技攻,强化阶段,强化招数,释放开始类型,释放距离,释放结束类型,释放范围,发射角度,发射速度,发射数量,发射间隔,运动ai,施法参数,发射设置,召唤Id,伤害延迟,伤害持续时间,伤害间隔,命中设置,目标阵营,动作持续时间,技能中设置,范围类型,范围半径f,左角度/长,右角度,重复次数,额外动画位移百分比,平均位移速度,命中后的动作类型,受击位移,自身状态,目标状态,攻击获取怒气点,受击获取怒气点,攻击动作,是否有收招,技能释放镜头,技能受击镜头,自身特效,自身特效延迟,攻击特效,攻击特效延迟,攻击音效,出招时叫声,受击动作ID,受击特效,受击音效,,,,,,,,,,,
100000,复活技能,,,1,,,,,,,,,,1,,Bind,,,,0,,,3,2,0.5,4,3,10,,,1,1,,,,,,,,,,,1,46,,,,,,5,2011,260002,,,,,,,,,,,
1101000,普攻1,,0.9,,,,,,,,3.5,,,1,,Bind,,,,0.232,,,3,2,0.4,,2,3.5,91,-90,1,0.34,,,,,,9,9,AttackA,,,1,,,1070,,210061,400206,3,2003,260001,,,,,,,,,,,
1102000,普攻2,,0.9,,,,,,,,3.5,,,1,,Bind,,,,0.181,,,3,2,0.433,,2,3.5,91,-90,1,0.34,,,0.34,,,9,9,AttackB,,,1,,,1071,,210062,400206,2,2003,260001,,,,,,,,,,,
1103000,普攻3,,0.4,,,,,,,,4,,,1,,Bind,,,,0.098,0.62,0.29,3,2,0.833,,3,4,,,1,0.34,,,,,,3,3,AttackC,,,1,,,1072,,210063,400207,4,2003,260001,,,,,,,,,,,
1104000,普攻4,,1,,,,,,,,5,,,1,,Bind,,,,0.674,,,3,2,1.094,,2,5,100,-100,1,0.34,,,-0.67,,,9,9,AttackD,,,2,,,1073,,210064,400205,4,2003,260002,,,,,,,,,,,
1105000,翻滚,,,,,,,,,,,,,,,,,,,,,,,,0.733,26,,,,,1,1,7.30086,,,,,,,Roll,,,,,,,,210005,,,,,,,,,,,,,,,
1111000,骑士冲锋1级,,,,2,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111010,骑士冲锋2级,,,,3,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111020,骑士冲锋3级,,,,3.25,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111030,骑士冲锋4级,,,,3.5,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111040,骑士冲锋5级,,,,3.75,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111050,骑士冲锋6级,,,,4,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111060,骑士冲锋7级,,,,4.25,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111070,骑士冲锋8级,,,,4.5,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111080,骑士冲锋9级,,,,4.75,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1111090,骑士冲锋10级,,,,5,,,SmartDir,,,5,,,1,,Bind,,,,0.337,,,3,2,0.9,,2,7,40,-40,1,,0.55464,,,,,9,9,OftenA,,205,,,,1061,,210066,400209,4,2021,260002,,,,,,,,,,,
1211000,骑士信仰1级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211010,骑士信仰2级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10001,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211020,骑士信仰3级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211030,骑士信仰4级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10003,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211040,骑士信仰5级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10004,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211050,骑士信仰6级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10005,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211060,骑士信仰7级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10006,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211070,骑士信仰8级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10007,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211080,骑士信仰9级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10008,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211090,骑士信仰10级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10009,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311000,骑士力量1级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311010,骑士力量2级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311020,骑士力量3级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10102,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311030,骑士力量4级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10103,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311040,骑士力量5级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10104,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311050,骑士力量6级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10105,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311060,骑士力量7级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10106,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311070,骑士力量8级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10107,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311080,骑士力量9级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10108,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311090,骑士力量10级,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,1,,,,,10109,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112000,破天之矛1级,,,,3.3,,,,,,5,,,1,,Bind,,,,0.358,0.62,,2,2,1,18,3,1.3,,,1,,6.72075,,,,,,,Dash,,,,1064,,,,210076,400209,4,2001,260002,,,,,,,,,,,
