id,Desc,Sound1,Ratio1,Sound2,Ratio2,Sound3,Ratio3,downloadLevel,Delay,Volume,PlayType,SoundType,PriorityLevel,IsMusicDown,endRow
*uint,string,string,int,string,int,string,int,uint,float,int,int,int,int,bool,
#ID,描述,声音文件名1,文件1的播放几率,声音文件名2,文件2的播放几率,声音文件名3,文件3的播放几率,下载分包属于哪个包,延迟,音量,播放方式,SoundType,播放优先级,是否降低背景音量,
110001,打开界面,UI/System_Interface_Open01,100,,,,,,0,100,1,4,1,,
110002,关闭界面,UI/System_Interface_Close01,100,,,,,,0,100,1,4,1,,
110003,点击特效,UI/System_Interface_Tap01,100,,,,,,0,100,1,4,1,,
110004,翻页音效,UI/System_Interface_Page01,100,,,,,,0,100,1,4,1,,
110005,二次确认提示,UI/System_Tips_Reconfirm01,100,,,,,,0,100,1,4,1,,
110006,操作失败,UI/System_Tips_Faile01,100,,,,,,0,100,1,4,1,,
110007,操作成功,UI/System_Task_Finish01,100,,,,,,0,100,1,4,1,,
110008,获得普通物品,UI/System_Function_Get01,100,,,,,,0,100,1,4,1,,
110009,获得珍贵物品,UI/System_Function_Get02,100,,,,,,0,100,1,4,1,,
110010,装备-锻造、合成,UI/System_Equipment_Make01,100,,,,,,0,100,1,4,1,,
110011,收到系统提示,UI/System_Tips_News01,100,,,,,,0,100,1,4,1,,
110012,查看列表,UI/System_Interface_Check01,100,,,,,,0,100,1,4,1,,
110013,消耗金币,UI/System_Function_Gold01,100,,,,,,0,100,1,4,2,,
110014,穿上装备,UI/System_Equipment_Wear01,100,,,,,,0,100,1,4,1,,
110015,卸下装备,UI/System_Equipment_Vail01,100,,,,,,0,100,1,4,1,,
110016,PK开始前音效,UI/System_PK_Start01,100,,,,,,0,100,1,4,1,,
110017,接到任务音效,UI/System_Task_Accept01,100,,,,,,0,100,1,4,1,,
110018,完成任务音效,UI/System_Task_Finish01,100,,,,,,0,100,1,4,1,,
110019,战斗胜利,UI/System_PK_Win01,100,,,,,,0,100,1,5,1,,
110020,战斗失败,UI/System_PK_Lose01,100,,,,,,0,100,1,5,1,,
110021,恢复类音效,UI/System_ForRandom_Empty01,100,,,,,,0,100,1,4,1,,
110022,登陆开门声,UI/System_Function_PushDoor01,100,,,,,,0,100,1,4,1,,
110023,召唤侍魂,UI/System_Fuguan_Summon01,100,,,,,,0,100,1,4,1,,
110024,开宝箱,UI/System_Function_Get01,100,,,,,,0,100,1,4,1,,
110025,非主角升级,UI/System_LevelUp_UnActor01,100,,,,,,0,100,1,4,1,,
110026,装备镶嵌、进阶,UI/System_Equipment_Inlay01,100,,,,,,0,100,1,4,1,,
110027,主角升级,UI/System_LevelUp_Actor01,100,,,,,,0,100,1,4,1,,
110028,融合类音效,UI/System_Function_Fusion01,100,,,,,,0,100,1,4,1,,
110029,点星音效,UI/System_Function_Star01,100,,,,,,0,100,1,4,1,,
110030,复活音效,UI/System_Function_Fuhuo01,100,,,,,,0,100,1,4,1,,
110031,开启新功能出现新图标时音效,UI/System_Task_Accept01,100,,,,,,0,100,1,4,1,,
110032,维纳斯祝福中放置成功心,UI/System_Task_Finish01,100,,,,,,0,100,1,4,1,,
110033,界面中获得奖励,UI/System_Tips_News01,100,,,,,,0,100,1,4,1,,
110034,开场角色登场前音效,UI/System_Function_Fuhuo01,100,,,,,,0,100,1,4,1,,
110035,怒气槽长满时播一次的音效,UI/System_ForRandom_Empty01,100,,,,,,0,100,1,4,1,,
110051,教学声音点击地面移动,Character/Female/Character_Guide_Teach01,100,,,,,,0,100,1,4,2,1,
110052,教学声音很好再次点击地面移动,Character/Female/Character_Guide_Teach02,100,,,,,,0,100,1,4,3,1,
110053,教学声音点击Go按钮自动寻路,Character/Female/Character_Guide_Teach03,100,,,,,,0,100,1,4,4,1,
110054,教学声音朝怪物方向移动主角会自动攻击,Character/Female/Character_Guide_Teach04,100,,,,,,0,100,1,4,5,1,
110055,教学声音移动过程中遇怪会自动攻击,Character/Female/Character_Guide_Teach05,100,,,,,,0,100,1,4,6,1,
110056,教学声音很好继续前行,Character/Female/Character_Guide_Teach06,100,,,,,,0,100,1,4,7,1,
110057,教学声音一大波怪物靠近尝试自己消灭他们,Character/Female/Character_Guide_Teach07,100,,,,,,0,100,1,4,8,1,
110058,教学声音干得漂亮消灭最后一波怪物吧,Character/Female/Character_Guide_Teach08,100,,,,,,0,100,1,4,9,1,
110059,教学声音手指快速划动可翻滚躲避攻击,Character/Female/Character_Guide_Teach09,100,,,,,,0,100,1,4,10,1,
110060,教学声音使用技能消灭敌人,Character/Female/Character_Guide_Teach10,100,,,,,,0,100,1,4,11,1,
110061,教学声音朝怪物方向点击箭头释放技能,Character/Female/Character_Guide_Teach11,100,,,,,,0,100,1,4,12,1,
110062,教学声音做得不错哦,Character/Female/Character_Guide_Teach12,100,,,,,,0,100,1,4,13,1,
110063,教学声音干得漂亮你太聪明了,Character/Female/Character_Guide_Teach13,100,,,,,,0,100,1,4,14,1,
110064,教学声音往怪物方向点击一次角色就会自动攻击暂用-P一大波怪物靠近尝试自己消灭他们,Character/Female/Character_Guide_Teach07,100,,,,,,0,100,1,4,8,1,
110065,教学声音最多可连续翻滚两次翻滚后需要等待时间冷却暂用-P干得漂亮消灭最后一波怪物吧,Character/Female/Character_Guide_Teach08,100,,,,,,0,100,1,4,9,1,
110066,教学声音点击发光技能图标使用威力强大的无双技消灭敌人吧暂用-P手指快速划动可翻滚躲避攻击,Character/Female/Character_Guide_Teach09,100,,,,,,0,100,1,4,10,1,
110067,教学声音战斗中击杀敌人有机率会掉落恢复药品暂用-P使用技能消灭敌人,Character/Female/Character_Guide_Teach10,100,,,,,,0,100,1,4,11,1,
110068,教学声音每次攻击敌人和受击都会获得怒气值怒气蓄满后便可使用无双技暂用-P朝怪物方向点击箭头释放技能,Character/Female/Character_Guide_Teach11,100,,,,,,0,100,1,4,12,1,
110069,教学声音快速划动屏幕给Boss致命一击暂用-P做得不错哦,Character/Female/Character_Guide_Teach12,100,,,,,,0,100,1,4,13,1,
110070,教学声音连击数越多获得的金币会越多哦暂用-P干得漂亮你太聪明了,Character/Female/Character_Guide_Teach13,100,,,,,,0,100,1,4,14,1,
210000,狂战演武动作的释放音效,Skill/Cast/Cast_Warrior_Appear01,100,,,,,,,100,1,2,16,,
210001,狂战普攻01的挥舞大剑的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.309,60,1,2,6,,
210002,狂战普攻02的挥舞大剑的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.217,60,1,2,6,,
210003,狂战普攻03的挥舞大剑的音效,Skill/Cast/Cast_BigWeapon_Light01,50,Skill/Cast/Cast_BigWeapon_Light02,50,,,,0.504,60,1,2,6,,
210004,狂战普攻04的挥舞大剑的音效,Skill/Cast/Cast_BigWeapon_Heavy01,50,Skill/Cast/Cast_BigWeapon_Heavy02,50,,,,0.224,60,1,2,6,,
210005,狂战翻滚的释放音效,Skill/Cast/Cast_Warrior_Roll01,100,,,,,,,40,1,2,16,,
210006,狂战普攻加强技能的释放音效,Skill/Cast/Cast_Warrior_Often01,100,,,,,,0.554,60,1,2,16,,
210007,狂战群体沉默技能的释放音效,Skill/Cast/Cast_Warrior_Stopping01,100,,,,,,0.55,60,1,2,16,,
210008,狂战旋风斩的释放音效,Skill/Cast/Cast_Warrior_WindSlash01,100,,,,,,0,60,2,2,16,,
210011,狂战无双技能第一段的释放音效,Skill/Cast/Cast_Warrior_Combo01,100,,,,,,0.573,60,1,2,6,,
210012,狂战无双技能第一段的释放音效,Skill/Cast/Cast_Warrior_Combo02,100,,,,,,0.477,60,1,2,6,,
210013,狂战无双技能第一段的释放音效,Skill/Cast/Cast_Warrior_Combo03,100,,,,,,0.108,60,1,2,6,,
210014,狂战无双技能第一段的释放音效,Skill/Cast/Cast_Warrior_Combo02,100,,,,,,0.452,60,1,2,6,,
210015,狂战无双技能第一段的释放音效,Skill/Cast/Cast_Warrior_Combo05,100,,,,,,0.308,60,1,2,6,,
210016,狂战无双技能第一段的释放音效,Skill/Cast/Cast_Warrior_Combo06,100,,,,,,0.2,60,1,2,6,,
210017,狂战冲斩技能的释放音效,Skill/Cast/Cast_Knight_Often01,100,,,,,,0.27,60,1,2,16,,
210018,狂战地动技能的释放音效,Skill/Cast/Cast_Warrior_PointAoe01,100,,,,,,0.187,60,1,2,16,,
210030,魔剑演武动作的释放音效,Skill/Cast/Cast_Runner_Appear01,100,,,,,,,100,1,2,16,,
210031,魔剑普攻01的挥剑的音效,Skill/Cast/Cast_NormalWeapon_Light01,50,Skill/Cast/Cast_NormalWeapon_Light02,50,,,,0.1,60,1,2,6,,
210032,魔剑普攻02的挥剑的音效,Skill/Cast/Cast_NormalWeapon_Light01,50,Skill/Cast/Cast_NormalWeapon_Light02,50,,,,0.15,60,1,2,6,,
210033,魔剑普攻03的挥剑的音效,Skill/Cast/Cast_NormalWeapon_Light01,50,Skill/Cast/Cast_NormalWeapon_Light02,50,,,,0.22,60,1,2,6,,
210034,魔剑普攻04的挥剑的音效,Skill/Cast/Cast_LightSword_Heavy01,50,Skill/Cast/Cast_LightSword_Heavy02,50,,,,0.45,60,1,2,6,,
210035,魔剑翻滚的释放音效,Skill/Cast/Cast_Runner_Roll01,100,,,,,,,40,1,2,16,,
210036,魔剑普攻加强技能的释放音效,Skill/Cast/Cast_Runner_Often01,100,,,,,,,60,1,2,16,,
210037,魔剑群体减速技能的释放音效,Skill/Cast/Cast_Runner_SlowDown01,100,,,,,,,60,1,2,16,,
210038,魔剑零点追踪的释放音效,Skill/Cast/Cast_Runner_ZeroBall01,100,,,,,,,60,1,2,16,,
210039,魔剑无双技能第一段的释放音效,Skill/Cast/Cast_Runner_Combo01,100,,,,,,,60,1,2,16,,
210040,魔剑无双技能第二段的释放音效,Skill/Cast/Cast_Runner_Combo02,100,,,,,,,60,1,2,16,,
