id,monster,reward_time,born_center,drop_id_com,pro_com,drop_id_elite,pro_elite,drop_id_boss,pro_boss,end
*uint,uint[],int,ECsvCenter[],uint[],int,uint[],int,uint[],int,
#,怪物组,奖励时间,刷怪所在圆中心,普通怪掉落,概率,精英怪掉落,概率,boss掉落,概率,
1500001,"[1001001,1001001,1001001]",0,"[{""x"":54,""z"":44,""r"":4}]",,,,,,,
1500002,"[1001001,1001001,1001001]",0,"[{""x"":54,""z"":44,""r"":4}]",,,,,,,
1501001,"[1501001,1501001,1501001,1501001,1501001,1501001,1501001,1501001,1501001]",0,"[{""x"":70.9,""z"":19,""r"":1.6}]",,,,,,,
1501002,"[1501001,1501001,1501001,1501001,1501001,1501001,1501001,1501001,1501001]",0,"[{""x"":99.9,""z"":19.5,""r"":1.6}]",,,,,,,
#1501003,"[1501001,1501001,1501001,1501001,1501001,1501001,1501001,1501001,1501001]",0,"[{""x"":99,""z"":19.5,""r"":1.6}]",,,,,,,
1501004,[1501002],0,"[{""x"":159.3,""z"":19,""r"":2}]",,,,,,,
5000101,"[50001001,50001001,50001001,50001001,50001001,50001001,50001003,50001003,50001005]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[2010001],3000,[2020002],10000,[2030003],10000,
5000102,"[50001002,50001002,50001002,50001002,50001002,50001002,50001004,50001004,50001006]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[2010001],3000,[2020002],10000,[2030003],10000,
5000103,"[50001001,50001001,50001002,50001003,50001001,50001001,50001003,50001003,50001004,50001007]",0,"[{""x"":78,""z"":37.6,""r"":4},{""x"":89.6,""z"":34.5,""r"":4},{""x"":84.9,""z"":22.9,""r"":4}]",[2010001],3000,[2020002],10000,[2030003],10000,
5000201,"[50002001,50002001,50002001,50002002,50002002,50002002,50002002,50002002,50002002,50002002,50002004]",0,"[{""x"":8.5,""z"":32.7,""r"":4},{""x"":17,""z"":26.9,""r"":4},{""x"":11.7,""z"":8.1,""r"":4},{""x"":10.9,""z"":16.4,""r"":4}]",[2110001],3000,[2120002],10000,[2130003],10000,
