id,story1,type1,obj1,story2,type2,obj2,story3,type3,obj3,story4,type4,obj4,story5,type5,obj5,story6,type6,obj6,story7,type7,obj7,story8,type8,obj8,story9,type9,obj9,story10,type10,obj10,story11,type11,obj11,story12,type12,obj12,endRow
*uint,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,string,!EStoryType,int,
#对话表,对白1,1(怪物)2(npc)3(主角)4(守护神),对应的id -- 对应怪物/人物表id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600001,这是盖亚所创造的黎明之门吗？雅典娜。,3,,是的，诸神通往人界的通道之一，第一次暗黑圣杯的劫难，使它暂时封闭起来。,1,5000001,可惜呢，圣杯吞噬掉我的大部分力量，现在的我，恐怕只能勉强迈过黎明之门前往人界了。,3,,嗯……对于虚弱的你，作为代价，黎明之门会夺走你一切的记忆，真的要这样吗？卡俄斯主人。,1,5000001,没有考虑的机会了，尼克斯很快就会让暗黑的力量遍布人间，黑夜永恒笼罩……我，是唯一可以带来黎明的希望。,3,,虽然我力量已经枯竭，依然会保护你到最后。,1,5000001,,,,,,,,,,,,,,,,,,,
600002,主人，黎明之门已经到了。,1,5000001,你的力量也耗尽了吧，雅典娜。,3,,想不到这些不起眼的魔物，对于虚弱的我们，成了最大的考验。,1,5000001,没有关系，这扇门将通往名为阿里德尔的小镇，是你创造了大地之神盖亚，夜之女神尼克斯……她们的故乡。,1,5000001,你回到人界后，应该会彻底忘记一切了，我……会在离你最近的地方沉睡，等待那么一天，你将一切记起。,1,5000001,那个时候，我会继续成为你无坚不摧的圣剑。,1,5000001,,,,,,,,,,,,,,,,,,,
600003,好大，好大,1,5000002,怎么出现一条会说话的蜥蜴？,3,0,愚蠢，愚蠢,1,5000002,用来煲汤不错,3,0,颤抖吧，可怜的凡人！,1,5000002,,,,,,,,,,,,,,,,,,,,,,
600004,现在时间紧迫，必须在圣杯降临人界前将它再次封印。,3,,穿越黎明之门会夺走你的记忆，在此之前，雅典娜发誓保护你左右，卡俄斯主人。,1,5000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600005,夜之使徒？既然有拦截的决心，就做好死回地狱的打算吧。,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600006,嘿嘿？卡俄斯，万年未见了，如果你愿意从地上爬过去，我可以考虑一下呵！,1,1501002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600007,路西法？！这一次，我就将你彻底送到地狱！,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600008,可恶！神之力竟然耗尽了！雅典娜……赶快回到奥林匹斯山，保存神族的力量。我牺牲自己为你挡下它。,3,,卡俄斯主人……万年前你创造我时，雅典娜已立下誓言成为你的剑和盾。,1,5000001,万年时光中，我作为你的剑战无不胜，今日，雅典娜愿意耗尽神魂，化身为盾，将一切力量归还给你……,1,5000001,停下来……！这是……神之灵魂！,3,,,,,,,,,,,,,,,,,,,,,,,,,,
600009,为什么奉献自己的神之魂，雅典娜。只差一步，你就回归混沌彻底死去了。,3,,没有关系。看到吗？这扇门将通往名为阿里德尔的小镇，是你创造了大地之神盖亚，夜之女神尼克斯……她们的故乡。,1,5000001,你回到人界后，应该会彻底忘记一切了，我……会在离你最近的地方沉睡，等待那么一天，你将一切记起。,1,5000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600010,将你踩在脚下的感觉真是爽快，能挡下这一招吗？,1,1501002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
