id,title,ico,job,lvMax,desc,endRow
*uint,string,int,int,int,string,
#ID,技能名称,图标,职业限制,主技能等级上限,描述,
1001,圣骑被动技能1,2012,1,100,提升圣骑生命,
1002,圣骑被动技能2,2012,1,100,提升圣骑法力,
1003,圣骑被动技能3,2012,1,100,提升圣骑普攻,
1004,圣骑被动技能4,2012,1,100,提升圣骑普防,
1005,圣骑被动技能5,2012,1,100,提升圣骑技攻,
1006,圣骑被动技能6,2012,1,100,提升圣骑技防,
1007,圣骑被动技能7,2012,1,100,提升圣骑暴击,
1008,圣骑被动技能8,2012,1,100,提升圣骑韧性,
1009,圣骑被动技能9,2012,1,100,提升圣骑破甲,
1010,圣骑被动技能10,2012,1,100,提升圣骑削攻,
2001,魔剑被动技能1,2012,2,100,提升魔剑生命,
2002,魔剑被动技能2,2012,2,100,提升魔剑法力,
2003,魔剑被动技能3,2012,2,100,提升魔剑普攻,
2004,魔剑被动技能4,2012,2,100,提升魔剑普防,
2005,魔剑被动技能5,2012,2,100,提升魔剑技攻,
2006,魔剑被动技能6,2012,2,100,提升魔剑技防,
2007,魔剑被动技能7,2012,2,100,提升魔剑暴击,
2008,魔剑被动技能8,2012,2,100,提升魔剑韧性,
2009,魔剑被动技能9,2012,2,100,提升魔剑破甲,
2010,魔剑被动技能10,2012,2,100,提升魔剑削攻,
3001,狂战被动技能1,2012,4,100,提升狂战生命,
3002,狂战被动技能2,2012,4,100,提升狂战法力,
3003,狂战被动技能3,2012,4,100,提升狂战普攻,
3004,狂战被动技能4,2012,4,100,提升狂战普防,
3005,狂战被动技能5,2012,4,100,提升狂战技攻,
3006,狂战被动技能6,2012,4,100,提升狂战技防,
3007,狂战被动技能7,2012,4,100,提升狂战暴击,
3008,狂战被动技能8,2012,4,100,提升狂战韧性,
3009,狂战被动技能9,2012,4,100,提升狂战破甲,
3010,狂战被动技能10,2012,4,100,提升狂战削攻,
