id,title,level,needLv,needSpirit,needSkillId,needSkillLv,needItemId,needItemNum,addAttr,addAttrVal,desc,endRow
*uint,string,int,int,int,int,int,int,int,int,int,string,
#ID,技能名称,等级,需要等级,需要修为,前置技能,前置技能等级,需要物品,数量,附加属性,附加值,描述,
100100,1级圣骑被动技能1,1,1,100,,,,,1,119,提升圣骑119生命,
100101,2级圣骑被动技能1,2,2,200,,,,,1,239,提升圣骑239生命,
100102,3级圣骑被动技能1,3,3,300,,,,,1,359,提升圣骑359生命,
100103,4级圣骑被动技能1,4,4,400,,,,,1,479,提升圣骑479生命,
100104,5级圣骑被动技能1,5,5,500,,,,,1,599,提升圣骑599生命,
100105,6级圣骑被动技能1,6,6,600,,,,,1,718,提升圣骑718生命,
100106,7级圣骑被动技能1,7,7,700,,,,,1,838,提升圣骑838生命,
100107,8级圣骑被动技能1,8,8,800,,,,,1,958,提升圣骑958生命,
100108,9级圣骑被动技能1,9,9,900,,,,,1,1078,提升圣骑1078生命,
100109,10级圣骑被动技能1,10,10,1000,,,,,1,1198,提升圣骑1198生命,
100110,11级圣骑被动技能1,11,11,1100,,,,,1,1317,提升圣骑1317生命,
100111,12级圣骑被动技能1,12,12,1200,,,,,1,1437,提升圣骑1437生命,
100112,13级圣骑被动技能1,13,13,1300,,,,,1,1557,提升圣骑1557生命,
100113,14级圣骑被动技能1,14,14,1400,,,,,1,1677,提升圣骑1677生命,
100114,15级圣骑被动技能1,15,15,1500,,,,,1,1797,提升圣骑1797生命,
100115,16级圣骑被动技能1,16,16,1600,,,,,1,1916,提升圣骑1916生命,
100116,17级圣骑被动技能1,17,17,1700,,,,,1,2036,提升圣骑2036生命,
100117,18级圣骑被动技能1,18,18,1800,,,,,1,2156,提升圣骑2156生命,
100118,19级圣骑被动技能1,19,19,1900,,,,,1,2276,提升圣骑2276生命,
100119,20级圣骑被动技能1,20,20,2000,,,,,1,2396,提升圣骑2396生命,
100120,21级圣骑被动技能1,21,21,2100,,,,,1,2515,提升圣骑2515生命,
100121,22级圣骑被动技能1,22,22,2200,,,,,1,2635,提升圣骑2635生命,
100122,23级圣骑被动技能1,23,23,2300,,,,,1,2755,提升圣骑2755生命,
100123,24级圣骑被动技能1,24,24,2400,,,,,1,2875,提升圣骑2875生命,
100124,25级圣骑被动技能1,25,25,2500,,,,,1,2995,提升圣骑2995生命,
100125,26级圣骑被动技能1,26,26,2600,,,,,1,3114,提升圣骑3114生命,
100126,27级圣骑被动技能1,27,27,2700,,,,,1,3234,提升圣骑3234生命,
100127,28级圣骑被动技能1,28,28,2800,,,,,1,3354,提升圣骑3354生命,
100128,29级圣骑被动技能1,29,29,2900,,,,,1,3474,提升圣骑3474生命,
100129,30级圣骑被动技能1,30,30,3000,,,,,1,3594,提升圣骑3594生命,
100130,31级圣骑被动技能1,31,31,3100,,,,,1,3713,提升圣骑3713生命,
100131,32级圣骑被动技能1,32,32,3200,,,,,1,3833,提升圣骑3833生命,
100132,33级圣骑被动技能1,33,33,3300,,,,,1,3953,提升圣骑3953生命,
100133,34级圣骑被动技能1,34,34,3400,,,,,1,4073,提升圣骑4073生命,
100134,35级圣骑被动技能1,35,35,3500,,,,,1,4193,提升圣骑4193生命,
100135,36级圣骑被动技能1,36,36,3600,,,,,1,4312,提升圣骑4312生命,
100136,37级圣骑被动技能1,37,37,3700,,,,,1,4432,提升圣骑4432生命,
100137,38级圣骑被动技能1,38,38,3800,,,,,1,4552,提升圣骑4552生命,
100138,39级圣骑被动技能1,39,39,3900,,,,,1,4672,提升圣骑4672生命,
100139,40级圣骑被动技能1,40,40,4000,,,,,1,4792,提升圣骑4792生命,
100140,41级圣骑被动技能1,41,41,4100,,,,,1,4911,提升圣骑4911生命,
100141,42级圣骑被动技能1,42,42,4200,,,,,1,5031,提升圣骑5031生命,
100142,43级圣骑被动技能1,43,43,4300,,,,,1,5151,提升圣骑5151生命,
100143,44级圣骑被动技能1,44,44,4400,,,,,1,5271,提升圣骑5271生命,
100144,45级圣骑被动技能1,45,45,4500,,,,,1,5391,提升圣骑5391生命,
100145,46级圣骑被动技能1,46,46,4600,,,,,1,5510,提升圣骑5510生命,
100146,47级圣骑被动技能1,47,47,4700,,,,,1,5630,提升圣骑5630生命,
100147,48级圣骑被动技能1,48,48,4800,,,,,1,5750,提升圣骑5750生命,
100148,49级圣骑被动技能1,49,49,4900,,,,,1,5870,提升圣骑5870生命,
100149,50级圣骑被动技能1,50,50,5000,,,,,1,5990,提升圣骑5990生命,
100150,51级圣骑被动技能1,51,51,5100,,,,,1,6109,提升圣骑6109生命,
100151,52级圣骑被动技能1,52,52,5200,,,,,1,6229,提升圣骑6229生命,
100152,53级圣骑被动技能1,53,53,5300,,,,,1,6349,提升圣骑6349生命,
100153,54级圣骑被动技能1,54,54,5400,,,,,1,6469,提升圣骑6469生命,
100154,55级圣骑被动技能1,55,55,5500,,,,,1,6589,提升圣骑6589生命,
100155,56级圣骑被动技能1,56,56,5600,,,,,1,6708,提升圣骑6708生命,
100156,57级圣骑被动技能1,57,57,5700,,,,,1,6828,提升圣骑6828生命,
100157,58级圣骑被动技能1,58,58,5800,,,,,1,6948,提升圣骑6948生命,
100158,59级圣骑被动技能1,59,59,5900,,,,,1,7068,提升圣骑7068生命,
100159,60级圣骑被动技能1,60,60,6000,,,,,1,7188,提升圣骑7188生命,
100160,61级圣骑被动技能1,61,61,6100,,,,,1,7307,提升圣骑7307生命,
100161,62级圣骑被动技能1,62,62,6200,,,,,1,7427,提升圣骑7427生命,
100162,63级圣骑被动技能1,63,63,6300,,,,,1,7547,提升圣骑7547生命,
100163,64级圣骑被动技能1,64,64,6400,,,,,1,7667,提升圣骑7667生命,
100164,65级圣骑被动技能1,65,65,6500,,,,,1,7787,提升圣骑7787生命,
100165,66级圣骑被动技能1,66,66,6600,,,,,1,7906,提升圣骑7906生命,
100166,67级圣骑被动技能1,67,67,6700,,,,,1,8026,提升圣骑8026生命,
100167,68级圣骑被动技能1,68,68,6800,,,,,1,8146,提升圣骑8146生命,
100168,69级圣骑被动技能1,69,69,6900,,,,,1,8266,提升圣骑8266生命,
100169,70级圣骑被动技能1,70,70,7000,,,,,1,8386,提升圣骑8386生命,
100170,71级圣骑被动技能1,71,71,7100,,,,,1,8505,提升圣骑8505生命,
100171,72级圣骑被动技能1,72,72,7200,,,,,1,8625,提升圣骑8625生命,
100172,73级圣骑被动技能1,73,73,7300,,,,,1,8745,提升圣骑8745生命,
100173,74级圣骑被动技能1,74,74,7400,,,,,1,8865,提升圣骑8865生命,
100174,75级圣骑被动技能1,75,75,7500,,,,,1,8985,提升圣骑8985生命,
100175,76级圣骑被动技能1,76,76,7600,,,,,1,9104,提升圣骑9104生命,
100176,77级圣骑被动技能1,77,77,7700,,,,,1,9224,提升圣骑9224生命,
100177,78级圣骑被动技能1,78,78,7800,,,,,1,9344,提升圣骑9344生命,
100178,79级圣骑被动技能1,79,79,7900,,,,,1,9464,提升圣骑9464生命,
100179,80级圣骑被动技能1,80,80,8000,,,,,1,9584,提升圣骑9584生命,
100180,81级圣骑被动技能1,81,81,8100,,,,,1,9703,提升圣骑9703生命,
100181,82级圣骑被动技能1,82,82,8200,,,,,1,9823,提升圣骑9823生命,
100182,83级圣骑被动技能1,83,83,8300,,,,,1,9943,提升圣骑9943生命,
