id,todo,remark
*uint,jsondata,
#,执行,备注
1001,"{""Reset"":1}",
1002,"{""DoDropPro"":20031}",
100001,"{""PlayMovie"":1}",
100002,"{""AcceptTask"":[100001]}",
100003,"{""AcceptableTask"":[100002]}",
100004,"{""AcceptableTask"":[100003]}",
100005,"{""AcceptableTask"":[100004]}",
100006,"{""AcceptableTask"":[100005]}",
100007,"{""AcceptableTask"":[100006]}",
100008,"{""AcceptableTask"":[100007]}",
100009,"{""AcceptableTask"":[100008]}",
100010,"{""AcceptableTask"":[100009]}",
100011,"{""AcceptableTask"":[100010]}",
100012,"{""AcceptableTask"":[100011]}",
100013,"{""AcceptableTask"":[100012]}",
100014,"{""AcceptableTask"":[100013]}",
100015,"{""AcceptableTask"":[100014]}",
100016,"{""AcceptTask"":[100015]}",
100017,"{""AcceptableTask"":[100016]}",
100201,"{""AcceptableTask"":[100201]}",
100202,"{""AcceptableTask"":[100202]}",
100203,"{""AcceptableTask"":[100203]}",
100204,"{""AcceptableTask"":[100204]}",
100205,"{""AcceptableTask"":[100205]}",
100206,"{""AcceptableTask"":[100206]}",
100207,"{""AcceptableTask"":[100207]}",
100208,"{""AcceptableTask"":[100208]}",
100209,"{""AcceptableTask"":[100209]}",
100210,"{""AcceptableTask"":[100210]}",
100211,"{""AcceptableTask"":[100211]}",
100212,"{""AcceptableTask"":[100212]}",
100213,"{""AcceptableTask"":[100213]}",
100214,"{""AcceptableTask"":[100214]}",
100215,"{""AcceptableTask"":[100215]}",
100216,"{""AcceptableTask"":[100216]}",
100217,"{""AcceptableTask"":[100217]}",
100218,"{""AcceptableTask"":[100218]}",
100219,"{""AcceptableTask"":[100219]}",
100220,"{""AcceptableTask"":[100220]}",
100221,"{""AcceptableTask"":[100221]}",
100222,"{""AcceptableTask"":[100222]}",
100223,"{""AcceptableTask"":[100223]}",
100224,"{""AcceptableTask"":[100224]}",
100225,"{""AcceptableTask"":[100225]}",
100226,"{""AcceptableTask"":[100226]}",
100227,"{""AcceptableTask"":[100227]}",
100228,"{""AcceptableTask"":[100228]}",
100229,"{""AcceptableTask"":[100229]}",
100230,"{""AcceptableTask"":[100230]}",
100301,"{""AcceptableTask"":[100301]}",
100302,"{""AcceptableTask"":[100302]}",
100303,"{""AcceptableTask"":[100303]}",
100304,"{""AcceptableTask"":[100304]}",
