id,merge,purgatory,instance,end
*uint,uint[],uint[],uint[],
#物品表id,1合成 2开宝箱 3深渊巢穴 4战魔神殿  5神之试炼 8诸神之战,炼狱,普通副本,
1210300001,"[2,3]",,,
1210300002,"[1,2,3]",,,
1210300003,"[1,2]",,,
1210300004,[1],,,
1210300005,[1],,,
1210300006,[1],,,
1210500001,"[2,3]",,,
1210500002,"[1,2,3]",,,
1210500003,"[1,2]",,,
1210500004,[1],,,
1210500005,[1],,,
1210500006,[1],,,
1210700001,"[2,3]",,,
1210700002,"[1,2,3]",,,
1210700003,"[1,2]",,,
1210700004,[1],,,
1210700005,[1],,,
1210700006,[1],,,
1210900001,"[2,3]",,,
1210900002,"[1,2,3]",,,
1210900003,"[1,2]",,,
1210900004,[1],,,
1210900005,[1],,,
1210900006,[1],,,
1220100001,[2],"[1,2]",,
1220100002,"[1,2]","[1,2]",,
1220100003,"[1,2]",,,
1220100004,[1],,,
1220100005,[1],,,
1220100006,[1],,,
1220400001,[2],"[1,2]",,
1220400002,"[1,2]","[1,2]",,
1220400003,"[1,2]",,,
1220400004,[1],,,
1220400005,[1],,,
1220400006,[1],,,
1220600001,[2],"[1,2]",,
1220600002,"[1,2]","[1,2]",,
1220600003,"[1,2]",,,
1220600004,[1],,,
1220600005,[1],,,
1220600006,[1],,,
1220800001,[2],"[1,2]",,
1220800002,"[1,2]","[1,2]",,
1220800003,"[1,2]",,,
1220800004,[1],,,
1220800005,[1],,,
1220800006,[1],,,
1221000001,[2],"[1,2,3,4,5,6]",,
1221000002,"[1,2]","[1,2,3,4,5,6]",,
1221000003,"[1,2]",,,
1221000004,[1],,,
1221000005,[1],,,
1221000006,[1],,,
1400100001,[2],,"[30230,30220,30210,30200,30190,30180,30170,30160,30150,30140,30130,30120,30110,30100,30090,30080,30070,30060,30050,30040,30030,30020,30010,20250,20240,20230,20220,20210,20200,20190,20180,20170,20160,20150,20140,20130,10210,10200,10190,10180,10170,10160,10150,10140,10130,10120,10110,10100,10090,20120,20110,20100,20090,20080,20070,20060,20050,20040,20030,20020,20010,10080,10070,10060,10050,10040,10010]",
1400100002,"[1,2]",,"[30232,30192,30152,30122,30102,30072,30042,30012,20252,20212,20172,20132,10212,10182,10152,10122,10092,20102,20072]",
1400100003,"[1,2]",,,
1400200001,"[1,2]","[1,2,3,4,5,6]","[30212,30172,30132,30062,30022,20222,20182,20142,10172,10142,10102,20092,20062,20032,20012,30221,30201,30141,30111,30091,30031,20251,20231,20211,20151,10211,10191,10171,10111,20111,20061,20011]",
1400200002,"[1,2]",,,
1400200003,[1],,,
1400300001,"[1,2,3]",,"[30222,30182,30142,30092,30052,20232,20192,20152,10192,10162,10112,20112,20082,20042,20022,30231,30211,30171,30101,30061,20241,20221,20191,10201,10181,10141,20121,20101,20021]",
1400300002,"[1,2,3]",,,
1400300003,[1],,,
1400400101,,,[20031],
1400400201,,,[20091],
1400400301,,,[20051],
1400400401,,,[20081],
1400400501,,,[20041],
1400400601,,,[20071],
1400400102,,,[10091],
1400400202,,,[10161],
1400400302,,,[10121],
1400400402,,,[10151],
1400400502,,,[10101],
1400400602,,,[10131],
1400400103,,,[20131],
1400400203,,,[20201],
1400400303,,,[20161],
1400400403,,,[20181],
1400400503,,,[20141],
1400400603,,,[20171],
1400400104,,,[30011],
1400400204,,,[30081],
1400400304,,,[30041],
1400400404,,,[30071],
1400400504,,,[30021],
1400400604,,,[30051],
1400400105,,,[30121],
1400400205,,,[30191],
1400400305,,,[30151],
1400400405,,,[30181],
1400400505,,,[30131],
1400400605,,,[30161],
1400400106,,,[40011],
1400400206,,,[40081],
1400400306,,,[40041],
1400400406,,,[40071],
1400400506,,,[40021],
1400400606,,,[40051],
1400500001,"[2,4]",,"[30202,30162,30112,30082,30032,20242,20202,20162,10202,10132,20122,20052]",
1400500002,"[1,4]",,,
1400500003,[1],,,
1401100001,[2],,,
1401100002,"[1,2]",,,
1401100003,[1],,,
1401200001,[2],,,
1401200002,"[1,2]",,,
1401200003,[1],,,
1403100001,"[4,6,8]",,,
1403100002,[1],,,
1403100003,[1],,,
1403200001,"[4,7,8]",,,
1403200002,[1],,,
1403200003,[1],,,
1403300001,[8],,,
1403300002,[8],,,
1403300003,[8],,,
1403300004,[8],,,
1601000001,[5],,,
1602000001,[5],,,
1903300001,[2],,,
1903400001,[2],,,
1403400001,[8],,,
