id,type,fromLevel,toLevel,des
#战神宝典,类型:1锻造 2升星 3精炼 4解封,,下一段位,描述
1000,1,1,15,锻造装备可快速提升战力！
1001,1,15,25,锻造装备可快速提升战力！
1002,1,25,35,锻造装备可快速提升战力！
1003,1,35,45,锻造装备可快速提升战力！
1004,1,45,55,锻造装备可快速提升战力！
2000,2,0,5,装备升星可快速提升战力，探索可获得大量升星石！
2001,2,5,10,装备升星可快速提升战力，探索可获得大量升星石！
2002,2,10,15,装备升星可快速提升战力，探索可获得大量升星石！
2003,2,15,20,装备升星可快速提升战力，探索可获得大量升星石！
2004,2,20,25,装备升星可快速提升战力，探索可获得大量升星石！
2005,2,25,30,装备升星可快速提升战力，探索可获得大量升星石！
2006,2,30,35,装备升星可快速提升战力，探索可获得大量升星石！
2007,2,35,40,装备升星可快速提升战力，探索可获得大量升星石！
2008,2,40,45,装备升星可快速提升战力，探索可获得大量升星石！
2009,2,45,50,装备升星可快速提升战力，探索可获得大量升星石！
2010,2,50,55,装备升星可快速提升战力，探索可获得大量升星石！
2011,2,55,60,装备升星可快速提升战力，探索可获得大量升星石！
3000,3,3,4,装备精练可大幅度提高升星属性！
3001,3,4,5,装备精练可大幅度提高升星属性！
3002,3,5,6,装备精练可大幅度提高升星属性！
4000,4,0,1,装备解封可快速提升战力，探索可获得解封材料！
