id,desc,c1_desc,c2_desc,c2,attr0,value0,end
*uint,string,string,string,int,int,float,
1,vip1徽章,1.[ff7723]VIP[-]等级达到VIP1,,,1,1000,
2,vip2徽章,1.[ff7723]VIP[-]等级达到VIP2,2.消耗[ff7723]100[-]钻石,100,1,2000,
3,vip3徽章,1.[ff7723]VIP[-]等级达到VIP3,2.消耗[ff7723]200[-]钻石,200,1,3000,
4,vip4徽章,1.[ff7723]VIP[-]等级达到VIP4,2.消耗[ff7723]400[-]钻石,400,1,4000,
5,vip5徽章,1.[ff7723]VIP[-]等级达到VIP5,2.消耗[ff7723]600[-]钻石,600,1,5200,
6,vip6徽章,1.[ff7723]VIP[-]等级达到VIP6,2.消耗[ff7723]800[-]钻石,800,1,6400,
7,vip7徽章,1.[ff7723]VIP[-]等级达到VIP7,2.消耗[ff7723]1000[-]钻石,1000,1,7600,
8,vip8徽章,1.[ff7723]VIP[-]等级达到VIP8,2.消耗[ff7723]1300[-]钻石,1300,1,8800,
9,vip9徽章,1.[ff7723]VIP[-]等级达到VIP9,2.消耗[ff7723]1600[-]钻石,1600,1,10000,
10,vip10徽章,1.[ff7723]VIP[-]等级达到VIP10,2.消耗[ff7723]1900[-]钻石,1900,1,11600,
11,vip11徽章,1.[ff7723]VIP[-]等级达到VIP11,2.消耗[ff7723]2200[-]钻石,2200,1,13200,
12,vip12徽章,1.[ff7723]VIP[-]等级达到VIP12,2.消耗[ff7723]2500[-]钻石,2500,1,14800,
13,vip13徽章,1.[ff7723]VIP[-]等级达到VIP13,2.消耗[ff7723]3000[-]钻石,3000,1,16400,
14,vip14徽章,1.[ff7723]VIP[-]等级达到VIP14,2.消耗[ff7723]3500[-]钻石,3500,1,18000,
15,vip15徽章,1.[ff7723]VIP[-]等级达到VIP15,2.消耗[ff7723]4000[-]钻石,4000,1,20000,
