id,depict1,depict2,depict3,depict4,depict5,depict6,depict7,depict8,depict9,depict10,depict11,depict12,depict13,depict14,depict15,depict16,endrow
*uint,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#vip等级,描述1,描述2,描述3,描述4,描述5,描述6,描述7,描述8,描述9,描述10,描述11,描述12,描述13,描述14,描述15,描述16,
1,1.可领取[ff7725]vip1[-]礼包,2.体力上限为[ff7725]320[-],3.可免费历练[ff7725]30[-]次,4.排位赛积分加成[ff7725]10%[-],5.副本金币加成[ff7725]10%[-],6.可以购买[ff7725]5[-]次排位赛次数,7.免费神之财宝次数为[ff7725]5[-]次,8.可购买体力[ff7725]2[-]次,9.缩短守护神复活时间[ff7725]2[-]秒,10.排位赛积累上限为[ff7725]4200[-]战功,11.守护神培训经验上限至[ff7725]2000[-],12.神之财宝总次数为[ff7725]20[-]次,13.羽翼钻石升级次数为[ff7725]10[-]次,14.开启vip徽章,15.开启使用喇叭发言功能,16.诸神之战重置次数为[ff7725]1[-]次,
2,1.包括[ff7725]vip1[-]等级所有特权,2.可领取[ff7725]vip2[-]礼包,3.体力上限为[ff7725]340[-],4.可免费历练[ff7725]35[-]次,5.可以购买[ff7725]10[-]次排位赛次数,6.可购买体力[ff7725]3[-]次,7.缩短守护神复活时间[ff7725]4[-]秒,8.排位赛积累上限为[ff7725]5400[-]战功,9.守护神培训经验上限至[ff7725]2000[-],10.神之财宝总次数为[ff7725]25[-]次,11.羽翼钻石升级次数为[ff7725]20[-]次,12.诸神之战重置次数为[ff7725]1[-]次,,,,,
3,1.包括[ff7725]vip2[-]等级所有特权,2.可领取[ff7725]vip3[-]礼包,3.体力上限为[ff7725]360[-],4.守护神炼魂双倍领取开启,5.可免费历练[ff7725]40[-]次,6.排位赛积分加成[ff7725]15%[-],7.副本金币加成[ff7725]15%[-],8.可以购买[ff7725]20[-]次排位赛次数,9.可购买体力[ff7725]4[-]次,10.缩短守护神复活时间[ff7725]6[-]秒,11.排位赛积累上限为[ff7725]6600[-]战功,12.守护神培训经验上限至[ff7725]4000[-],13.神之财宝总次数为[ff7725]30[-]次,14.羽翼钻石升级次数为[ff7725]30[-]次,15.诸神之战重置次数为[ff7725]1[-]次,,
4,1.包括[ff7725]vip3[-]等级所有特权,2.可领取[ff7725]vip4[-]礼包,3.体力上限为[ff7725]380[-],4.可免费历练[ff7725]45[-]次,5.竞技场挑战免CD,6.可以购买[ff7725]30[-]次排位赛次数,7.可购买体力[ff7725]5[-]次,8.缩短守护神复活时间[ff7725]8[-]秒,9.排位赛积累上限为[ff7725]7800[-]战功,10.守护神培训经验上限至[ff7725]4000[-],11.神之财宝总次数为[ff7725]35[-]次,12.羽翼钻石升级次数为[ff7725]40[-]次,13.诸神之战重置次数为[ff7725]1[-]次,,,,
5,1.包括[ff7725]vip4[-]等级所有特权,2.可领取[ff7725]vip5[-]礼包,3.体力上限为[ff7725]400[-],4.可免费历练[ff7725]50[-]次,5.开启[ff7725]多次历练[-]功能,6.排位赛积分加成[ff7725]20%[-],7.副本金币加成[ff7725]20%[-],8.可以购买[ff7725]50[-]次排位赛次数,9.可购买体力[ff7725]6[-]次,10.缩短守护神复活时间[ff7725]10[-]秒,11.排位赛积累上限为[ff7725]9000[-]战功,12.守护神培训经验上限至[ff7725]6000[-],13.神之财宝总次数为[ff7725]40[-]次,14.羽翼钻石升级次数为[ff7725]50[-]次,15.诸神之战重置次数为[ff7725]1[-]次,,
6,1.包括[ff7725]vip5[-]等级所有特权,2.可领取[ff7725]vip6[-]礼包,3.体力上限为[ff7725]420[-],4.可免费历练[ff7725]55[-]次,5.可以购买[ff7725]100[-]次排位赛次数,6.可购买体力[ff7725]7[-]次,7.缩短守护神复活时间[ff7725]12[-]秒,8.排位赛积累上限为[ff7725]10200[-]战功,9.守护神培训经验上限至[ff7725]6000,10.神之财宝总次数为[ff7725]45[-]次,11.羽翼钻石升级次数为[ff7725]60[-]次,12.诸神之战重置次数为[ff7725]1[-]次,,,,,
7,1.包括[ff7725]vip6[-]等级所有特权,2.可领取[ff7725]vip7[-]礼包,3.体力上限为[ff7725]440[-],4.可免费历练[ff7725]60[-]次,5.排位赛积分加成[ff7725]25%[-],6.副本金币加成[ff7725]25%[-],7.可以无限购买排位赛次数,8.可购买体力[ff7725]8[-]次,9.缩短守护神复活时间[ff7725]14[-]秒,10.排位赛积累上限为[ff7725]11400[-]战功,11.守护神培训经验上限至[ff7725]8000[-],12.神之财宝总次数为[ff7725]50[-]次,13.羽翼钻石升级次数为[ff7725]70[-]次,14.诸神之战重置次数为[ff7725]1[-]次,,,
8,1.包括[ff7725]vip7[-]等级所有特权,2.可领取[ff7725]vip8[-]礼包,3.体力上限为[ff7725]460[-],4.可免费历练[ff7725]65[-]次,5.可购买体力[ff7725]9[-]次,6.缩短守护神复活时间[ff7725]16[-]秒,7.排位赛积累上限为[ff7725]12600[-]战功,8.守护神培训经验上限至[ff7725]8000[-],9.神之财宝总次数为[ff7725]55[-]次,10.羽翼钻石升级次数为[ff7725]85[-]次,11.诸神之战重置次数为[ff7725]1[-]次,,,,,,
