id,type,title,from,to,reward1,reward2,reward4,endRow
*uint,uint,string,uint,uint,uint,uint,uint,
#对战奖励时为唯一id 精彩奖励时为积分数,1:对战奖励  2:竞猜奖励,称号,排名,,,,,
1,1,冠军,1,1,300001,300001,300001,
2,1,亚军,2,2,300002,300002,300002,
3,1,季军,3,3,300003,300003,300003,
4,1,4强,4,4,300004,300004,300004,
5,1,5~8名,5,8,300005,300005,300005,
6,1,9~16名,9,16,300006,300006,300006,
7,1,17~32名,17,32,300007,300007,300007,
8,1,33~64名,33,64,300008,300008,300008,
100,2,竞猜奖励1,100,199,310006,310006,310006,
200,2,竞猜奖励2,200,249,310005,310005,310005,
250,2,竞猜奖励3,250,299,310004,310004,310004,
300,2,竞猜奖励4,300,339,310003,310003,310003,
340,2,竞猜奖励5,340,379,310002,310002,310002,
380,2,竞猜奖励6,380,999,310001,310001,310001,
