id,IconId,TaskId,Difficulty,endrow
*uint,uint,uint,uint,
#开服周期id,任务icon,任务表id,任务难度,
1000101,1704001,2110001,1,
1000102,1704001,2110002,1,
1000103,1702007,2110003,2,
1000104,1702020,2110004,2,
1000105,1702007,2110005,3,
1000106,1704001,2110006,3,
1000107,1704001,2110007,3,
1000108,1702007,2110008,3,
1000109,1702020,2110009,3,
1000110,1702003,2110010,3,
1000111,1702007,2110012,3,
1000112,1702020,2110013,3,
1000113,1702007,2110014,3,
1000114,1702020,2110015,3,
1000115,1702003,2110016,3,
1000116,1702003,2110017,3,
1000117,1702001,2110018,3,
1000201,1702007,2120001,1,
1000202,1702020,2120002,1,
1000203,1702007,2120003,2,
1000204,1702007,2120004,2,
1000205,1702020,2120005,3,
1000206,1702003,2120006,3,
1000207,1702007,2120007,3,
1000208,1702020,2120008,3,
1000209,1702007,2120009,3,
1000210,1702020,2120010,3,
1000211,1702011,2120011,3,
1000212,1702011,2120012,3,
1000213,1702011,2120013,3,
