id,name,stageName,a_wing_1,a_wing_2,a_wing_4,lvMax,itemLvUp,costLvUp,exp,expPro,itemStageUp,num,costStageUp,showPro,basePro,end
*uint,string,string,uint[],-,-,int,uint,uint,int,"""Dictionary<int,int>""",uint,uint,uint,int[],int[],
#ID,名称,阶名字,圣骑翅膀,魔剑翅膀,狂战翅膀,最大等级,强化物品,升级消耗钻石,升级经验,暴击几率,进阶物品,数量,升阶消耗钻石,显示概率,基础概率,
1,升阶后获得羽翼,零\n阶,0,0,0,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,1,80,"[500,500]","[2500,100]",
2,光神·纯白之翼,一\n阶,21000,22000,23000,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,1,80,"[250,250]","[740,100]",
3,盖亚·大地之翼,二\n阶,21010,22010,23010,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,1,80,"[145,145]","[510,60]",
4,海神·蔚蓝之翼,三\n阶,21020,22020,23020,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,2,160,"[115,115]","[380,40]",
5,爱神·多彩之翼,四\n阶,21030,22030,23030,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,2,160,"[90,90]","[350,24]",
6,战神·黄金之翼,五\n阶,21040,22040,23040,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,3,240,"[75,75]","[280,22]",
7,死神·噩梦之翼,六\n阶,21050,22050,23050,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,3,240,"[60,60]","[240,22]",
8,冥王·诅咒之翼,七\n阶,21060,22060,23060,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,4,320,"[55,55]","[190,21]",
9,夜神·恶魔之翼,八\n阶,21070,22070,23070,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,5,400,"[50,50]","[150,20]",
10,风神·暴风之翼,九\n阶,21080,22080,23080,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,6,480,"[45,45]","[130,20]",
11,月神·暗夜之翼,十\n阶,21090,22090,23090,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,8,640,"[40,40]","[170,10]",
12,雷神·宙斯之翼,十\n一\n阶,21100,22100,23100,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",1602000001,10,800,"[30,30]","[180,10]",
13,火神·圣焰之翼,十\n二\n阶,21110,22110,23110,20,1601000001,30,100,"{""5"":10,""25"":2,""70"":1}",,,,,,
